Ecoregions;Insect_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Insect;lower_Density_Insect;upperr_Density_Insect
NAP;492;1.212835988;0.87;5.264010951;5.141720097;5.386301805
CPL;591;0.934733772;0.872;5.265551435;5.143301679;5.387801191
CPL;423;1.175068282;0.876;5.268632403;5.146462459;5.390802348
NAP;177;0.663157646;0.878;5.270172887;5.148041655;5.39230412
NAP;401;1.118230173;0.882;5.273253855;5.151197656;5.395310055
SAP;18;0.895854746;0.884;5.27479434;5.15277446;5.396814219
CPL;100;0.22905901;0.886;5.276334824;5.154350464;5.398319183
CPL;434;1.072533273;0.888;5.277875308;5.155925669;5.399824946
CPL;15;1.077232319;0.889;5.27864555;5.156712972;5.400578128
CPL;455;1.147195883;0.89;5.279415792;5.157500074;5.40133151
NAP;426;0.663157646;0.896;5.284037244;5.162218479;5.405856009
TPL;542;0.544739639;0.898;5.285577728;5.163789675;5.407365781
TPL;308;0.544739638;0.9;5.287118212;5.165360068;5.408876356
TPL;206;1.006842803;0.904;5.290199181;5.168498441;5.41189992
CPL;471;0.835575461;0.909;5.294050391;5.172416877;5.415683904
NAP;191;1.118230172;0.91;5.294820633;5.17319996;5.416441306
TPL;23;1.006842803;0.911;5.295590875;5.173982841;5.417198909
XER;41;0.547943682;0.913;5.297131359;5.175547997;5.418714721
TPL;339;0.989464802;0.916;5.299442085;5.177894216;5.420989954
NAP;411;1.345317136;0.917;5.300212327;5.178675886;5.421748769
CPL;735;0.895854746;0.919;5.301752811;5.180238617;5.423267005
SAP;389;1.006842803;0.925;5.306374264;5.184921957;5.42782657
CPL;207;0.511910636;0.927;5.307914748;5.18648145;5.429348045
SAP;238;1.118230173;0.929;5.309455232;5.188040133;5.43087033
SAP;1;1.006842803;0.935;5.314076684;5.192711314;5.435442054
SAP;158;1.147195883;0.937;5.315617168;5.194266751;5.436967586
WMT;392;1.125253742;0.939;5.317157652;5.195821375;5.438493929
SPL;480;0.833406499;0.94;5.317927894;5.196598382;5.439257406
CPL;66;1.040418172;0.941;5.318698136;5.197375187;5.440021086
SAP;383;1.103309848;0.942;5.319468378;5.198151788;5.440784969
SAP;345;0.740969646;0.944;5.321008862;5.19970438;5.442313344
SAP;210;0.276722704;0.946;5.322549347;5.20125616;5.443842533
SAP;260;0.915550072;0.949;5.324860073;5.203582303;5.446137842
CPL;266;0.477554166;0.952;5.327170799;5.205906616;5.448434982
NAP;208;1.132855025;0.953;5.327941041;5.20668098;5.449201102
CPL;73;0.854814692;0.955;5.329481525;5.208229097;5.450733953
WMT;436;1.072533273;0.957;5.331022009;5.2097764;5.452267618
XER;518;1.465342393;0.96;5.333332735;5.212095828;5.454569643
TPL;513;0.765185945;0.961;5.334102977;5.212868563;5.455337391
NAP;427;0.998204915;0.964;5.336413703;5.215185547;5.45764186
NAP;438;1.265087684;0.966;5.337954187;5.216729184;5.459179191
UMW;90;0.477554166;0.97;5.341035156;5.219814015;5.462256297
UMW;338;0.895854746;0.972;5.34257564;5.221355207;5.463796072
CPL;369;0.895854746;0.974;5.344116124;5.222895585;5.465336662
SAP;329;1.056650275;0.975;5.344886366;5.223665469;5.466107263
WMT;428;1.277096581;0.976;5.345656608;5.224435148;5.466878068
SPL;328;0.971668015;0.977;5.34642685;5.225204624;5.467649076
UMW;239;0.765185945;0.978;5.347197092;5.225973897;5.468420288
UMW;317;0.854814692;0.979;5.347967334;5.226742965;5.469191703
CPL;201;0.983157924;0.981;5.349507818;5.228280491;5.470735145
WMT;301;0.953431757;0.982;5.35027806;5.229048948;5.471507172
CPL;669;0.934733772;0.983;5.351048302;5.229817202;5.472279402
CPL;499;1.006842803;0.986;5.353359028;5.232120741;5.474597315
NAP;227;1.103309848;0.989;5.355669755;5.234422448;5.476917061
SAP;277;0.897848084;0.991;5.357210239;5.235955901;5.478464576
UMW;479;1.118230172;0.992;5.357980481;5.236722322;5.479238639
CPL;455;1.040418172;0.997;5.361831691;5.240551375;5.483112006
CPL;335;0.934733772;0.998;5.362601933;5.241316576;5.48388729
CPL;181;0.953431757;1;5.364142417;5.242846366;5.485438468
TPL;16;0.321495863;1.002;5.365682901;5.244375343;5.486990459
SAP;20;0.606319536;1.005;5.367993627;5.246667284;5.489319971
SAP;412;0.690016276;1.007;5.369534111;5.248194229;5.490873994
SAP;284;1.006842803;1.008;5.370304353;5.248957396;5.491651311
SAP;95;1.161263564;1.009;5.371074596;5.249720361;5.49242883
NAP;335;1.118230173;1.012;5.373385322;5.252008036;5.494762607
CPL;47;0.477554166;1.014;5.374925806;5.253532139;5.496319473
SAP;217;1.214998598;1.015;5.375696048;5.254293885;5.49709821
SAP;306;1.072533273;1.017;5.377236532;5.255816771;5.498656293
CPL;576;0.788633341;1.022;5.381087742;5.259620437;5.502555048
SAP;58;1.046547095;1.024;5.382628226;5.261140485;5.504115967
NAP;323;0.875619756;1.025;5.383398468;5.261900206;5.50489673
SAP;385;0.715932301;1.027;5.384938952;5.263419041;5.506458864
UMW;250;0.971668015;1.034;5.390330647;5.268728595;5.511932699
CPL;12;1.288913328;1.037;5.392641373;5.271001089;5.514281656
CPL;60;1.277096581;1.039;5.394181857;5.272515078;5.515848636
SAP;338;1.006842803;1.04;5.394952099;5.27327177;5.516632428
SAP;370;1.300543977;1.042;5.396492583;5.274784549;5.518200617
CPL;70;0.811359163;1.044;5.398033067;5.276296524;5.519769611
SAP;485;0.895854746;1.046;5.399573551;5.277807693;5.521339409
CPL;437;1.103309848;1.047;5.400343793;5.278562977;5.52212461
XER;589;1.161263564;1.048;5.401114035;5.279318059;5.522910012
TPL;4;0.971668015;1.05;5.402654519;5.280827622;5.524481417
SAP;499;0.544739638;1.053;5.404965246;5.28309046;5.526840031
SAP;416;0.690016276;1.054;5.405735488;5.283844339;5.527626637
WMT;343;1.300543977;1.055;5.40650573;5.284598017;5.528413443
SAP;267;1.132855026;1.057;5.408046214;5.286104772;5.529987656
CPL;305;1.137666319;1.06;5.41035694;5.288363404;5.532350475
SAP;351;1.147195883;1.062;5.411897424;5.28986816;5.533926688
SAP;144;0.971668015;1.063;5.412667666;5.290620238;5.534715094
SAP;235;0.854814692;1.064;5.413437908;5.291372116;5.5355037
SAP;384;1.201926913;1.065;5.41420815;5.292123795;5.536292505
UMW;315;0.811359162;1.068;5.416518876;5.294377636;5.538660117
UMW;204;1.132855025;1.069;5.417289118;5.295128518;5.539449719
NAP;80;0.903796016;1.071;5.418829602;5.296629684;5.541029521
NAP;28;0.57617123;1.073;5.420370087;5.298130055;5.542610118
SAP;245;1.147195882;1.074;5.421140329;5.298879943;5.543400715
SAP;233;0.606319536;1.077;5.423451055;5.301128414;5.545773696
WMT;468;1.118230173;1.079;5.424991539;5.302626403;5.547356674
CPL;286;1.201926913;1.08;5.425761781;5.303375101;5.548148461
WMT;376;1.323269799;1.083;5.428072507;5.305620006;5.550525008
CPL;222;0.635285246;1.085;5.429612991;5.307115621;5.552110361
CPL;3;0.953431757;1.087;5.431153475;5.308610447;5.553696504
TPL;401;0.788633341;1.088;5.431923717;5.309357564;5.554489871
SAP;420;1.311994298;1.09;5.433464201;5.310851206;5.556077196
CPL;39;0.064260594;1.091;5.434234443;5.311597732;5.556871154
SAP;139;0.403639436;1.093;5.435774928;5.313090194;5.558459661
SAP;364;1.132855025;1.094;5.43654517;5.31383613;5.559254209
TPL;159;0.875619757;1.097;5.438855896;5.316072761;5.561639031
WMT;431;1.259009205;1.098;5.439626138;5.316817912;5.562434364
XER;773;1.437114845;1.099;5.44039638;5.317562867;5.563229893
CPL;148;1.147195883;1.102;5.442707106;5.319796558;5.565617653
SAP;66;0.690016276;1.103;5.443477348;5.320540731;5.566413965
TPL;424;0.915550072;1.104;5.44424759;5.321284709;5.567210471
SAP;306;0.811359163;1.106;5.445788074;5.322772078;5.56880407
TPL;14;0.668608083;1.108;5.447328558;5.324258668;5.570398449
CPL;206;1.201926913;1.111;5.449639284;5.326487093;5.572791476
WMT;435;0.989464802;1.112;5.450409526;5.327229512;5.573589541
NAP;464;0.971668015;1.115;5.452720253;5.329455606;5.575984899
TPL;4;0.915550072;1.117;5.454260737;5.3309387;5.577582773
WMT;280;0.875619756;1.118;5.455030979;5.331679957;5.578382001
NAP;294;1.245457799;1.12;5.456571463;5.33316189;5.579981035
SAP;205;0.635285247;1.121;5.457341705;5.333902567;5.580780843
WMT;299;0.989464802;1.124;5.459652431;5.336123441;5.583181421
WMT;393;1.240467706;1.125;5.460422673;5.336863347;5.583981999
NAP;144;0.715932301;1.126;5.461192915;5.337603061;5.58478277
WMT;258;1.056650275;1.127;5.461963157;5.338342582;5.585583732
WMT;401;1.323269799;1.128;5.462733399;5.339081911;5.586384887
SAP;107;0.989464802;1.129;5.463503641;5.339821049;5.587186234
WMT;553;1.323269799;1.131;5.465044125;5.341298748;5.588789502
WMT;400;0.854814692;1.133;5.466584609;5.342775682;5.590393537
WMT;394;1.103309848;1.138;5.47043582;5.346464672;5.594406967
CPL;383;0.854814692;1.14;5.471976304;5.347938934;5.596013673
SAP;312;1.040418172;1.142;5.473516788;5.349412435;5.59762114
SAP;463;1.161263564;1.146;5.476597756;5.352357161;5.600838351
CPL;132;0.477554166;1.147;5.477367998;5.353092868;5.601643128
CPL;58;0.36370912;1.153;5.48198945;5.357503151;5.60647575
SAP;387;0.8334065;1.158;5.485840661;5.361173212;5.610508109
SAP;10;0.740969646;1.161;5.488151387;5.363373;5.612929774
TPL;588;0.321495863;1.166;5.492002597;5.367035579;5.616969615
TPL;312;1.098990942;1.167;5.492772839;5.367767536;5.617778142
SPL;295;1.118230173;1.169;5.494313323;5.369230894;5.619395752
SAP;27;1.37720112;1.171;5.495853807;5.37069351;5.621014105
CPL;12;1.088081867;1.172;5.496624049;5.37142454;5.621823558
SAP;40;0.635285246;1.174;5.498164533;5.372886046;5.623443021
WMT;432;1.221448691;1.175;5.498934775;5.373616522;5.624253029
WMT;408;1.094210789;1.176;5.499705017;5.374346814;5.625063221
SAP;500;1.323269799;1.181;5.503556228;5.377995512;5.629116943
NAP;278;0.8334065;1.183;5.505096712;5.379453707;5.630739717
WMT;330;1.118230173;1.185;5.506637196;5.38091117;5.632363222
CPL;224;0.934733772;1.187;5.50817768;5.382367903;5.633987457
NAP;398;1.298232454;1.189;5.509718164;5.383823906;5.635612422
SAP;445;1.147195883;1.198;5.516650343;5.390366942;5.642933743
WMT;1030;1.265087683;1.201;5.518961069;5.392544704;5.645377434
WMT;397;1.214998598;1.202;5.519731311;5.393270265;5.646192357
NAP;448;1.188619689;1.205;5.522042037;5.395445872;5.648638202
CPL;13;1.300543977;1.206;5.522812279;5.396170717;5.649453841
TPL;404;0.953431757;1.208;5.524352763;5.39761987;5.651085656
SAP;364;0.788633341;1.209;5.525123005;5.398344179;5.651901831
TPL;235;1.056650275;1.211;5.526663489;5.399792263;5.653534715
SAP;383;0.663157646;1.212;5.527433731;5.400516038;5.654351424
SAP;56;0.915550072;1.213;5.528203973;5.401239636;5.65516831
SAP;389;1.147195883;1.215;5.529744457;5.4026863;5.656802615
SAP;25;0.854814692;1.218;5.532055183;5.40485497;5.659255397
SAP;461;0.915550072;1.221;5.53436591;5.407022053;5.661709767
SAP;137;1.040418172;1.225;5.537446878;5.409909037;5.664984719
UMW;212;1.188619689;1.226;5.53821712;5.410630345;5.665803894
NAP;325;1.446644409;1.227;5.538987362;5.411351479;5.666623245
NAP;368;1.204851791;1.228;5.539757604;5.412072438;5.66744277
WMT;95;0.854814692;1.232;5.542838572;5.414954533;5.670722611
NAP;364;1.023821273;1.233;5.543608814;5.415674622;5.671543006
SAP;386;0.690016276;1.234;5.544379056;5.416394539;5.672363574
SAP;218;1.288913328;1.236;5.54591954;5.417833852;5.674005229
CPL;117;1.023821273;1.238;5.547460024;5.419272474;5.675647575
CPL;323;0.715932302;1.239;5.548230266;5.419991527;5.676469006
TPL;185;1.040418172;1.24;5.549000509;5.420710407;5.67729061
WMT;225;1.382383815;1.242;5.550540993;5.422147653;5.678934332
NAP;421;0.953431757;1.243;5.551311235;5.422866019;5.67975645
NAP;475;0.715932302;1.245;5.552851719;5.424302237;5.681401201
UMW;362;1.132855025;1.248;5.555162445;5.426455283;5.683869607
UMW;158;1.166816454;1.249;5.555932687;5.427172624;5.68469275
CPL;130;0.875619756;1.252;5.558243413;5.429323629;5.687163197
CPL;59;1.072533273;1.253;5.559013655;5.430040291;5.687987019
CPL;290;0.934733772;1.254;5.559783897;5.430756785;5.68881101
WMT;244;1.118230173;1.255;5.560554139;5.431473109;5.689635169
SAP;329;1.161263564;1.257;5.562094623;5.432905252;5.691283994
