Ecoregions;Insect_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Insect;lower_Density_Insect;upperr_Density_Insect
CPL;291;1.090002624;;;;
WMT;392;1.188619689;;;;
SAP;146;1.023821273;;;;
SAP;158;1.056650275;;;;
UMW;307;0.934733772;;;;
WMT;331;0.915550072;;;;
CPL;747;0.875619756;;;;
CPL;358;1.227842938;;;;
WMT;401;1.214998598;;;;
SAP;146;0.765185945;;;;
SAP;227;0.788633341;;;;
SAP;240;1.201926913;;;;
TPL;18;0.064260594;;;;
TPL;377;1.088081867;;;;
SAP;202;1.188619689;;;;
SAP;117;0.875619756;;;;
SAP;458;0.854814692;;;;
WMT;683;1.323269799;;;;
WMT;354;1.227842938;;;;
NAP;210;1.147195883;;;;
NAP;377;1.039049255;;;;
SAP;405;0.971668015;;;;
NAP;400;1.300543977;;;;
WMT;131;1.023821273;;;;
WMT;361;0.989464802;;;;
SAP;513;1.366725329;;;;
SPL;258;0.854814692;;;;
CPL;125;1.006842803;;;;
UMW;60;0.811359163;;;;
SAP;775;1.072533273;;;;
WMT;150;1.300543977;;;;
SAP;26;1.098990941;;;;
WMT;902;1.360367778;;;;
NAP;1178;1.446644409;;;;
NAP;432;1.240467706;;;;
UMW;448;0.875619757;;;;
UMW;112;1.056650275;;;;
UMW;185;1.188619689;;;;
NAP;302;0.511910636;;;;
SPL;624;1.040418172;;;;
SPL;65;0.953431757;;;;
SAP;296;1.188619689;;;;
UMW;453;0.811359163;;;;
UMW;378;1.188619689;;;;
TPL;4;0.511910636;;;;
CPL;90;0.985939588;;;;
SAP;458;1.288913328;;;;
TPL;133;0.915550072;;;;
SAP;345;1.161263564;;;;
UMW;150;1.103309848;;;;
XER;825;1.456052573;;;;
XER;614;1.387530393;;;;
XER;1043;1.201926913;;;;
XER;502;1.277096581;;;;
NAP;470;1.088081867;;;;
NAP;326;0.915550072;;;;
XER;315;1.056650275;;;;
NAP;455;1.366725329;;;;
SAP;193;0.953431757;;;;
SAP;425;1.397717188;;;;
CPL;421;1.417678699;;;;
XER;410;0.934733772;;;;
TPL;451;0.989464802;;;;
SAP;463;1.023821273;;;;
WMT;479;1.056650275;;;;
SPL;20;1.040418172;;;;
TPL;449;0.57617123;;;;
UMW;420;1.252880283;;;;
NAP;384;1.068594432;;;;
TPL;169;1.022140883;;;;
CPL;660;1.345317136;;;;
TPL;19;0.833406499;;;;
TPL;89;1.214998598;;;;
SAP;72;0.715932302;;;;
WMT;334;0.775326117;;;;
WMT;388;1.006842803;;;;
NAP;256;0.511910636;;;;
NAP;436;0.953431756;;;;
CPL;532;1.288913328;;;;
CPL;115;1.147195883;;;;
CPL;95;0.989464802;;;;
XER;837;1.288913328;;;;
XER;405;1.366725329;;;;
WMT;476;1.427460708;;;;
SAP;239;0.989464802;;;;
SAP;152;1.161263564;;;;
WMT;456;0.854814692;;;;
TPL;56;1.072533273;;;;
CPL;259;1.056650275;;;;
WMT;1007;1.132855025;;;;
WMT;405;1.265087683;;;;
NAP;346;1.483578651;;;;
SAP;300;1.201926913;;;;
TPL;458;1.345317136;;;;
WMT;471;1.311994299;;;;
CPL;337;1.132855025;;;;
CPL;241;1.201926913;;;;
SAP;354;1.345317136;;;;
SAP;486;1.323269799;;;;
SAP;341;0.8334065;;;;
WMT;695;0.44152112;;;;
WMT;475;0.740969646;;;;
CPL;158;0.875619756;;;;
CPL;111;1.006842803;;;;
NAP;354;0.663157646;;;;
NAP;468;1.288913328;;;;
UMW;367;0.715932302;;;;
WMT;391;1.147195883;;;;
NAP;374;1.363200115;;;;
NAP;215;0.790554098;;;;
SAP;81;0.544739639;;;;
SPL;693;1.072533273;;;;
SPL;265;1.006842803;;;;
SAP;8;1.252880283;;;;
SAP;425;1.118230172;;;;
UMW;392;0.915550072;;;;
WMT;309;1.366725329;;;;
WMT;177;1.311994299;;;;
NAP;169;1.227842938;;;;
SAP;438;1.212835988;;;;
WMT;448;1.240467706;;;;
WMT;423;1.088081867;;;;
WMT;422;0.78863334;;;;
SAP;269;1.056650275;;;;
SPL;66;1.201926913;;;;
SAP;426;0.854814692;;;;
SAP;568;0.915550072;;;;
SAP;152;0.854814692;;;;
TPL;319;1.040418172;;;;
CPL;683;1.040418172;;;;
WMT;268;1.288913328;;;;
SAP;360;1.118230173;;;;
UMW;383;1.006842803;;;;
SAP;389;0.788633341;;;;
XER;498;0.934733772;;;;
CPL;373;1.288913328;;;;
UMW;417;1.006842803;;;;
SAP;389;1.072533273;;;;
XER;537;1.103309848;;;;
CPL;205;1.040418172;;;;
SAP;267;1.132855026;;;;
NAP;209;1.323269799;;;;
SAP;465;0.915550072;;;;
XER;845;1.175068282;;;;
CPL;542;1.288913328;;;;
SPL;393;0.788633341;;;;
CPL;458;1.161263564;;;;
CPL;266;0.833406499;;;;
UMW;301;1.288913328;;;;
NAP;388;1.427460708;;;;
TPL;698;0.511910637;;;;
TPL;31;0.635285246;;;;
TPL;172;1.006842803;;;;
NAP;444;0.765185945;;;;
SPL;625;0.875619757;;;;
SPL;283;0.915550072;;;;
NAP;270;1.056650275;;;;
NPL;134;0.971668015;;;;
SAP;404;0.953431757;;;;
SAP;466;0.915550072;;;;
SAP;405;0.934733772;;;;
WMT;145;1.387530393;;;;
CPL;236;0.971668015;;;;
SAP;45;0.765185945;;;;
CPL;318;1.188619689;;;;
CPL;145;0.915550072;;;;
CPL;458;0.953431757;;;;
SAP;154;0.854814692;;;;
SAP;245;1.323269799;;;;
TPL;389;0.740969646;;;;
NAP;527;0.989464802;;;;
SAP;386;1.006842803;;;;
NAP;60;1.252880283;;;;
UMW;390;0.811359163;;;;
UMW;315;1.115270125;;;;
UMW;335;1.427460708;;;;
WMT;660;1.407765383;;;;
WMT;671;1.334375737;;;;
UMW;214;0.854814692;;;;
UMW;395;1.040418172;;;;
WMT;414;0.854814692;;;;
CPL;404;0.934733772;;;;
TPL;246;0.895854746;;;;
WMT;379;1.289694429;;;;
CPL;447;1.288913328;;;;
WMT;504;1.040418172;;;;
CPL;63;1.345317136;;;;
CPL;401;1.188619689;;;;
SAP;467;0.915550072;;;;
WMT;28;0.811359163;;;;
TPL;397;0.811359163;;;;
TPL;152;0.635285246;;;;
CPL;595;0.544739639;;;;
CPL;192;0.663157646;;;;
NAP;472;0.915550072;;;;
SAP;379;0.915550072;;;;
NAP;513;1.366725329;;;;
NAP;376;0.788633341;;;;
TPL;135;0.606319536;;;;
UMW;301;1.214998598;;;;
UMW;43;1.227842938;;;;
TPL;883;0.971668015;;;;
TPL;87;0.740969646;;;;
CPL;383;0.915550072;;;;
SPL;203;0.511910636;;;;
NAP;313;1.265087684;;;;
TPL;215;0.635285247;;;;
NAP;143;0.989464802;;;;
XER;343;1.005123289;;;;
WMT;212;1.446644409;;;;
NAP;341;1.188619689;;;;
UMW;755;0.976157579;;;;
UMW;248;1.184580312;;;;
WMT;1101;1.214998598;;;;
WMT;430;1.201926913;;;;
TPL;356;0.811359163;;;;
TPL;439;1.356098801;;;;
TPL;537;0.765185945;;;;
TPL;502;1.118230173;;;;
NAP;492;0.915550072;;;;
NAP;419;0.740969646;;;;
CPL;8;0.511910636;;;;
WMT;427;1.214998598;;;;
CPL;44;0.17810564;;;;
XER;377;0.765185945;;;;
SAP;504;1.407765383;;;;
WMT;262;1.397717188;;;;
NAP;367;1.147195883;;;;
WMT;505;0.953431757;;;;
SAP;419;1.023821273;;;;
WMT;392;1.323269799;;;;
CPL;120;0.740969646;;;;
WMT;327;1.437114845;;;;
SAP;201;0.544739639;;;;
SAP;156;0.915550072;;;;
NAP;414;1.036892958;;;;
NAP;482;1.056650275;;;;
SAP;303;1.277096581;;;;
SAP;333;1.397717188;;;;
TPL;32;1.006842803;;;;
NAP;378;0.788633341;;;;
NAP;398;0.915550072;;;;
WMT;449;1.311994299;;;;
CPL;388;1.040418172;;;;
XER;265;1.265087684;;;;
NAP;401;1.239214896;;;;
XER;377;0.934733772;;;;
XER;208;0.989464802;;;;
WMT;291;1.056650275;;;;
WMT;318;1.088081867;;;;
WMT;404;0.971668015;;;;
WMT;503;0.606319536;;;;
UMW;331;1.023821273;;;;
NAP;376;1.214998598;;;;
SAP;479;0.743427323;;;;
SAP;365;0.875619756;;;;
WMT;443;1.212402705;;;;
UMW;105;1.056650275;;;;
WMT;458;1.366725329;;;;
SAP;349;1.161263564;;;;
SAP;329;1.072533273;;;;
TPL;39;0.835575461;;;;
XER;718;1.147195883;;;;
XER;13;1.288913328;;;;
SAP;505;1.188619689;;;;
XER;386;0.663157646;;;;
XER;921;1.366725329;;;;
CPL;203;1.056650275;;;;
CPL;265;0.875619757;;;;
CPL;42;1.056650275;;;;
WMT;537;1.147195883;;;;
NAP;348;0.811359163;;;;
NAP;261;0.833406499;;;;
XER;694;1.265087684;;;;
UMW;468;1.147195883;;;;
NPL;249;1.072533273;;;;
CPL;274;0.875619756;;;;
WMT;446;1.288913328;;;;
WMT;429;1.103309848;;;;
NPL;94;0.17810564;;;;
SPL;529;0.895854746;;;;
TPL;120;0.22905901;;;;
TPL;265;1.023821273;;;;
SAP;439;1.356098801;;;;
WMT;486;1.201926913;;;;
WMT;437;1.388669223;;;;
SPL;97;0.779343521;;;;
UMW;434;1.072533273;;;;
SPL;278;1.188619689;;;;
WMT;372;1.161263564;;;;
TPL;517;1.446644409;;;;
TPL;378;0.854814692;;;;
WMT;319;1.288913328;;;;
UMW;20;0.765185945;;;;
WMT;282;1.072533273;;;;
NAP;61;0.663157646;;;;
UMW;463;1.082935289;;;;
UMW;380;1.128821531;;;;
SPL;251;0.895854746;;;;
TPL;536;0.511910637;;;;
TPL;67;0.635285246;;;;
SAP;413;1.006842803;;;;
SAP;74;1.006842802;;;;
TPL;431;1.088081867;;;;
XER;50;0.934733772;;;;
SAP;267;1.140060262;;;;
CPL;745;0.989464802;;;;
WMT;337;1.175068283;;;;
WMT;293;1.147195883;;;;
TPL;501;1.214998598;;;;
SAP;391;1.240467706;;;;
SAP;328;1.175068282;;;;
CPL;171;0.934733772;;;;
UMW;243;1.161263564;;;;
UMW;194;1.247733705;;;;
TPL;223;1.118230173;;;;
CPL;139;0.811359163;;;;
XER;692;1.236283383;;;;
UMW;369;1.147195883;;;;
SAP;190;1.474516808;;;;
UMW;225;0.833406499;;;;
WMT;990;0.811359163;;;;
WMT;462;0.854814692;;;;
NAP;455;0.989464802;;;;
NAP;451;0.663157646;;;;
NAP;497;0.788633341;;;;
NPL;404;0.811359163;;;;
NPL;333;0.989464802;;;;
CPL;264;1.214998598;;;;
CPL;358;0.715932301;;;;
TPL;233;1.323269799;;;;
UMW;144;1.397717188;;;;
TPL;353;0.511910636;;;;
UMW;90;1.311994299;;;;
WMT;499;1.356098801;;;;
NPL;301;0.953431757;;;;
XER;286;1.300543977;;;;
XER;339;1.356098801;;;;
CPL;344;1.072533273;;;;
CPL;402;0.715932302;;;;
UMW;504;1.147195883;;;;
WMT;485;1.175068282;;;;
WMT;223;1.103309848;;;;
WMT;72;1.311994299;;;;
WMT;380;1.277096581;;;;
WMT;445;0.715932302;;;;
WMT;433;1.067804136;;;;
CPL;437;1.072533273;;;;
CPL;430;1.345317136;;;;
TPL;726;0.895854746;;;;
CPL;617;0.953431757;;;;
CPL;226;0.915550072;;;;
UMW;797;0.989464802;;;;
TPL;467;0.875619757;;;;
NAP;329;1.334375737;;;;
CPL;236;0.915550072;;;;
TPL;840;1.103309848;;;;
TPL;67;0.715932302;;;;
TPL;442;0.740969646;;;;
WMT;1114;1.072533273;;;;
SAP;156;0.875619756;;;;
XER;880;1.023821273;;;;
CPL;6;1.334375737;;;;
SAP;528;1.161263564;;;;
CPL;277;0.740969646;;;;
WMT;497;1.147195883;;;;
NPL;581;1.518753439;;;;
SPL;111;1.188619689;;;;
SPL;524;1.006842803;;;;
UMW;231;1.20082709;;;;
UMW;419;1.334375737;;;;
UMW;32;0.765185945;;;;
SAP;319;1.023821273;;;;
CPL;196;0.992389681;;;;
UMW;398;1.22656851;;;;
SAP;272;1.023821273;;;;
SAP;109;1.474516808;;;;
UMW;369;1.311994299;;;;
UMW;457;1.334375737;;;;
SPL;30;1.288913328;;;;
WMT;396;1.288913328;;;;
XER;769;0.854814692;;;;
SAP;447;1.040418172;;;;
NAP;435;1.265087683;;;;
XER;834;1.252880283;;;;
XER;307;0.989464802;;;;
WMT;396;1.175068282;;;;
WMT;374;1.188619689;;;;
TPL;777;0.875619757;;;;
SAP;414;1.132855026;;;;
SAP;278;1.201926913;;;;
TPL;410;0.895854746;;;;
SAP;180;1.37720112;;;;
WMT;381;1.152922263;;;;
WMT;468;1.023821273;;;;
WMT;492;0.989464802;;;;
TPL;505;0.811359163;;;;
WMT;405;1.277096581;;;;
NAP;515;1.088081867;;;;
SAP;117;0.977052226;;;;
UMW;354;1.201926913;;;;
NAP;512;1.040418172;;;;
CPL;515;0.875619756;;;;
NPL;399;0.544739638;;;;
WMT;431;1.300543977;;;;
XER;518;1.427460708;;;;
SPL;573;0.788633341;;;;
SAP;88;1.132855026;;;;
SAP;106;1.277096581;;;;
SAP;373;1.175068282;;;;
SPL;157;0.44152112;;;;
SPL;217;0.765185945;;;;
XER;747;1.277096581;;;;
XER;272;1.023821273;;;;
CPL;95;1.023821273;;;;
CPL;397;0.765185945;;;;
WMT;425;1.265087683;;;;
NAP;422;1.240467706;;;;
NAP;518;0.833406499;;;;
NPL;739;1.417678699;;;;
UMW;111;1.277096581;;;;
NAP;379;0.811359163;;;;
NAP;480;0.740969646;;;;
NAP;463;1.147195883;;;;
UMW;220;1.300543977;;;;
SAP;471;1.006842803;;;;
WMT;122;0.980620015;;;;
NAP;427;0.971668015;;;;
UMW;446;1.312940527;;;;
CPL;276;1.056650275;;;;
SAP;327;0.971668015;;;;
TPL;476;1.334375737;;;;
TPL;206;1.252880283;;;;
CPL;113;1.214998598;;;;
NAP;490;1.188619689;;;;
TPL;44;0.276722704;;;;
CPL;37;0.903796016;;;;
TPL;716;0.321495863;;;;
TPL;105;0.544739638;;;;
CPL;289;0.971668015;;;;
UMW;20;1.252880283;;;;
XER;851;1.492530651;;;;
TPL;113;1.118230173;;;;
TPL;34;0.895854746;;;;
WMT;481;1.265087683;;;;
TPL;212;0.788633341;;;;
CPL;303;1.201926913;;;;
CPL;321;1.132855025;;;;
WMT;436;1.161263564;;;;
XER;401;1.345317136;;;;
NAP;244;1.033824102;;;;
UMW;388;1.345317136;;;;
WMT;449;0.663157646;;;;
NAP;517;0.895854746;;;;
NAP;547;1.187275683;;;;
SPL;186;0.511910636;;;;
SAP;101;1.201926913;;;;
SAP;50;0.690016276;;;;
NAP;159;1.072533273;;;;
SAP;405;0.715932302;;;;
NPL;390;1.474516808;;;;
CPL;143;1.103309848;;;;
SAP;12;0.934733772;;;;
SAP;498;1.300543977;;;;
SAP;476;0.971668015;;;;
SAP;445;1.05343227;;;;
NAP;440;1.072533273;;;;
NPL;400;0.854814692;;;;
SPL;62;0.511910636;;;;
NPL;186;0.8334065;;;;
NPL;428;1.072533273;;;;
WMT;184;1.427460708;;;;
NAP;462;1.201926913;;;;
WMT;856;1.161263564;;;;
WMT;320;1.103309848;;;;
CPL;482;0.953431757;;;;
CPL;13;1.188619689;;;;
CPL;206;1.214998598;;;;
XER;873;1.300543977;;;;
CPL;129;0.854814692;;;;
SAP;466;0.833406499;;;;
WMT;341;0.765185945;;;;
WMT;472;1.308197216;;;;
CPL;191;1.240467706;;;;
XER;181;0.786321818;;;;
CPL;361;0.946009273;;;;
NAP;152;1.407765383;;;;
NAP;457;1.188619689;;;;
XER;241;0.875619757;;;;
XER;63;0.833406499;;;;
WMT;326;1.132855025;;;;
WMT;414;0.831594153;;;;
WMT;192;1.188619689;;;;
XER;425;1.240467706;;;;
SAP;256;0.715932301;;;;
WMT;447;1.345317136;;;;
XER;369;0.477554166;;;;
WMT;432;1.072533273;;;;
SAP;494;1.446644409;;;;
NPL;81;0.715932301;;;;
WMT;465;0.811359163;;;;
SAP;345;1.147195883;;;;
TPL;122;0.690016276;;;;
WMT;173;1.288913328;;;;
NAP;5;1.132855025;;;;
UMW;286;0.788633341;;;;
UMW;265;1.168658178;;;;
CPL;280;1.118230173;;;;
CPL;259;0.700925351;;;;
CPL;41;0.477554166;;;;
CPL;244;1.059854319;;;;
NAP;457;0.740969646;;;;
SAP;409;0.964427458;;;;
TPL;361;1.006842803;;;;
NAP;474;1.022140883;;;;
WMT;82;1.277096581;;;;
WMT;337;1.176207112;;;;
WMT;391;1.175068282;;;;
CPL;557;1.265087683;;;;
TPL;155;0.511910636;;;;
CPL;217;1.201926913;;;;
SAP;288;1.161263564;;;;
NAP;219;0.895854746;;;;
SAP;475;0.895854747;;;;
CPL;305;1.227842938;;;;
TPL;421;0.788633341;;;;
NAP;347;1.312940527;;;;
NAP;421;1.042057531;;;;
WMT;1260;1.407765383;;;;
UMW;191;0.875619756;;;;
CPL;265;1.427460708;;;;
TPL;103;1.040418172;;;;
UMW;277;1.214998598;;;;
XER;809;1.088081867;;;;
NAP;393;0.811359163;;;;
SPL;70;1.023821273;;;;
WMT;150;1.175068283;;;;
WMT;495;1.048037571;;;;
SAP;84;1.366725329;;;;
SAP;255;1.040418172;;;;
NPL;938;1.456052573;;;;
NPL;465;1.300543977;;;;
NAP;378;1.176207112;;;;
TPL;87;0.811359163;;;;
UMW;357;0.942269868;;;;
UMW;366;1.227842938;;;;
WMT;441;0.953431757;;;;
SAP;391;1.227842938;;;;
TPL;123;0.511910636;;;;
XER;905;1.387530393;;;;
XER;490;1.323269799;;;;
NAP;529;0.989464802;;;;
NPL;498;0.875619756;;;;
SAP;352;0.765185945;;;;
CPL;3;0.934733772;;;;
TPL;353;0.321495863;;;;
SAP;301;1.088081867;;;;
UMW;190;1.334375737;;;;
TPL;50;1.042057531;;;;
TPL;470;1.006842803;;;;
TPL;368;0.8334065;;;;
TPL;67;0.17810564;;;;
TPL;443;0.663157646;;;;
NPL;981;1.175068282;;;;
NPL;446;1.323269799;;;;
UMW;475;1.088081867;;;;
NAP;439;1.161263564;;;;
TPL;106;0.833406499;;;;
SPL;546;0.989464802;;;;
SPL;312;0.765185945;;;;
WMT;99;1.175068282;;;;
NPL;354;1.300543977;;;;
WMT;561;1.20082709;;;;
WMT;157;1.198401699;;;;
CPL;129;1.056650275;;;;
NPL;416;0.740969646;;;;
TPL;431;1.072533273;;;;
WMT;431;0.788633341;;;;
TPL;273;0.934733772;;;;
SAP;459;0.811359163;;;;
SAP;105;0.852701584;;;;
SPL;317;0.276722704;;;;
NAP;179;0.403639436;;;;
UMW;435;1.175068282;;;;
TPL;45;0.765185945;;;;
UMW;392;1.072533273;;;;
CPL;76;1.288913328;;;;
SPL;200;1.201926913;;;;
TPL;309;0.663157646;;;;
UMW;194;0.788633341;;;;
SPL;179;0.953431757;;;;
CPL;426;0.788633341;;;;
NAP;171;1.175068283;;;;
WMT;465;1.277096581;;;;
WMT;413;1.025497848;;;;
WMT;965;1.161263564;;;;
NAP;164;1.214998598;;;;
SAP;152;1.023821273;;;;
SAP;276;1.265087683;;;;
UMW;379;0.740969646;;;;
NAP;168;0.908607309;;;;
SAP;340;0.971668015;;;;
NAP;434;1.147195883;;;;
XER;1030;0.895854746;;;;
SPL;35;1.334375737;;;;
SAP;450;0.989464802;;;;
SAP;394;0.953431757;;;;
UMW;417;1.005123289;;;;
NAP;96;1.132855026;;;;
UMW;189;1.118230172;;;;
UMW;63;1.300543977;;;;
NAP;71;1.214998598;;;;
SAP;455;1.311994299;;;;
SAP;505;1.086541656;;;;
TPL;347;0.895854746;;;;
SPL;215;0.511910637;;;;
SPL;189;0.36370912;;;;
NPL;415;1.356098801;;;;
TPL;189;0.788633341;;;;
SAP;326;0.971668015;;;;
SAP;414;1.214998598;;;;
XER;784;1.483578651;;;;
CPL;141;1.161263564;;;;
WMT;314;0.95711521;;;;
UMW;42;1.056650275;;;;
TPL;361;0.579242049;;;;
CPL;163;1.103309848;;;;
TPL;730;1.088081867;;;;
TPL;296;1.040418172;;;;
WMT;300;1.056650275;;;;
NAP;315;0.715932302;;;;
SPL;309;1.227842938;;;;
UMW;583;0.690016276;;;;
UMW;438;1.147195883;;;;
CPL;28;1.188619689;;;;
NAP;352;1.227842938;;;;
XER;134;1.158471383;;;;
XER;186;1.132855025;;;;
SPL;561;1.417678699;;;;
SPL;388;1.161263564;;;;
UMW;325;1.147195883;;;;
CPL;47;1.161263564;;;;
CPL;187;1.161263564;;;;
SAP;491;1.300543977;;;;
TPL;186;0.856921772;;;;
UMW;270;0.895854746;;;;
CPL;366;1.118230172;;;;
CPL;102;1.427460708;;;;
NAP;231;1.252880283;;;;
NPL;195;1.040418172;;;;
WMT;464;0.788633341;;;;
WMT;1024;1.132855025;;;;
WMT;465;1.252880283;;;;
SAP;352;1.323269799;;;;
TPL;103;0.971668015;;;;
TPL;18;1.006842803;;;;
NAP;399;1.118230173;;;;
SPL;952;0.477554166;;;;
TPL;361;0.44152112;;;;
NPL;355;1.103309848;;;;
CPL;142;1.201926913;;;;
CPL;62;1.288913328;;;;
TPL;416;0.544739639;;;;
NAP;230;0.788633341;;;;
WMT;517;1.288913328;;;;
TPL;490;1.37720112;;;;
NAP;450;1.343504789;;;;
NAP;298;1.201926913;;;;
CPL;134;1.022140883;;;;
SAP;388;1.311994299;;;;
NPL;445;1.240467706;;;;
CPL;8;1.103309848;;;;
UMW;26;1.072533273;;;;
UMW;41;1.147195883;;;;
CPL;111;0.835575461;;;;
WMT;702;1.437114845;;;;
WMT;422;1.407765383;;;;
WMT;421;1.397717188;;;;
CPL;4;0.57617123;;;;
WMT;447;1.006842802;;;;
SAP;214;1.188619689;;;;
SAP;404;0.8334065;;;;
XER;402;1.188619689;;;;
UMW;292;1.227842938;;;;
TPL;264;1.188619689;;;;
TPL;129;1.056650275;;;;
SAP;160;0.953431757;;;;
SAP;73;1.072533273;;;;
SAP;20;0.925204208;;;;
XER;1122;0.765185945;;;;
UMW;437;1.252880283;;;;
UMW;309;1.265087683;;;;
UMW;354;1.062362066;;;;
XER;924;1.288913328;;;;
UMW;379;1.023821273;;;;
SAP;390;1.240467706;;;;
SAP;347;0.740969646;;;;
TPL;868;1.214998598;;;;
TPL;148;0.971668015;;;;
NAP;481;0.756628133;;;;
SAP;321;0.676709052;;;;
CPL;61;0.788633341;;;;
WMT;952;1.040418172;;;;
WMT;389;1.072533273;;;;
UMW;357;1.103309848;;;;
WMT;449;1.201926913;;;;
CPL;141;0.606319536;;;;
SAP;181;0.875619756;;;;
XER;230;0.663157646;;;;
NAP;355;0.971668015;;;;
SAP;34;0.875619756;;;;
XER;555;1.188619689;;;;
XER;116;1.118230172;;;;
TPL;467;1.356098801;;;;
CPL;110;0.934733772;;;;
TPL;243;0.740969646;;;;
UMW;207;0.854814692;;;;
UMW;101;1.023821273;;;;
NAP;466;1.345317136;;;;
NAP;315;1.161263564;;;;
NPL;897;0.690016276;;;;
NPL;439;0.854814692;;;;
WMT;428;1.056650275;;;;
CPL;105;1.132855025;;;;
CPL;15;0.765185945;;;;
SAP;368;1.132855026;;;;
CPL;67;1.056650275;;;;
XER;1217;1.427460708;;;;
CPL;471;0.690016276;;;;
TPL;245;0.811359162;;;;
NAP;152;1.008272679;;;;
NPL;168;1.088081867;;;;
NPL;276;1.252880283;;;;
UMW;391;1.023821273;;;;
UMW;314;1.188619689;;;;
NAP;359;0.854814692;;;;
SPL;593;1.232918772;;;;
TPL;456;0.833406499;;;;
CPL;261;1.240467706;;;;
WMT;393;1.288913328;;;;
TPL;513;0.953431757;;;;
NAP;420;1.427460708;;;;
NAP;490;1.072533273;;;;
SAP;427;0.811359163;;;;
SPL;199;1.072533273;;;;
NAP;443;1.334375737;;;;
UMW;166;1.072533273;;;;
UMW;215;1.103309848;;;;
SPL;298;1.387530393;;;;
TPL;377;0.989464802;;;;
SPL;256;1.006842803;;;;
UMW;447;0.946009273;;;;
UMW;416;1.201926913;;;;
SPL;311;0.953431757;;;;
SAP;268;1.072533273;;;;
NPL;434;1.265087683;;;;
CPL;116;1.300543977;;;;
CPL;415;1.201926913;;;;
CPL;136;0.875619756;;;;
CPL;270;0.934733772;;;;
TPL;60;0.989464802;;;;
CPL;327;0.991221119;;;;
NAP;180;1.082935289;;;;
UMW;517;1.072533273;;;;
UMW;340;1.023821273;;;;
NAP;399;0.934733772;;;;
NAP;354;0.635285246;;;;
NAP;479;0.971668015;;;;
WMT;512;1.147195883;;;;
NPL;429;0.635285246;;;;
SPL;491;1.311994299;;;;
SPL;168;0.733547162;;;;
CPL;554;0.895854746;;;;
TPL;379;1.227842938;;;;
SAP;476;1.37720112;;;;
WMT;479;0.854814692;;;;
WMT;341;1.37720112;;;;
WMT;388;1.188619689;;;;
WMT;405;1.056650275;;;;
NPL;167;0.44152112;;;;
NPL;189;0.895854746;;;;
NAP;405;0.953431757;;;;
NPL;292;1.252880283;;;;
SAP;398;0.854814692;;;;
UMW;249;0.971668015;;;;
TPL;407;0.403639435;;;;
SAP;428;1.110807688;;;;
WMT;481;1.252880283;;;;
NAP;461;1.188619689;;;;
NAP;62;1.272316429;;;;
WMT;492;1.501375439;;;;
WMT;478;1.040418172;;;;
NPL;419;1.188619689;;;;
NPL;383;0.57617123;;;;
NPL;282;1.09268332;;;;
NAP;457;0.971668015;;;;
SAP;63;0.635285246;;;;
TPL;171;1.118230172;;;;
SPL;388;0.934733772;;;;
SPL;14;1.072533273;;;;
NPL;316;0.576171231;;;;
TPL;453;0.971668015;;;;
TPL;432;0.477554166;;;;
CPL;340;0.57617123;;;;
WMT;411;1.088081867;;;;
WMT;384;1.097256282;;;;
NAP;467;0.971668015;;;;
NAP;502;1.161263564;;;;
TPL;263;0.765185945;;;;
SPL;231;1.023821273;;;;
WMT;1288;1.161263564;;;;
XER;495;1.300543977;;;;
UMW;452;1.023821273;;;;
SAP;73;1.042057531;;;;
UMW;218;0.833406499;;;;
XER;820;1.188619689;;;;
TPL;380;1.040418172;;;;
XER;505;1.147195883;;;;
WMT;356;1.006842803;;;;
WMT;445;0.940124533;;;;
TPL;11;0.895854746;;;;
TPL;605;0.875619757;;;;
SAP;433;1.277096581;;;;
WMT;384;1.288913328;;;;
NPL;462;1.023821273;;;;
TPL;424;0.690016276;;;;
CPL;435;1.040418172;;;;
SAP;25;1.311994299;;;;
SAP;10;1.437114845;;;;
SPL;226;0.22905901;;;;
XER;326;1.288913328;;;;
TPL;309;0.934733772;;;;
TPL;503;0.971668015;;;;
TPL;815;0.403639436;;;;
CPL;148;1.175068282;;;;
TPL;600;1.056650275;;;;
TPL;268;0.606319536;;;;
WMT;1378;1.483578651;;;;
WMT;452;0.811359162;;;;
WMT;419;0.971668015;;;;
SPL;18;0.740969646;;;;
SPL;309;1.240467706;;;;
NAP;385;1.437114845;;;;
NAP;383;1.361431177;;;;
TPL;42;0.663157646;;;;
NAP;277;0.934733772;;;;
NAP;417;0.788633341;;;;
NPL;248;1.161263564;;;;
SAP;386;1.118230173;;;;
NAP;220;0.953431757;;;;
TPL;185;0.321495863;;;;
TPL;200;0.740969646;;;;
SAP;443;0.971668015;;;;
SAP;68;1.227842938;;;;
WMT;489;1.405766651;;;;
WMT;443;1.300543977;;;;
SAP;368;0.971668015;;;;
WMT;505;0.95711521;;;;
NPL;87;1.263875984;;;;
SPL;92;1.188619689;;;;
NPL;351;0.895854746;;;;
TPL;518;0.321495863;;;;
CPL;188;1.088081867;;;;
CPL;423;1.072533273;;;;
SPL;276;0.953431757;;;;
XER;463;0.321495863;;;;
NAP;398;1.161263564;;;;
UMW;277;1.103309848;;;;
SAP;143;0.953431757;;;;
NAP;253;0.971668015;;;;
CPL;209;0.511910636;;;;
NPL;464;1.397717188;;;;
TPL;189;0.915550072;;;;
