Ecoregions;Insect_LCBD;SumNat_PFC;Habitat_Heterogeneity;Pred_LCBD_Insect;lower_LCBD_Insect;upperr_LCBD_Insect
TPL;0.001159833;1.214998598;1.417;-10.00057089;-10.28161683;-9.719524954
NAP;0.001184199;1.161263564;1.418;-10.00055228;-10.28159964;-9.719504917
SAP;0.000695843;0.811359163;1.425;-10.000422;-10.28147942;-9.71936457
SAP;0.001281624;0.788633341;1.427;-10.00038477;-10.2814451;-9.719324442
WMT;0.001000411;1.040418172;1.437;-10.00019865;-10.28127369;-9.719123611
NPL;0.000914249;1.247733705;1.447;-10.00001253;-10.28110261;-9.71892246
WMT;0.001416211;1.282725539;1.454;-9.99988225;-10.28098304;-9.718781464
WMT;0.001596609;1.211001127;1.456;-9.999845026;-10.2809489;-9.718741151
SAP;0.000844414;0.854814692;1.463;-9.999714743;-10.28082953;-9.718599954
NPL;0.000914321;1.072533273;1.465;-9.999677519;-10.28079545;-9.718559584
UMW;0.001229788;0.715932301;1.475;-9.9994914;-10.28062526;-9.718357538
SAP;0.000683222;1.103309848;1.484;-9.999323892;-10.28047236;-9.718175425
NAP;0.00073433;1.147195883;1.493;-9.999156385;-10.28031972;-9.717993053
NAP;0.001049033;1.072533273;1.494;-9.999137773;-10.28030277;-9.717972773
NAP;0.001143857;1.300543977;1.501;-9.99900749;-10.28018425;-9.717830727
WMT;0.001404701;1.288913328;1.51;-9.998839983;-10.2800321;-9.717647867
WMT;0.001002466;0.989464802;1.514;-9.998765535;-10.27996456;-9.717566512
NAP;0.000837553;1.300543977;1.519;-9.998672476;-10.2798802;-9.717464748
TPL;0.001342682;0.663157646;;;;
UMW;0.001200616;0.690016276;;;;
NAP;0.00083748;1.300543977;;;;
SAP;0.000829489;1.175068282;;;;
SAP;0.001066712;1.175068282;;;;
UMW;0.000797679;1.088081867;;;;
SAP;0.001052471;1.311994299;;;;
WMT;0.001421807;1.345317136;;;;
TPL;0.00116014;1.407765383;;;;
WMT;0.00151447;1.387530393;;;;
SAP;0.000826137;1.188619689;;;;
SAP;0.000718925;1.214998598;;;;
SAP;0.001039354;1.006842803;;;;
UMW;0.000777986;0.859022857;;;;
UMW;0.001008369;1.214998598;;;;
SAP;0.001166209;1.323269799;;;;
WMT;0.001424671;1.118230172;;;;
WMT;0.001272786;1.277096581;;;;
TPL;0.000639368;0.635285246;;;;
TPL;0.000854265;0.971668015;;;;
CPL;0.000623267;0.811359163;;;;
WMT;0.001007307;0.895854746;;;;
XER;0.001026299;1.072533273;;;;
WMT;0.000971511;1.240467706;;;;
NAP;0.001310864;0.989464803;;;;
WMT;0.00146765;1.417678699;;;;
TPL;0.001110102;0.477554166;;;;
TPL;0.000867275;0.854814692;;;;
CPL;0.00080264;0.915550072;;;;
CPL;0.001019144;0.765185945;;;;
NAP;0.001172653;1.103309848;;;;
SAP;0.001170932;1.170953893;;;;
NAP;0.001583294;1.397717188;;;;
SAP;0.000846586;1.040418172;;;;
SAP;0.001116789;1.214998598;;;;
NAP;0.001420445;1.040418172;;;;
NAP;0.001155952;1.118230173;;;;
CPL;0.001110706;0.971668015;;;;
SAP;0.000738049;1.023821273;;;;
TPL;0.000772227;1.161263564;;;;
CPL;0.000813134;0.934733772;;;;
WMT;0.000990305;1.240467706;;;;
NAP;0.000949684;0.788633341;;;;
NAP;0.001068735;1.086982044;;;;
CPL;0.001141319;0.989464802;;;;
NAP;0.001204303;1.103309848;;;;
UMW;0.001119244;1.056650275;;;;
TPL;0.001305355;0.915550072;;;;
TPL;0.001012189;1.118230173;;;;
UMW;0.000732794;1.040418172;;;;
UMW;0.001237201;0.971668015;;;;
NAP;0.001509924;1.20082709;;;;
SAP;0.000824629;0.765185945;;;;
WMT;0.000911179;1.416693334;;;;
SAP;0.000997521;0.788633341;;;;
WMT;0.001408941;1.214998598;;;;
CPL;0.000698802;0.833406499;;;;
NPL;0.000838208;0.788633341;;;;
CPL;0.000669196;1.132855026;;;;
NAP;0.000783491;0.953431756;;;;
TPL;0.001599284;1.446644409;;;;
SPL;0.00117146;0.934733772;;;;
SAP;0.001297314;1.023821273;;;;
NAP;0.001063561;1.302464735;;;;
TPL;0.000715985;0.57617123;;;;
TPL;0.001064503;0.788633341;;;;
WMT;0.000894722;1.18051872;;;;
WMT;0.001000717;1.417678699;;;;
TPL;0.00085272;1.175068282;;;;
TPL;0.001293825;1.103309848;;;;
CPL;0.001033095;0.953431757;;;;
SAP;0.000684549;0.44152112;;;;
TPL;0.001208829;0.477554166;;;;
XER;0.001475227;0.663157646;;;;
SAP;0.001332009;1.175068282;;;;
TPL;0.00128291;0.989464802;;;;
UMW;0.000590334;0.544739638;;;;
UMW;0.00096127;0.915550072;;;;
CPL;0.000741505;1.110807689;;;;
CPL;0.001471508;1.110807689;;;;
CPL;0.000858116;0.971668015;;;;
WMT;0.000964353;0.971668015;;;;
NAP;0.001440134;0.989464802;;;;
NAP;0.001072303;0.854814692;;;;
XER;0.000716063;1.265087683;;;;
NAP;0.001229862;1.427460708;;;;
NAP;0.001609691;1.265087683;;;;
WMT;0.001247503;1.311994299;;;;
WMT;0.000755883;0.934733772;;;;
SAP;0.000729155;0.915550072;;;;
SAP;0.000725473;0.953431757;;;;
SAP;0.001031883;0.715932301;;;;
TPL;0.000700623;0.36370912;;;;
TPL;0.000885722;0.064260594;;;;
UMW;0.000910067;0.788633341;;;;
UMW;0.000713878;0.562864007;;;;
XER;0.001363629;1.201926913;;;;
SAP;0.000781277;0.606319536;;;;
SAP;0.001468276;1.147195883;;;;
SAP;0.001154377;1.161263564;;;;
CPL;0.000834793;1.161263564;;;;
SAP;0.000828717;1.006842803;;;;
SPL;0.00102996;1.356098801;;;;
WMT;0.000854121;0.971668015;;;;
WMT;0.001048261;0.740969646;;;;
SAP;0.001074378;1.161263564;;;;
CPL;0.00159515;1.023821273;;;;
CPL;0.000869907;1.288913328;;;;
WMT;0.000882281;0.875619756;;;;
WMT;0.001224898;0.915550072;;;;
WMT;0.000947079;1.357168361;;;;
CPL;0.000580035;0.606319536;;;;
CPL;0.000778184;0.934733772;;;;
SAP;0.001141067;1.175068282;;;;
WMT;0.001472282;0.765185945;;;;
CPL;0.000733197;1.118230172;;;;
WMT;0.001025235;1.334375737;;;;
WMT;0.001600297;1.483578651;;;;
WMT;0.001045653;1.483578651;;;;
CPL;0.000819043;1.090002624;;;;
WMT;0.001478646;1.188619689;;;;
SAP;0.000918953;1.023821273;;;;
SAP;0.000787951;1.056650275;;;;
UMW;0.000866678;0.934733772;;;;
WMT;0.001367787;0.915550072;;;;
CPL;0.000799305;0.875619756;;;;
CPL;0.000867133;1.227842938;;;;
WMT;0.000833404;1.214998598;;;;
SAP;0.000699991;0.765185945;;;;
SAP;0.001291117;0.788633341;;;;
SAP;0.000860371;1.201926913;;;;
TPL;0.000693864;0.064260594;;;;
TPL;0.000945594;1.088081867;;;;
SAP;0.000757622;1.188619689;;;;
SAP;0.001135889;0.875619756;;;;
SAP;0.00081706;0.854814692;;;;
WMT;0.000820747;1.323269799;;;;
WMT;0.000957537;1.227842938;;;;
NAP;0.000743972;1.147195883;;;;
NAP;0.001053846;1.039049255;;;;
SAP;0.000679297;0.971668015;;;;
NAP;0.001333063;1.300543977;;;;
WMT;0.000843734;1.023821273;;;;
WMT;0.001262271;0.989464802;;;;
SAP;0.000894703;1.366725329;;;;
SPL;0.000980071;0.854814692;;;;
CPL;0.000856266;1.006842803;;;;
UMW;0.001037384;0.811359163;;;;
SAP;0.001135656;1.072533273;;;;
WMT;0.000999966;1.300543977;;;;
SAP;0.000995502;1.098990941;;;;
WMT;0.000869845;1.360367778;;;;
NAP;0.001614323;1.446644409;;;;
NAP;0.001193796;1.240467706;;;;
UMW;0.000814605;0.875619757;;;;
UMW;0.000811471;1.056650275;;;;
UMW;0.00113156;1.188619689;;;;
NAP;0.000992503;0.511910636;;;;
SPL;0.000788882;1.040418172;;;;
SPL;0.001102432;0.953431757;;;;
SAP;0.000790104;1.188619689;;;;
UMW;0.000713356;0.811359163;;;;
UMW;0.001077682;1.188619689;;;;
TPL;0.000586625;0.511910636;;;;
CPL;0.001109825;0.985939588;;;;
SAP;0.000652134;1.288913328;;;;
TPL;0.000906557;0.915550072;;;;
SAP;0.000810747;1.161263564;;;;
UMW;0.001164237;1.103309848;;;;
XER;0.0013877;1.456052573;;;;
XER;0.001466174;1.387530393;;;;
XER;0.000914047;1.201926913;;;;
XER;0.001252859;1.277096581;;;;
NAP;0.001277747;1.088081867;;;;
NAP;0.001094537;0.915550072;;;;
XER;0.001217514;1.056650275;;;;
NAP;0.001042451;1.366725329;;;;
SAP;0.000802991;0.953431757;;;;
SAP;0.001117528;1.397717188;;;;
CPL;0.000753449;1.417678699;;;;
XER;0.000954124;0.934733772;;;;
TPL;0.000695051;0.989464802;;;;
SAP;0.000836005;1.023821273;;;;
WMT;0.000816653;1.056650275;;;;
SPL;0.001590735;1.040418172;;;;
TPL;0.000611877;0.57617123;;;;
UMW;0.000830945;1.252880283;;;;
NAP;0.001595633;1.068594432;;;;
TPL;0.00089872;1.022140883;;;;
CPL;0.001608398;1.345317136;;;;
TPL;0.000848697;0.833406499;;;;
TPL;0.000850665;1.214998598;;;;
SAP;0.001401858;0.715932302;;;;
WMT;0.001451038;0.775326117;;;;
WMT;0.000943774;1.006842803;;;;
NAP;0.000729414;0.511910636;;;;
NAP;0.000919277;0.953431756;;;;
CPL;0.001275457;1.288913328;;;;
CPL;0.001103119;1.147195883;;;;
CPL;0.000812033;0.989464802;;;;
XER;0.001370186;1.288913328;;;;
XER;0.001248429;1.366725329;;;;
WMT;0.001040487;1.427460708;;;;
SAP;0.000738876;0.989464802;;;;
SAP;0.000905221;1.161263564;;;;
WMT;0.001281878;0.854814692;;;;
TPL;0.001297309;1.072533273;;;;
CPL;0.000807942;1.056650275;;;;
WMT;0.001356389;1.132855025;;;;
WMT;0.001206814;1.265087683;;;;
NAP;0.00070524;1.483578651;;;;
SAP;0.000810128;1.201926913;;;;
TPL;0.001115215;1.345317136;;;;
WMT;0.00114983;1.311994299;;;;
CPL;0.00126561;1.132855025;;;;
CPL;0.000644833;1.201926913;;;;
SAP;0.000759315;1.345317136;;;;
SAP;0.000872067;1.323269799;;;;
SAP;0.001087434;0.8334065;;;;
WMT;0.000714182;0.44152112;;;;
WMT;0.001130087;0.740969646;;;;
CPL;0.000872987;0.875619756;;;;
CPL;0.001167417;1.006842803;;;;
NAP;0.000767455;0.663157646;;;;
NAP;0.001119319;1.288913328;;;;
UMW;0.00063959;0.715932302;;;;
WMT;0.001003021;1.147195883;;;;
NAP;0.001309727;1.363200115;;;;
NAP;0.001111379;0.790554098;;;;
SAP;0.000964363;0.544739639;;;;
SPL;0.001128847;1.072533273;;;;
SPL;0.000995016;1.006842803;;;;
SAP;0.000865867;1.252880283;;;;
SAP;0.001011294;1.118230172;;;;
UMW;0.000709386;0.915550072;;;;
WMT;0.000798498;1.366725329;;;;
WMT;0.001023595;1.311994299;;;;
NAP;0.001440994;1.227842938;;;;
SAP;0.001287791;1.212835988;;;;
WMT;0.001496172;1.240467706;;;;
WMT;0.001258838;1.088081867;;;;
WMT;0.001046367;0.78863334;;;;
SAP;0.000732202;1.056650275;;;;
SPL;0.000959365;1.201926913;;;;
SAP;0.000653695;0.854814692;;;;
SAP;0.000768697;0.915550072;;;;
SAP;0.001179577;0.854814692;;;;
TPL;0.00110904;1.040418172;;;;
CPL;0.001145978;1.040418172;;;;
WMT;0.000808701;1.288913328;;;;
SAP;0.001034735;1.118230173;;;;
UMW;0.001087132;1.006842803;;;;
SAP;0.000738921;0.788633341;;;;
XER;0.00140117;0.934733772;;;;
CPL;0.001025386;1.288913328;;;;
UMW;0.000927056;1.006842803;;;;
SAP;0.00067833;1.072533273;;;;
XER;0.001218275;1.103309848;;;;
CPL;0.000702656;1.040418172;;;;
SAP;0.000733176;1.132855026;;;;
NAP;0.000851667;1.323269799;;;;
SAP;0.000861655;0.915550072;;;;
XER;0.001390346;1.175068282;;;;
CPL;0.000680659;1.288913328;;;;
SPL;0.001215374;0.788633341;;;;
CPL;0.000718954;1.161263564;;;;
CPL;0.001078197;0.833406499;;;;
UMW;0.000837737;1.288913328;;;;
NAP;0.001613784;1.427460708;;;;
TPL;0.001090757;0.511910637;;;;
TPL;0.000712872;0.635285246;;;;
TPL;0.000905725;1.006842803;;;;
NAP;0.000947228;0.765185945;;;;
SPL;0.001185736;0.875619757;;;;
SPL;0.001052876;0.915550072;;;;
NAP;0.000736859;1.056650275;;;;
NPL;0.000884073;0.971668015;;;;
SAP;0.000684683;0.953431757;;;;
SAP;0.000842228;0.915550072;;;;
SAP;0.001268339;0.934733772;;;;
WMT;0.001196967;1.387530393;;;;
CPL;0.000836331;0.971668015;;;;
SAP;0.00077743;0.765185945;;;;
CPL;0.001367833;1.188619689;;;;
CPL;0.000757125;0.915550072;;;;
CPL;0.000789288;0.953431757;;;;
SAP;0.000730303;0.854814692;;;;
SAP;0.001053378;1.323269799;;;;
TPL;0.000671136;0.740969646;;;;
NAP;0.000891777;0.989464802;;;;
SAP;0.000793372;1.006842803;;;;
NAP;0.001388932;1.252880283;;;;
UMW;0.001104153;0.811359163;;;;
UMW;0.000745134;1.115270125;;;;
UMW;0.001040325;1.427460708;;;;
WMT;0.001458181;1.407765383;;;;
WMT;0.001612815;1.334375737;;;;
UMW;0.000730566;0.854814692;;;;
UMW;0.000877753;1.040418172;;;;
WMT;0.000935531;0.854814692;;;;
CPL;0.00103819;0.934733772;;;;
TPL;0.000747858;0.895854746;;;;
WMT;0.000908009;1.289694429;;;;
CPL;0.000731826;1.288913328;;;;
WMT;0.001108926;1.040418172;;;;
CPL;0.001351492;1.345317136;;;;
CPL;0.00080012;1.188619689;;;;
SAP;0.000816719;0.915550072;;;;
WMT;0.001066307;0.811359163;;;;
TPL;0.000721402;0.811359163;;;;
TPL;0.000790233;0.635285246;;;;
CPL;0.000605068;0.544739639;;;;
CPL;0.000774843;0.663157646;;;;
NAP;0.001108684;0.915550072;;;;
SAP;0.000973646;0.915550072;;;;
NAP;0.000786453;1.366725329;;;;
NAP;0.001136229;0.788633341;;;;
TPL;0.000654715;0.606319536;;;;
UMW;0.001074321;1.214998598;;;;
UMW;0.001295999;1.227842938;;;;
TPL;0.001187106;0.971668015;;;;
TPL;0.001045617;0.740969646;;;;
CPL;0.001182763;0.915550072;;;;
SPL;0.000679807;0.511910636;;;;
NAP;0.001373806;1.265087684;;;;
TPL;0.001013271;0.635285247;;;;
NAP;0.000766715;0.989464802;;;;
XER;0.00123717;1.005123289;;;;
WMT;0.000868778;1.446644409;;;;
NAP;0.001060186;1.188619689;;;;
UMW;0.001105939;0.976157579;;;;
UMW;0.000988276;1.184580312;;;;
WMT;0.000844624;1.214998598;;;;
WMT;0.001178679;1.201926913;;;;
TPL;0.001200948;0.811359163;;;;
TPL;0.0010007;1.356098801;;;;
TPL;0.000678807;0.765185945;;;;
TPL;0.000774082;1.118230173;;;;
NAP;0.000794243;0.915550072;;;;
NAP;0.00115668;0.740969646;;;;
CPL;0.000753363;0.511910636;;;;
WMT;0.001388573;1.214998598;;;;
CPL;0.000718427;0.17810564;;;;
XER;0.001285084;0.765185945;;;;
SAP;0.000812692;1.407765383;;;;
WMT;0.000928356;1.397717188;;;;
NAP;0.001301799;1.147195883;;;;
WMT;0.001450805;0.953431757;;;;
SAP;0.000925805;1.023821273;;;;
WMT;0.001057759;1.323269799;;;;
CPL;0.000729835;0.740969646;;;;
WMT;0.00143335;1.437114845;;;;
SAP;0.000716538;0.544739639;;;;
SAP;0.00072227;0.915550072;;;;
NAP;0.001319859;1.036892958;;;;
NAP;0.001092756;1.056650275;;;;
SAP;0.000700118;1.277096581;;;;
SAP;0.001089724;1.397717188;;;;
TPL;0.001197224;1.006842803;;;;
NAP;0.000662234;0.788633341;;;;
NAP;0.001007278;0.915550072;;;;
WMT;0.001020073;1.311994299;;;;
CPL;0.000769936;1.040418172;;;;
XER;0.000945297;1.265087684;;;;
NAP;0.001412224;1.239214896;;;;
XER;0.001416069;0.934733772;;;;
XER;0.001156147;0.989464802;;;;
WMT;0.001370261;1.056650275;;;;
WMT;0.00109442;1.088081867;;;;
WMT;0.001471679;0.971668015;;;;
WMT;0.000841274;0.606319536;;;;
UMW;0.000711387;1.023821273;;;;
NAP;0.000742363;1.214998598;;;;
SAP;0.000713534;0.743427323;;;;
SAP;0.001000891;0.875619756;;;;
WMT;0.001195627;1.212402705;;;;
UMW;0.000726343;1.056650275;;;;
WMT;0.001039627;1.366725329;;;;
SAP;0.000697594;1.161263564;;;;
SAP;0.00089913;1.072533273;;;;
TPL;0.001402799;0.835575461;;;;
XER;0.000742724;1.147195883;;;;
XER;0.001302692;1.288913328;;;;
SAP;0.000822718;1.188619689;;;;
XER;0.001046974;0.663157646;;;;
XER;0.001508405;1.366725329;;;;
CPL;0.000783121;1.056650275;;;;
CPL;0.000705452;0.875619757;;;;
CPL;0.000927021;1.056650275;;;;
WMT;0.00094527;1.147195883;;;;
NAP;0.000764469;0.811359163;;;;
NAP;0.000794987;0.833406499;;;;
XER;0.001124184;1.265087684;;;;
UMW;0.000744615;1.147195883;;;;
NPL;0.001299817;1.072533273;;;;
CPL;0.001126945;0.875619756;;;;
WMT;0.000819766;1.288913328;;;;
WMT;0.000973079;1.103309848;;;;
NPL;0.000955303;0.17810564;;;;
SPL;0.000700506;0.895854746;;;;
TPL;0.000668094;0.22905901;;;;
TPL;0.000877245;1.023821273;;;;
SAP;0.00095121;1.356098801;;;;
WMT;0.001514679;1.201926913;;;;
WMT;0.001297141;1.388669223;;;;
SPL;0.000799505;0.779343521;;;;
UMW;0.00099637;1.072533273;;;;
SPL;0.000772144;1.188619689;;;;
WMT;0.001030689;1.161263564;;;;
TPL;0.000743;1.446644409;;;;
TPL;0.000821502;0.854814692;;;;
WMT;0.001251272;1.288913328;;;;
UMW;0.000817821;0.765185945;;;;
WMT;0.001157632;1.072533273;;;;
NAP;0.000702245;0.663157646;;;;
UMW;0.000846802;1.082935289;;;;
UMW;0.001161051;1.128821531;;;;
SPL;0.000855598;0.895854746;;;;
TPL;0.000633005;0.511910637;;;;
TPL;0.001297514;0.635285246;;;;
SAP;0.000712645;1.006842803;;;;
SAP;0.001334001;1.006842802;;;;
TPL;0.001045535;1.088081867;;;;
XER;0.00094829;0.934733772;;;;
SAP;0.000643316;1.140060262;;;;
CPL;0.000751288;0.989464802;;;;
WMT;0.001194205;1.175068283;;;;
WMT;0.001313487;1.147195883;;;;
TPL;0.000899068;1.214998598;;;;
SAP;0.000990741;1.240467706;;;;
SAP;0.00073721;1.175068282;;;;
CPL;0.000709285;0.934733772;;;;
UMW;0.000758716;1.161263564;;;;
UMW;0.001002903;1.247733705;;;;
TPL;0.001081265;1.118230173;;;;
CPL;0.000824485;0.811359163;;;;
XER;0.001614859;1.236283383;;;;
UMW;0.000745078;1.147195883;;;;
SAP;0.00076909;1.474516808;;;;
UMW;0.000942332;0.833406499;;;;
WMT;0.000847074;0.811359163;;;;
WMT;0.001202182;0.854814692;;;;
NAP;0.000995351;0.989464802;;;;
NAP;0.001385424;0.663157646;;;;
NAP;0.000895766;0.788633341;;;;
NPL;0.000761273;0.811359163;;;;
NPL;0.00103283;0.989464802;;;;
CPL;0.000737085;1.214998598;;;;
CPL;0.00080068;0.715932301;;;;
TPL;0.000957759;1.323269799;;;;
UMW;0.000785429;1.397717188;;;;
TPL;0.000754428;0.511910636;;;;
UMW;0.000844486;1.311994299;;;;
WMT;0.001378482;1.356098801;;;;
NPL;0.000927555;0.953431757;;;;
XER;0.000845714;1.300543977;;;;
XER;0.001062275;1.356098801;;;;
CPL;0.000789582;1.072533273;;;;
CPL;0.000724287;0.715932302;;;;
UMW;0.000700363;1.147195883;;;;
WMT;0.001409028;1.175068282;;;;
WMT;0.001195808;1.103309848;;;;
WMT;0.000958149;1.311994299;;;;
WMT;0.001350859;1.277096581;;;;
WMT;0.000923032;0.715932302;;;;
WMT;0.00128064;1.067804136;;;;
CPL;0.000820013;1.072533273;;;;
CPL;0.001272644;1.345317136;;;;
TPL;0.00113157;0.895854746;;;;
CPL;0.000701733;0.953431757;;;;
CPL;0.001013816;0.915550072;;;;
UMW;0.001029325;0.989464802;;;;
TPL;0.000702188;0.875619757;;;;
NAP;0.00120336;1.334375737;;;;
CPL;0.00085742;0.915550072;;;;
TPL;0.001144624;1.103309848;;;;
TPL;0.000678528;0.715932302;;;;
TPL;0.001071581;0.740969646;;;;
WMT;0.000881569;1.072533273;;;;
SAP;0.000782376;0.875619756;;;;
XER;0.001351537;1.023821273;;;;
CPL;0.000924511;1.334375737;;;;
SAP;0.000840722;1.161263564;;;;
CPL;0.00079397;0.740969646;;;;
WMT;0.001006366;1.147195883;;;;
NPL;0.001385657;1.518753439;;;;
SPL;0.000880002;1.188619689;;;;
SPL;0.001184952;1.006842803;;;;
UMW;0.00081043;1.20082709;;;;
UMW;0.000825002;1.334375737;;;;
UMW;0.000778637;0.765185945;;;;
SAP;0.001291342;1.023821273;;;;
CPL;0.000997564;0.992389681;;;;
UMW;0.000785167;1.22656851;;;;
SAP;0.001240255;1.023821273;;;;
SAP;0.00110611;1.474516808;;;;
UMW;0.000852911;1.311994299;;;;
UMW;0.001167629;1.334375737;;;;
SPL;0.001275859;1.288913328;;;;
WMT;0.00092991;1.288913328;;;;
XER;0.001325045;0.854814692;;;;
SAP;0.000667428;1.040418172;;;;
NAP;0.001073213;1.265087683;;;;
XER;0.001364807;1.252880283;;;;
XER;0.000962667;0.989464802;;;;
WMT;0.000863235;1.175068282;;;;
WMT;0.001042528;1.188619689;;;;
TPL;0.000705545;0.875619757;;;;
SAP;0.000684973;1.132855026;;;;
SAP;0.000877253;1.201926913;;;;
TPL;0.000844709;0.895854746;;;;
SAP;0.000718046;1.37720112;;;;
WMT;0.001336118;1.152922263;;;;
WMT;0.000871925;1.023821273;;;;
WMT;0.000828483;0.989464802;;;;
TPL;0.001019105;0.811359163;;;;
WMT;0.001089128;1.277096581;;;;
NAP;0.001115486;1.088081867;;;;
SAP;0.000847601;0.977052226;;;;
UMW;0.000873018;1.201926913;;;;
NAP;0.001094609;1.040418172;;;;
CPL;0.00072091;0.875619756;;;;
NPL;0.001197845;0.544739638;;;;
WMT;0.001054881;1.300543977;;;;
XER;0.001199196;1.427460708;;;;
SPL;0.001165428;0.788633341;;;;
SAP;0.00073389;1.132855026;;;;
SAP;0.001048603;1.277096581;;;;
SAP;0.000696864;1.175068282;;;;
SPL;0.001175546;0.44152112;;;;
SPL;0.001106094;0.765185945;;;;
XER;0.001377427;1.277096581;;;;
XER;0.001169845;1.023821273;;;;
CPL;0.000795996;1.023821273;;;;
CPL;0.001076328;0.765185945;;;;
WMT;0.001487161;1.265087683;;;;
NAP;0.000992993;1.240467706;;;;
NAP;0.00114736;0.833406499;;;;
NPL;0.001584372;1.417678699;;;;
UMW;0.000904574;1.277096581;;;;
NAP;0.000855057;0.811359163;;;;
NAP;0.000857234;0.740969646;;;;
NAP;0.000795591;1.147195883;;;;
UMW;0.000762164;1.300543977;;;;
SAP;0.000729856;1.006842803;;;;
WMT;0.001152076;0.980620015;;;;
NAP;0.001125524;0.971668015;;;;
UMW;0.000780999;1.312940527;;;;
CPL;0.000846359;1.056650275;;;;
SAP;0.000772792;0.971668015;;;;
TPL;0.000802227;1.334375737;;;;
TPL;0.001231138;1.252880283;;;;
CPL;0.000768688;1.214998598;;;;
NAP;0.001246653;1.188619689;;;;
TPL;0.000714508;0.276722704;;;;
CPL;0.000954348;0.903796016;;;;
TPL;0.001098158;0.321495863;;;;
TPL;0.000731333;0.544739638;;;;
CPL;0.000800186;0.971668015;;;;
UMW;0.001248595;1.252880283;;;;
XER;0.001372699;1.492530651;;;;
TPL;0.001120484;1.118230173;;;;
TPL;0.001031163;0.895854746;;;;
WMT;0.001252364;1.265087683;;;;
TPL;0.00090206;0.788633341;;;;
CPL;0.000759923;1.201926913;;;;
CPL;0.000846382;1.132855025;;;;
WMT;0.001410244;1.161263564;;;;
XER;0.001326364;1.345317136;;;;
NAP;0.001275743;1.033824102;;;;
UMW;0.000674584;1.345317136;;;;
WMT;0.001423981;0.663157646;;;;
NAP;0.000893609;0.895854746;;;;
NAP;0.001290134;1.187275683;;;;
SPL;0.000761209;0.511910636;;;;
SAP;0.000812789;1.201926913;;;;
SAP;0.001168665;0.690016276;;;;
NAP;0.001014029;1.072533273;;;;
SAP;0.000795285;0.715932302;;;;
NPL;0.001041795;1.474516808;;;;
CPL;0.000776778;1.103309848;;;;
SAP;0.000824708;0.934733772;;;;
SAP;0.001066434;1.300543977;;;;
SAP;0.000678004;0.971668015;;;;
SAP;0.000826173;1.05343227;;;;
NAP;0.000720009;1.072533273;;;;
NPL;0.00080304;0.854814692;;;;
SPL;0.001076228;0.511910636;;;;
NPL;0.00149184;0.8334065;;;;
NPL;0.001012373;1.072533273;;;;
WMT;0.001519315;1.427460708;;;;
NAP;0.000817817;1.201926913;;;;
WMT;0.001411387;1.161263564;;;;
WMT;0.001078113;1.103309848;;;;
CPL;0.00074694;0.953431757;;;;
CPL;0.000952214;1.188619689;;;;
CPL;0.000904581;1.214998598;;;;
XER;0.00142747;1.300543977;;;;
CPL;0.000828658;0.854814692;;;;
SAP;0.00074034;0.833406499;;;;
WMT;0.000932214;0.765185945;;;;
WMT;0.001282102;1.308197216;;;;
CPL;0.000770492;1.240467706;;;;
XER;0.000890679;0.786321818;;;;
CPL;0.000702842;0.946009273;;;;
NAP;0.001188286;1.407765383;;;;
NAP;0.000887893;1.188619689;;;;
XER;0.000942429;0.875619757;;;;
XER;0.000871099;0.833406499;;;;
WMT;0.001307078;1.132855025;;;;
WMT;0.000806827;0.831594153;;;;
WMT;0.001237092;1.188619689;;;;
XER;0.001248101;1.240467706;;;;
SAP;0.000617085;0.715932301;;;;
WMT;0.000918074;1.345317136;;;;
XER;0.000862103;0.477554166;;;;
WMT;0.000990822;1.072533273;;;;
SAP;0.000834214;1.446644409;;;;
NPL;0.000895984;0.715932301;;;;
WMT;0.000977393;0.811359163;;;;
SAP;0.000849231;1.147195883;;;;
TPL;0.001310809;0.690016276;;;;
WMT;0.000891309;1.288913328;;;;
NAP;0.001655562;1.132855025;;;;
UMW;0.00070268;0.788633341;;;;
UMW;0.001005357;1.168658178;;;;
CPL;0.001238107;1.118230173;;;;
CPL;0.001081271;0.700925351;;;;
CPL;0.001186589;0.477554166;;;;
CPL;0.00160848;1.059854319;;;;
NAP;0.000751169;0.740969646;;;;
SAP;0.000867401;0.964427458;;;;
TPL;0.000989864;1.006842803;;;;
NAP;0.000893993;1.022140883;;;;
WMT;0.001546668;1.277096581;;;;
WMT;0.001178427;1.176207112;;;;
WMT;0.001018747;1.175068282;;;;
CPL;0.000785166;1.265087683;;;;
TPL;0.001112671;0.511910636;;;;
CPL;0.00084606;1.201926913;;;;
SAP;0.000717389;1.161263564;;;;
NAP;0.000971152;0.895854746;;;;
SAP;0.000804287;0.895854747;;;;
CPL;0.001571814;1.227842938;;;;
TPL;0.000812852;0.788633341;;;;
NAP;0.000847017;1.312940527;;;;
NAP;0.001120692;1.042057531;;;;
WMT;0.00169737;1.407765383;;;;
UMW;0.000690784;0.875619756;;;;
CPL;0.000778951;1.427460708;;;;
TPL;0.000852068;1.040418172;;;;
UMW;0.00073892;1.214998598;;;;
XER;0.000773046;1.088081867;;;;
NAP;0.001282072;0.811359163;;;;
SPL;0.001406278;1.023821273;;;;
WMT;0.001470679;1.175068283;;;;
WMT;0.000959934;1.048037571;;;;
SAP;0.000820784;1.366725329;;;;
SAP;0.001052132;1.040418172;;;;
NPL;0.001352561;1.456052573;;;;
NPL;0.001132955;1.300543977;;;;
