Ecoregions;Insect_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Insect;lower_Richness_Insect;upperr_Richness_Insect
WMT;31;0.915550072;;;;
WMT;57;1.357168361;;;;
CPL;16;0.606319536;;;;
CPL;27;0.934733772;;;;
SAP;52;1.175068282;;;;
WMT;42;0.765185945;;;;
CPL;31;1.118230172;;;;
WMT;51;1.334375737;;;;
WMT;22;1.483578651;;;;
WMT;19;1.483578651;;;;
CPL;9;1.090002624;;;;
WMT;34;1.188619689;;;;
SAP;20;1.023821273;;;;
SAP;29;1.056650275;;;;
UMW;25;0.934733772;;;;
WMT;36;0.915550072;;;;
CPL;75;0.875619756;;;;
CPL;28;1.227842938;;;;
WMT;44;1.214998598;;;;
SAP;30;0.765185945;;;;
SAP;23;0.788633341;;;;
SAP;23;1.201926913;;;;
TPL;2;0.064260594;;;;
TPL;30;1.088081867;;;;
SAP;32;1.188619689;;;;
SAP;30;0.875619756;;;;
SAP;49;0.854814692;;;;
WMT;52;1.323269799;;;;
WMT;48;1.227842938;;;;
NAP;32;1.147195883;;;;
NAP;36;1.039049255;;;;
SAP;29;0.971668015;;;;
NAP;50;1.300543977;;;;
WMT;25;1.023821273;;;;
WMT;36;0.989464802;;;;
SAP;28;1.366725329;;;;
SPL;14;0.854814692;;;;
CPL;22;1.006842803;;;;
UMW;12;0.811359163;;;;
SAP;52;1.072533273;;;;
WMT;28;1.300543977;;;;
SAP;1;1.098990941;;;;
WMT;44;1.360367778;;;;
NAP;31;1.446644409;;;;
NAP;47;1.240467706;;;;
UMW;40;0.875619757;;;;
UMW;18;1.056650275;;;;
UMW;23;1.188619689;;;;
NAP;26;0.511910636;;;;
SPL;22;1.040418172;;;;
SPL;11;0.953431757;;;;
SAP;31;1.188619689;;;;
UMW;27;0.811359163;;;;
UMW;29;1.188619689;;;;
TPL;3;0.511910636;;;;
CPL;12;0.985939588;;;;
SAP;33;1.288913328;;;;
TPL;14;0.915550072;;;;
SAP;55;1.161263564;;;;
UMW;28;1.103309848;;;;
XER;50;1.456052573;;;;
XER;26;1.387530393;;;;
XER;40;1.201926913;;;;
XER;31;1.277096581;;;;
NAP;49;1.088081867;;;;
NAP;41;0.915550072;;;;
XER;31;1.056650275;;;;
NAP;55;1.366725329;;;;
SAP;40;0.953431757;;;;
SAP;51;1.397717188;;;;
CPL;42;1.417678699;;;;
XER;37;0.934733772;;;;
TPL;26;0.989464802;;;;
SAP;30;1.023821273;;;;
WMT;52;1.056650275;;;;
SPL;3;1.040418172;;;;
TPL;35;0.57617123;;;;
UMW;43;1.252880283;;;;
NAP;42;1.068594432;;;;
TPL;25;1.022140883;;;;
CPL;28;1.345317136;;;;
TPL;10;0.833406499;;;;
TPL;22;1.214998598;;;;
SAP;15;0.715932302;;;;
WMT;42;0.775326117;;;;
WMT;54;1.006842803;;;;
NAP;27;0.511910636;;;;
NAP;56;0.953431756;;;;
CPL;23;1.288913328;;;;
CPL;17;1.147195883;;;;
CPL;15;0.989464802;;;;
XER;53;1.288913328;;;;
XER;38;1.366725329;;;;
WMT;38;1.427460708;;;;
SAP;28;0.989464802;;;;
SAP;18;1.161263564;;;;
WMT;20;0.854814692;;;;
TPL;18;1.072533273;;;;
CPL;26;1.056650275;;;;
WMT;48;1.132855025;;;;
WMT;39;1.265087683;;;;
NAP;41;1.483578651;;;;
SAP;43;1.201926913;;;;
TPL;15;1.345317136;;;;
WMT;35;1.311994299;;;;
CPL;15;1.132855025;;;;
CPL;12;1.201926913;;;;
SAP;54;1.345317136;;;;
SAP;45;1.323269799;;;;
SAP;36;0.8334065;;;;
WMT;45;0.44152112;;;;
WMT;38;0.740969646;;;;
CPL;21;0.875619756;;;;
CPL;18;1.006842803;;;;
NAP;29;0.663157646;;;;
NAP;47;1.288913328;;;;
UMW;29;0.715932302;;;;
WMT;36;1.147195883;;;;
NAP;53;1.363200115;;;;
NAP;46;0.790554098;;;;
SAP;7;0.544739639;;;;
SPL;49;1.072533273;;;;
SPL;31;1.006842803;;;;
SAP;8;1.252880283;;;;
SAP;31;1.118230172;;;;
UMW;26;0.915550072;;;;
WMT;30;1.366725329;;;;
WMT;22;1.311994299;;;;
NAP;26;1.227842938;;;;
SAP;38;1.212835988;;;;
WMT;41;1.240467706;;;;
WMT;36;1.088081867;;;;
WMT;22;0.78863334;;;;
SAP;40;1.056650275;;;;
SPL;16;1.201926913;;;;
SAP;30;0.854814692;;;;
SAP;27;0.915550072;;;;
SAP;22;0.854814692;;;;
TPL;28;1.040418172;;;;
CPL;51;1.040418172;;;;
WMT;34;1.288913328;;;;
SAP;44;1.118230173;;;;
UMW;26;1.006842803;;;;
SAP;28;0.788633341;;;;
XER;14;0.934733772;;;;
CPL;30;1.288913328;;;;
UMW;29;1.006842803;;;;
SAP;36;1.072533273;;;;
XER;21;1.103309848;;;;
CPL;31;1.040418172;;;;
SAP;44;1.132855026;;;;
NAP;46;1.323269799;;;;
SAP;49;0.915550072;;;;
XER;30;1.175068282;;;;
CPL;50;1.288913328;;;;
SPL;38;0.788633341;;;;
CPL;49;1.161263564;;;;
CPL;37;0.833406499;;;;
UMW;46;1.288913328;;;;
NAP;49;1.427460708;;;;
TPL;34;0.511910637;;;;
TPL;12;0.635285246;;;;
TPL;17;1.006842803;;;;
NAP;47;0.765185945;;;;
SPL;49;0.875619757;;;;
SPL;30;0.915550072;;;;
NAP;24;1.056650275;;;;
NPL;25;0.971668015;;;;
SAP;42;0.953431757;;;;
SAP;35;0.915550072;;;;
SAP;56;0.934733772;;;;
WMT;24;1.387530393;;;;
CPL;19;0.971668015;;;;
SAP;15;0.765185945;;;;
CPL;24;1.188619689;;;;
CPL;15;0.915550072;;;;
CPL;24;0.953431757;;;;
SAP;33;0.854814692;;;;
SAP;45;1.323269799;;;;
TPL;28;0.740969646;;;;
NAP;61;0.989464802;;;;
SAP;38;1.006842803;;;;
NAP;21;1.252880283;;;;
UMW;28;0.811359163;;;;
UMW;52;1.115270125;;;;
UMW;38;1.427460708;;;;
WMT;35;1.407765383;;;;
WMT;35;1.334375737;;;;
UMW;22;0.854814692;;;;
UMW;28;1.040418172;;;;
WMT;33;0.854814692;;;;
CPL;28;0.934733772;;;;
TPL;25;0.895854746;;;;
WMT;34;1.289694429;;;;
CPL;40;1.288913328;;;;
WMT;35;1.040418172;;;;
CPL;18;1.345317136;;;;
CPL;24;1.188619689;;;;
SAP;38;0.915550072;;;;
WMT;9;0.811359163;;;;
TPL;29;0.811359163;;;;
TPL;26;0.635285246;;;;
CPL;63;0.544739639;;;;
CPL;32;0.663157646;;;;
NAP;45;0.915550072;;;;
SAP;44;0.915550072;;;;
NAP;46;1.366725329;;;;
NAP;41;0.788633341;;;;
TPL;29;0.606319536;;;;
UMW;35;1.214998598;;;;
UMW;18;1.227842938;;;;
TPL;28;0.971668015;;;;
TPL;20;0.740969646;;;;
CPL;38;0.915550072;;;;
SPL;15;0.511910636;;;;
NAP;42;1.265087684;;;;
TPL;29;0.635285247;;;;
NAP;22;0.989464802;;;;
XER;25;1.005123289;;;;
WMT;21;1.446644409;;;;
NAP;52;1.188619689;;;;
UMW;32;0.976157579;;;;
UMW;27;1.184580312;;;;
WMT;56;1.214998598;;;;
WMT;52;1.201926913;;;;
TPL;34;0.811359163;;;;
TPL;34;1.356098801;;;;
TPL;52;0.765185945;;;;
TPL;27;1.118230173;;;;
NAP;60;0.915550072;;;;
NAP;57;0.740969646;;;;
CPL;6;0.511910636;;;;
WMT;21;1.214998598;;;;
CPL;10;0.17810564;;;;
XER;21;0.765185945;;;;
SAP;53;1.407765383;;;;
WMT;29;1.397717188;;;;
NAP;47;1.147195883;;;;
WMT;41;0.953431757;;;;
SAP;46;1.023821273;;;;
WMT;32;1.323269799;;;;
CPL;22;0.740969646;;;;
WMT;31;1.437114845;;;;
SAP;40;0.544739639;;;;
SAP;26;0.915550072;;;;
NAP;37;1.036892958;;;;
NAP;47;1.056650275;;;;
SAP;27;1.277096581;;;;
SAP;14;1.397717188;;;;
TPL;13;1.006842803;;;;
NAP;31;0.788633341;;;;
NAP;34;0.915550072;;;;
WMT;40;1.311994299;;;;
CPL;34;1.040418172;;;;
XER;26;1.265087684;;;;
NAP;42;1.239214896;;;;
XER;39;0.934733772;;;;
XER;29;0.989464802;;;;
WMT;42;1.056650275;;;;
WMT;45;1.088081867;;;;
WMT;45;0.971668015;;;;
WMT;34;0.606319536;;;;
UMW;25;1.023821273;;;;
NAP;57;1.214998598;;;;
SAP;37;0.743427323;;;;
SAP;28;0.875619756;;;;
WMT;29;1.212402705;;;;
UMW;26;1.056650275;;;;
WMT;33;1.366725329;;;;
SAP;28;1.161263564;;;;
SAP;30;1.072533273;;;;
TPL;12;0.835575461;;;;
XER;17;1.147195883;;;;
XER;7;1.288913328;;;;
SAP;40;1.188619689;;;;
XER;16;0.663157646;;;;
XER;47;1.366725329;;;;
CPL;15;1.056650275;;;;
CPL;37;0.875619757;;;;
CPL;14;1.056650275;;;;
WMT;47;1.147195883;;;;
NAP;24;0.811359163;;;;
NAP;35;0.833406499;;;;
XER;40;1.265087684;;;;
UMW;53;1.147195883;;;;
NPL;28;1.072533273;;;;
CPL;26;0.875619756;;;;
WMT;40;1.288913328;;;;
WMT;37;1.103309848;;;;
NPL;25;0.17810564;;;;
SPL;31;0.895854746;;;;
TPL;20;0.22905901;;;;
TPL;20;1.023821273;;;;
SAP;39;1.356098801;;;;
WMT;34;1.201926913;;;;
WMT;39;1.388669223;;;;
SPL;20;0.779343521;;;;
UMW;57;1.072533273;;;;
SPL;30;1.188619689;;;;
WMT;24;1.161263564;;;;
TPL;39;1.446644409;;;;
TPL;30;0.854814692;;;;
WMT;29;1.288913328;;;;
UMW;8;0.765185945;;;;
WMT;13;1.072533273;;;;
NAP;8;0.663157646;;;;
UMW;42;1.082935289;;;;
UMW;44;1.128821531;;;;
SPL;28;0.895854746;;;;
TPL;34;0.511910637;;;;
TPL;16;0.635285246;;;;
SAP;51;1.006842803;;;;
SAP;20;1.006842802;;;;
TPL;32;1.088081867;;;;
XER;16;0.934733772;;;;
SAP;32;1.140060262;;;;
CPL;37;0.989464802;;;;
WMT;31;1.175068283;;;;
WMT;39;1.147195883;;;;
TPL;31;1.214998598;;;;
SAP;45;1.240467706;;;;
SAP;52;1.175068282;;;;
CPL;29;0.934733772;;;;
UMW;40;1.161263564;;;;
UMW;32;1.247733705;;;;
TPL;19;1.118230173;;;;
CPL;26;0.811359163;;;;
XER;28;1.236283383;;;;
UMW;28;1.147195883;;;;
SAP;25;1.474516808;;;;
UMW;19;0.833406499;;;;
WMT;45;0.811359163;;;;
WMT;46;0.854814692;;;;
NAP;37;0.989464802;;;;
NAP;51;0.663157646;;;;
NAP;30;0.788633341;;;;
NPL;36;0.811359163;;;;
NPL;22;0.989464802;;;;
CPL;28;1.214998598;;;;
CPL;32;0.715932301;;;;
TPL;25;1.323269799;;;;
UMW;17;1.397717188;;;;
TPL;13;0.511910636;;;;
UMW;19;1.311994299;;;;
WMT;36;1.356098801;;;;
NPL;29;0.953431757;;;;
XER;25;1.300543977;;;;
XER;39;1.356098801;;;;
CPL;40;1.072533273;;;;
CPL;46;0.715932302;;;;
UMW;39;1.147195883;;;;
WMT;27;1.175068282;;;;
WMT;25;1.103309848;;;;
WMT;11;1.311994299;;;;
WMT;20;1.277096581;;;;
WMT;54;0.715932302;;;;
WMT;46;1.067804136;;;;
CPL;50;1.072533273;;;;
CPL;50;1.345317136;;;;
TPL;44;0.895854746;;;;
CPL;50;0.953431757;;;;
CPL;33;0.915550072;;;;
UMW;37;0.989464802;;;;
TPL;33;0.875619757;;;;
NAP;53;1.334375737;;;;
CPL;21;0.915550072;;;;
TPL;31;1.103309848;;;;
TPL;21;0.715932302;;;;
TPL;21;0.740969646;;;;
WMT;43;1.072533273;;;;
SAP;34;0.875619756;;;;
XER;48;1.023821273;;;;
CPL;3;1.334375737;;;;
SAP;26;1.161263564;;;;
CPL;17;0.740969646;;;;
WMT;40;1.147195883;;;;
NPL;44;1.518753439;;;;
SPL;7;1.188619689;;;;
SPL;5;1.006842803;;;;
UMW;34;1.20082709;;;;
UMW;39;1.334375737;;;;
UMW;6;0.765185945;;;;
SAP;35;1.023821273;;;;
CPL;31;0.992389681;;;;
UMW;25;1.22656851;;;;
SAP;29;1.023821273;;;;
SAP;21;1.474516808;;;;
UMW;39;1.311994299;;;;
UMW;44;1.334375737;;;;
SPL;7;1.288913328;;;;
WMT;51;1.288913328;;;;
XER;39;0.854814692;;;;
SAP;30;1.040418172;;;;
NAP;59;1.265087683;;;;
XER;42;1.252880283;;;;
XER;21;0.989464802;;;;
WMT;26;1.175068282;;;;
WMT;23;1.188619689;;;;
TPL;31;0.875619757;;;;
SAP;39;1.132855026;;;;
SAP;32;1.201926913;;;;
TPL;31;0.895854746;;;;
SAP;28;1.37720112;;;;
WMT;34;1.152922263;;;;
WMT;32;1.023821273;;;;
WMT;38;0.989464802;;;;
TPL;21;0.811359163;;;;
WMT;31;1.277096581;;;;
NAP;41;1.088081867;;;;
SAP;34;0.977052226;;;;
UMW;27;1.201926913;;;;
NAP;29;1.040418172;;;;
CPL;31;0.875619756;;;;
NPL;14;0.544739638;;;;
WMT;30;1.300543977;;;;
XER;24;1.427460708;;;;
SPL;38;0.788633341;;;;
SAP;31;1.132855026;;;;
SAP;35;1.277096581;;;;
SAP;29;1.175068282;;;;
SPL;28;0.44152112;;;;
SPL;19;0.765185945;;;;
XER;34;1.277096581;;;;
XER;25;1.023821273;;;;
CPL;13;1.023821273;;;;
CPL;29;0.765185945;;;;
WMT;39;1.265087683;;;;
NAP;46;1.240467706;;;;
NAP;42;0.833406499;;;;
NPL;51;1.417678699;;;;
UMW;22;1.277096581;;;;
NAP;49;0.811359163;;;;
NAP;36;0.740969646;;;;
NAP;44;1.147195883;;;;
UMW;32;1.300543977;;;;
SAP;43;1.006842803;;;;
WMT;15;0.980620015;;;;
NAP;49;0.971668015;;;;
UMW;43;1.312940527;;;;
CPL;14;1.056650275;;;;
SAP;32;0.971668015;;;;
TPL;39;1.334375737;;;;
TPL;21;1.252880283;;;;
CPL;14;1.214998598;;;;
NAP;48;1.188619689;;;;
TPL;14;0.276722704;;;;
CPL;12;0.903796016;;;;
TPL;13;0.321495863;;;;
TPL;19;0.544739638;;;;
CPL;33;0.971668015;;;;
UMW;11;1.252880283;;;;
XER;34;1.492530651;;;;
TPL;29;1.118230173;;;;
TPL;15;0.895854746;;;;
WMT;22;1.265087683;;;;
TPL;22;0.788633341;;;;
CPL;25;1.201926913;;;;
CPL;31;1.132855025;;;;
WMT;26;1.161263564;;;;
XER;41;1.345317136;;;;
NAP;39;1.033824102;;;;
UMW;47;1.345317136;;;;
WMT;46;0.663157646;;;;
NAP;37;0.895854746;;;;
NAP;51;1.187275683;;;;
SPL;17;0.511910636;;;;
SAP;30;1.201926913;;;;
SAP;16;0.690016276;;;;
NAP;32;1.072533273;;;;
SAP;42;0.715932302;;;;
NPL;41;1.474516808;;;;
CPL;20;1.103309848;;;;
SAP;6;0.934733772;;;;
SAP;13;1.300543977;;;;
SAP;40;0.971668015;;;;
SAP;33;1.05343227;;;;
NAP;32;1.072533273;;;;
NPL;33;0.854814692;;;;
SPL;9;0.511910636;;;;
NPL;10;0.8334065;;;;
NPL;40;1.072533273;;;;
WMT;15;1.427460708;;;;
NAP;47;1.201926913;;;;
WMT;49;1.161263564;;;;
WMT;24;1.103309848;;;;
CPL;49;0.953431757;;;;
CPL;3;1.188619689;;;;
CPL;34;1.214998598;;;;
XER;30;1.300543977;;;;
CPL;17;0.854814692;;;;
SAP;50;0.833406499;;;;
WMT;22;0.765185945;;;;
WMT;30;1.308197216;;;;
CPL;21;1.240467706;;;;
XER;13;0.786321818;;;;
CPL;17;0.946009273;;;;
NAP;30;1.407765383;;;;
NAP;24;1.188619689;;;;
XER;20;0.875619757;;;;
XER;14;0.833406499;;;;
WMT;28;1.132855025;;;;
WMT;40;0.831594153;;;;
WMT;31;1.188619689;;;;
XER;25;1.240467706;;;;
SAP;28;0.715932301;;;;
WMT;47;1.345317136;;;;
XER;33;0.477554166;;;;
WMT;30;1.072533273;;;;
SAP;30;1.446644409;;;;
NPL;17;0.715932301;;;;
WMT;35;0.811359163;;;;
SAP;38;1.147195883;;;;
TPL;12;0.690016276;;;;
WMT;25;1.288913328;;;;
NAP;2;1.132855025;;;;
UMW;36;0.788633341;;;;
UMW;31;1.168658178;;;;
CPL;20;1.118230173;;;;
CPL;19;0.700925351;;;;
CPL;10;0.477554166;;;;
CPL;5;1.059854319;;;;
NAP;47;0.740969646;;;;
SAP;27;0.964427458;;;;
TPL;42;1.006842803;;;;
NAP;54;1.022140883;;;;
WMT;19;1.277096581;;;;
WMT;27;1.176207112;;;;
WMT;33;1.175068282;;;;
CPL;26;1.265087683;;;;
TPL;10;0.511910636;;;;
CPL;41;1.201926913;;;;
SAP;23;1.161263564;;;;
NAP;37;0.895854746;;;;
SAP;29;0.895854747;;;;
CPL;41;1.227842938;;;;
TPL;32;0.788633341;;;;
NAP;33;1.312940527;;;;
NAP;42;1.042057531;;;;
WMT;44;1.407765383;;;;
UMW;30;0.875619756;;;;
CPL;34;1.427460708;;;;
TPL;17;1.040418172;;;;
UMW;28;1.214998598;;;;
XER;45;1.088081867;;;;
NAP;35;0.811359163;;;;
SPL;21;1.023821273;;;;
WMT;22;1.175068283;;;;
WMT;35;1.048037571;;;;
SAP;22;1.366725329;;;;
SAP;28;1.040418172;;;;
NPL;53;1.456052573;;;;
NPL;38;1.300543977;;;;
NAP;33;1.176207112;;;;
TPL;17;0.811359163;;;;
UMW;63;0.942269868;;;;
UMW;51;1.227842938;;;;
WMT;41;0.953431757;;;;
SAP;33;1.227842938;;;;
TPL;22;0.511910636;;;;
XER;39;1.387530393;;;;
XER;39;1.323269799;;;;
NAP;34;0.989464802;;;;
NPL;16;0.875619756;;;;
SAP;49;0.765185945;;;;
CPL;3;0.934733772;;;;
TPL;24;0.321495863;;;;
SAP;29;1.088081867;;;;
UMW;24;1.334375737;;;;
TPL;10;1.042057531;;;;
TPL;20;1.006842803;;;;
TPL;21;0.8334065;;;;
TPL;10;0.17810564;;;;
TPL;33;0.663157646;;;;
NPL;54;1.175068282;;;;
NPL;57;1.323269799;;;;
UMW;24;1.088081867;;;;
NAP;48;1.161263564;;;;
TPL;24;0.833406499;;;;
SPL;47;0.989464802;;;;
SPL;20;0.765185945;;;;
WMT;30;1.175068282;;;;
NPL;22;1.300543977;;;;
WMT;25;1.20082709;;;;
WMT;17;1.198401699;;;;
CPL;27;1.056650275;;;;
NPL;15;0.740969646;;;;
TPL;20;1.072533273;;;;
WMT;51;0.788633341;;;;
TPL;12;0.934733772;;;;
SAP;28;0.811359163;;;;
SAP;34;0.852701584;;;;
SPL;31;0.276722704;;;;
NAP;31;0.403639436;;;;
UMW;50;1.175068282;;;;
TPL;13;0.765185945;;;;
UMW;30;1.072533273;;;;
CPL;14;1.288913328;;;;
SPL;26;1.201926913;;;;
TPL;23;0.663157646;;;;
UMW;15;0.788633341;;;;
SPL;22;0.953431757;;;;
CPL;36;0.788633341;;;;
NAP;32;1.175068283;;;;
WMT;37;1.277096581;;;;
WMT;38;1.025497848;;;;
WMT;41;1.161263564;;;;
NAP;28;1.214998598;;;;
SAP;31;1.023821273;;;;
SAP;52;1.265087683;;;;
UMW;45;0.740969646;;;;
NAP;41;0.908607309;;;;
SAP;50;0.971668015;;;;
NAP;50;1.147195883;;;;
XER;55;0.895854746;;;;
SPL;11;1.334375737;;;;
SAP;42;0.989464802;;;;
SAP;38;0.953431757;;;;
UMW;27;1.005123289;;;;
NAP;27;1.132855026;;;;
UMW;24;1.118230172;;;;
UMW;17;1.300543977;;;;
NAP;26;1.214998598;;;;
SAP;54;1.311994299;;;;
SAP;39;1.086541656;;;;
TPL;15;0.895854746;;;;
SPL;22;0.511910637;;;;
SPL;24;0.36370912;;;;
NPL;39;1.356098801;;;;
TPL;20;0.788633341;;;;
SAP;26;0.971668015;;;;
SAP;32;1.214998598;;;;
XER;55;1.483578651;;;;
CPL;18;1.161263564;;;;
WMT;16;0.95711521;;;;
UMW;6;1.056650275;;;;
TPL;20;0.579242049;;;;
CPL;24;1.103309848;;;;
TPL;40;1.088081867;;;;
TPL;16;1.040418172;;;;
WMT;30;1.056650275;;;;
NAP;33;0.715932302;;;;
SPL;32;1.227842938;;;;
UMW;35;0.690016276;;;;
UMW;27;1.147195883;;;;
CPL;10;1.188619689;;;;
NAP;46;1.227842938;;;;
XER;22;1.158471383;;;;
XER;12;1.132855025;;;;
SPL;42;1.417678699;;;;
SPL;39;1.161263564;;;;
UMW;20;1.147195883;;;;
CPL;12;1.161263564;;;;
CPL;20;1.161263564;;;;
SAP;27;1.300543977;;;;
TPL;22;0.856921772;;;;
UMW;34;0.895854746;;;;
CPL;35;1.118230172;;;;
CPL;18;1.427460708;;;;
NAP;43;1.252880283;;;;
NPL;10;1.040418172;;;;
WMT;46;0.788633341;;;;
WMT;52;1.132855025;;;;
WMT;41;1.252880283;;;;
SAP;58;1.323269799;;;;
TPL;10;0.971668015;;;;
TPL;2;1.006842803;;;;
NAP;53;1.118230173;;;;
SPL;30;0.477554166;;;;
TPL;29;0.44152112;;;;
NPL;14;1.103309848;;;;
CPL;26;1.201926913;;;;
CPL;19;1.288913328;;;;
TPL;27;0.544739639;;;;
NAP;44;0.788633341;;;;
WMT;24;1.288913328;;;;
TPL;33;1.37720112;;;;
NAP;52;1.343504789;;;;
NAP;46;1.201926913;;;;
CPL;20;1.022140883;;;;
SAP;49;1.311994299;;;;
NPL;22;1.240467706;;;;
CPL;4;1.103309848;;;;
UMW;11;1.072533273;;;;
UMW;20;1.147195883;;;;
CPL;11;0.835575461;;;;
WMT;33;1.437114845;;;;
WMT;30;1.407765383;;;;
WMT;33;1.397717188;;;;
CPL;4;0.57617123;;;;
WMT;50;1.006842802;;;;
SAP;27;1.188619689;;;;
SAP;41;0.8334065;;;;
XER;16;1.188619689;;;;
UMW;29;1.227842938;;;;
TPL;17;1.188619689;;;;
TPL;26;1.056650275;;;;
SAP;19;0.953431757;;;;
SAP;21;1.072533273;;;;
SAP;11;0.925204208;;;;
XER;46;0.765185945;;;;
UMW;31;1.252880283;;;;
UMW;28;1.265087683;;;;
UMW;44;1.062362066;;;;
XER;33;1.288913328;;;;
UMW;25;1.023821273;;;;
SAP;31;1.240467706;;;;
SAP;34;0.740969646;;;;
TPL;24;1.214998598;;;;
TPL;19;0.971668015;;;;
NAP;53;0.756628133;;;;
SAP;15;0.676709052;;;;
CPL;15;0.788633341;;;;
WMT;49;1.040418172;;;;
WMT;50;1.072533273;;;;
UMW;38;1.103309848;;;;
WMT;27;1.201926913;;;;
CPL;13;0.606319536;;;;
SAP;22;0.875619756;;;;
XER;17;0.663157646;;;;
NAP;32;0.971668015;;;;
SAP;9;0.875619756;;;;
XER;38;1.188619689;;;;
XER;31;1.118230172;;;;
TPL;33;1.356098801;;;;
CPL;19;0.934733772;;;;
TPL;27;0.740969646;;;;
UMW;18;0.854814692;;;;
UMW;22;1.023821273;;;;
NAP;65;1.345317136;;;;
NAP;42;1.161263564;;;;
NPL;52;0.690016276;;;;
NPL;34;0.854814692;;;;
WMT;48;1.056650275;;;;
CPL;26;1.132855025;;;;
CPL;9;0.765185945;;;;
SAP;44;1.132855026;;;;
CPL;26;1.056650275;;;;
XER;44;1.427460708;;;;
CPL;31;0.690016276;;;;
TPL;27;0.811359162;;;;
NAP;39;1.008272679;;;;
NPL;34;1.088081867;;;;
NPL;21;1.252880283;;;;
UMW;42;1.023821273;;;;
UMW;33;1.188619689;;;;
NAP;31;0.854814692;;;;
SPL;32;1.232918772;;;;
TPL;32;0.833406499;;;;
CPL;17;1.240467706;;;;
WMT;31;1.288913328;;;;
TPL;21;0.953431757;;;;
NAP;69;1.427460708;;;;
NAP;65;1.072533273;;;;
SAP;34;0.811359163;;;;
SPL;30;1.072533273;;;;
NAP;59;1.334375737;;;;
UMW;19;1.072533273;;;;
UMW;27;1.103309848;;;;
SPL;25;1.387530393;;;;
TPL;28;0.989464802;;;;
SPL;30;1.006842803;;;;
UMW;39;0.946009273;;;;
UMW;31;1.201926913;;;;
SPL;36;0.953431757;;;;
SAP;53;1.072533273;;;;
NPL;34;1.265087683;;;;
CPL;37;1.300543977;;;;
CPL;44;1.201926913;;;;
CPL;21;0.875619756;;;;
CPL;24;0.934733772;;;;
TPL;16;0.989464802;;;;
CPL;42;0.991221119;;;;
NAP;38;1.082935289;;;;
UMW;26;1.072533273;;;;
UMW;35;1.023821273;;;;
NAP;43;0.934733772;;;;
NAP;33;0.635285246;;;;
NAP;55;0.971668015;;;;
WMT;51;1.147195883;;;;
NPL;25;0.635285246;;;;
SPL;37;1.311994299;;;;
SPL;21;0.733547162;;;;
CPL;28;0.895854746;;;;
TPL;35;1.227842938;;;;
SAP;34;1.37720112;;;;
WMT;38;0.854814692;;;;
WMT;36;1.37720112;;;;
WMT;35;1.188619689;;;;
WMT;34;1.056650275;;;;
NPL;19;0.44152112;;;;
NPL;12;0.895854746;;;;
NAP;51;0.953431757;;;;
NPL;31;1.252880283;;;;
SAP;22;0.854814692;;;;
UMW;30;0.971668015;;;;
TPL;16;0.403639435;;;;
SAP;36;1.110807688;;;;
WMT;29;1.252880283;;;;
NAP;37;1.188619689;;;;
NAP;19;1.272316429;;;;
WMT;31;1.501375439;;;;
WMT;31;1.040418172;;;;
NPL;23;1.188619689;;;;
NPL;42;0.57617123;;;;
NPL;27;1.09268332;;;;
NAP;34;0.971668015;;;;
SAP;21;0.635285246;;;;
TPL;30;1.118230172;;;;
SPL;28;0.934733772;;;;
SPL;6;1.072533273;;;;
NPL;7;0.576171231;;;;
TPL;35;0.971668015;;;;
TPL;42;0.477554166;;;;
CPL;24;0.57617123;;;;
WMT;41;1.088081867;;;;
WMT;32;1.097256282;;;;
NAP;45;0.971668015;;;;
NAP;39;1.161263564;;;;
TPL;33;0.765185945;;;;
SPL;12;1.023821273;;;;
WMT;41;1.161263564;;;;
XER;25;1.300543977;;;;
UMW;36;1.023821273;;;;
SAP;21;1.042057531;;;;
UMW;38;0.833406499;;;;
XER;48;1.188619689;;;;
TPL;19;1.040418172;;;;
XER;34;1.147195883;;;;
WMT;39;1.006842803;;;;
WMT;40;0.940124533;;;;
TPL;3;0.895854746;;;;
TPL;29;0.875619757;;;;
SAP;30;1.277096581;;;;
WMT;39;1.288913328;;;;
NPL;21;1.023821273;;;;
TPL;25;0.690016276;;;;
CPL;48;1.040418172;;;;
SAP;9;1.311994299;;;;
SAP;32;1.437114845;;;;
SPL;21;0.22905901;;;;
XER;10;1.288913328;;;;
TPL;31;0.934733772;;;;
TPL;20;0.971668015;;;;
TPL;44;0.403639436;;;;
CPL;23;1.175068282;;;;
TPL;26;1.056650275;;;;
TPL;26;0.606319536;;;;
WMT;37;1.483578651;;;;
WMT;41;0.811359162;;;;
WMT;30;0.971668015;;;;
SPL;11;0.740969646;;;;
SPL;25;1.240467706;;;;
NAP;54;1.437114845;;;;
NAP;46;1.361431177;;;;
TPL;21;0.663157646;;;;
NAP;39;0.934733772;;;;
NAP;47;0.788633341;;;;
NPL;35;1.161263564;;;;
SAP;41;1.118230173;;;;
NAP;44;0.953431757;;;;
TPL;38;0.321495863;;;;
TPL;26;0.740969646;;;;
SAP;44;0.971668015;;;;
SAP;18;1.227842938;;;;
WMT;30;1.405766651;;;;
WMT;46;1.300543977;;;;
SAP;50;0.971668015;;;;
WMT;10;0.95711521;;;;
NPL;27;1.263875984;;;;
SPL;20;1.188619689;;;;
NPL;20;0.895854746;;;;
TPL;31;0.321495863;;;;
CPL;39;1.088081867;;;;
CPL;47;1.072533273;;;;
