Drivers;Responses;ll_95_fish;est_fish;ul_95_fish;ll_75_fish;est2_fish;ul_75_fish;ll_95_insect;est_insect;ul_95_insect;ll_75_insect;est2_insect;ul_75_insect
I_SumNat_PFC_scale;E_Richness;0.43065817;0.592337651;0.754017132;0.49746151;0.592337651;0.687213792;0.896512085;1.084470956;1.272429827;0.974170716;1.084470956;1.194771196
H_XFC_NAT_ALG_AQM;E_Richness;-0.161909201;-0.085821097;-0.009732994;-0.13047083;-0.085821097;-0.041171365;-0.283616462;-0.194580288;-0.105544115;-0.246829545;-0.194580288;-0.142331031
G_UrbanActivityIndex_scale;E_Richness;-0.098115038;-0.065917683;-0.033720328;-0.084811613;-0.065917683;-0.047023753;-0.274751128;-0.233419874;-0.192088621;-0.257674368;-0.233419874;-0.209165381
F_CroplandIntensity_scale;E_Richness;-0.045059863;-0.00387567;0.037308522;-0.028043222;-0.00387567;0.020291882;-0.267313885;-0.202178511;-0.137043136;-0.240402019;-0.202178511;-0.163955003
C_MeanAnnualTemperature_scale;E_Richness;0.269539822;0.404729136;0.539918449;0.325397855;0.404729136;0.484060417;-0.417229525;-0.274286463;-0.131343401;-0.358169996;-0.274286463;-0.19040293
D_MeanPrecipitation_scale;E_Richness;0.202000978;0.327866559;0.453732141;0.254006595;0.327866559;0.401726523;0.08371096;0.216451566;0.349192172;0.138555159;0.216451566;0.294347973
B_SDDEPTH_CM_scale;E_Richness;0.094444442;0.163529331;0.232614221;0.122989198;0.163529331;0.204069465;-0.059436609;0.018647931;0.096732472;-0.027174559;0.018647931;0.064470422
E_RiparianPresent_scale;E_Richness;0.149752973;0.240449171;0.331145368;0.187227171;0.240449171;0.29367117;0.213858242;0.314017865;0.414177488;0.255241015;0.314017865;0.372794716
A_CatchmentsArea_scale;E_Richness;0.547112669;0.582550587;0.617988505;0.561755042;0.582550587;0.603346132;-0.26639992;-0.225817822;-0.185235725;-0.249632687;-0.225817822;-0.202002957
I_SumNat_PFC_scale;D_Density;0.413059537;0.634768578;0.856477619;0.504666118;0.634768578;0.764871038;0.635532359;0.800499965;0.965467571;0.70369173;0.800499965;0.8973082
