Ecoregions;Fish_LCBD;SumNat_PFC;Habitat_Heterogeneity;Pred_LCBD_Fish;lower_LCBD_Fish;upperr_LCBD_Fish
XER;0.001681747;1.010357547;;;;
WMT;0.000816804;0.443820376;;;;
WMT;0.000771674;0.744828304;;;;
XER;0.001649594;0.90051998;;;;
WMT;0.000771687;0.709349619;;;;
UMW;0.001393349;0.859266207;;;;
UMW;0.001300432;0.618332488;;;;
UMW;0.000771399;0.609476993;;;;
UMW;0.001323423;0.837746529;;;;
UMW;0.001441729;1.065373593;;;;
UMW;0.001417395;0.98572667;;;;
UMW;0.001476736;0.931948034;;;;
UMW;0.001380739;0.92031787;;;;
TPL;0.001383032;0.773944855;;;;
UMW;0.00143987;0.480041067;;;;
UMW;0.001305843;1.012086015;;;;
UMW;0.001327479;1.078118573;;;;
UMW;0.001389998;0.808804634;;;;
UMW;0.00137295;0.837746529;;;;
UMW;0.001321636;0.880179614;;;;
UMW;0.001433005;1.062152864;;;;
SAP;0.001388872;1.062152864;;;;
SAP;0.001385024;1.078118574;;;;
SAP;0.001433839;1.167310935;;;;
SAP;0.001379115;1.045836231;;;;
SAP;0.001385522;1.029152903;;;;
SAP;0.001414952;1.167310935;;;;
SAP;0.001404294;0.976728052;;;;
SAP;0.001409073;1.167310935;;;;
SAP;0.001313597;1.221325798;;;;
SAP;0.001346411;1.234237026;;;;
SAP;0.001398738;1.35232298;;;;
XER;0.001469612;1.283747161;;;;
NPL;0.001443989;1.029152903;;;;
SPL;0.001391168;1.10905542;;;;
NPL;0.001608062;1.029152902;;;;
XER;0.001467103;0.744828303;;;;
NPL;0.001539898;0.92031787;;;;
SAP;0.000879052;0.40574142;;;;
SAP;0.000903555;1.045836231;;;;
SAP;0.000833041;1.138754457;;;;
SAP;0.0009019;0.719660575;;;;
SAP;0.000923995;1.10905542;;;;
SAP;0.000933334;1.012086015;;;;
SAP;0.000830167;0.837746529;;;;
SAP;0.000862338;1.029152902;;;;
SAP;0.000968461;0.837746529;;;;
CPL;0.000898694;0.90051998;;;;
SAP;0.000839762;1.078118573;;;;
SAP;0.001191477;1.194809519;;;;
CPL;0.000904196;0.92031787;;;;
CPL;0.000908198;0.859266207;;;;
SAP;0.000877275;0.994617518;;;;
CPL;0.000844158;0.920317871;;;;
CPL;0.000883624;0.958396827;;;;
CPL;0.000887776;1.029152902;;;;
SAP;0.000860185;1.194809519;;;;
CPL;0.000977692;1.029152902;;;;
CPL;0.00092481;0.79274021;;;;
CPL;0.000844178;1.124053444;;;;
CPL;0.000907712;0.939601472;;;;
SAP;0.000886098;1.062152864;;;;
CPL;0.000914935;0.994617518;;;;
CPL;0.000913985;1.109055421;;;;
CPL;0.00083665;0.939601471;;;;
CPL;0.000898378;0.92031787;;;;
SAP;0.000877295;0.90051998;;;;
SAP;0.000849827;1.093748138;;;;
CPL;0.000857842;1.167310935;;;;
CPL;0.000866798;0.92031787;;;;
SAP;0.000904084;0.579171687;;;;
CPL;0.000867059;0.719660575;;;;
SAP;0.000841808;0.90051998;;;;
SAP;0.001287186;1.373842658;;;;
CPL;0.000847489;1.029152902;;;;
CPL;0.000868869;0.815584379;;;;
SAP;0.000897252;1.138754457;;;;
CPL;0.000891161;0.958396827;;;;
CPL;0.000908863;0.880179615;;;;
CPL;0.000860237;1.153169995;;;;
CPL;0.0008758;0.976728052;;;;
SAP;0.000868184;0.301007928;;;;
SAP;0.000834543;0.547576413;;;;
CPL;0.000875708;0.69360959;;;;
CPL;0.000850391;0.837746529;;;;
SAP;0.000885289;1.259404755;;;;
CPL;0.000864295;1.029152902;;;;
CPL;0.00087509;0.976728052;;;;
SAP;0.000900366;0.719660575;;;;
CPL;0.000849635;0.609476993;;;;
CPL;0.000843359;0.69360959;;;;
SAP;0.000888058;0.920317871;;;;
SAP;0.000833753;0.976728052;;;;
SAP;0.000862852;0.747298778;;;;
SAP;0.001285665;1.384373003;;;;
SAP;0.000992985;0.79274021;;;;
SAP;0.000882409;0.547576413;;;;
CPL;0.000855439;1.138754457;;;;
CPL;0.000864421;0.859266207;;;;
CPL;0.000878696;0.393926153;;;;
CPL;0.000876528;0.958396827;;;;
SAP;0.00092861;0.837746529;;;;
SAP;0.000896721;0.815584379;;;;
SAP;0.001287754;1.194809519;;;;
SAP;0.000831062;0.547576413;;;;
CPL;0.000875414;0.514576451;;;;
CPL;0.000882141;1.143590805;;;;
SAP;0.00087628;1.153169995;;;;
SAP;0.001687296;1.48219547;;;;
CPL;0.000861463;1.029152902;;;;
CPL;0.000890483;0.815584379;;;;
SAP;0.001289905;1.384373003;;;;
SAP;0.000908208;0.859266207;;;;
SAP;0.000922467;1.208186041;;;;
CPL;0.000911141;0.179033139;;;;
SAP;0.000848566;1.181187542;;;;
CPL;0.000886206;1.062152864;;;;
SAP;0.00093648;1.051997071;;;;
SAP;0.000851171;1.234237026;;;;
SAP;0.000858978;0.680233068;;;;
CPL;0.000873461;0.95093569;;;;
SAP;0.000846228;0.920317871;;;;
SAP;0.000863504;0.92031787;;;;
SAP;0.000914891;0.609476993;;;;
CPL;0.000930737;0.480041066;;;;
SAP;0.000851625;0.90051998;;;;
CPL;0.000918801;0.939601472;;;;
SAP;0.000920105;1.104714023;;;;
XER;0.000939786;0.90051998;;;;
WMT;0.000975536;1.029152902;;;;
XER;0.00097799;1.317683614;;;;
XER;0.000958327;0.769170711;;;;
XER;0.000989878;0.958396827;;;;
XER;0.000986061;0.939601472;;;;
XER;0.000895542;1.221325798;;;;
XER;0.000975364;1.029152903;;;;
XER;0.000974975;0.939601471;;;;
XER;0.000992735;0.769170711;;;;
XER;0.000989878;1.10905542;;;;
XER;0.000956964;0.90051998;;;;
XER;0.000978952;0.609476993;;;;
XER;0.000969339;1.029152903;;;;
WMT;0.000975536;0.960250454;;;;
WMT;0.000963881;1.261052651;;;;
XER;0.000993698;1.234237026;;;;
WMT;0.000968751;1.367451999;;;;
WMT;0.00095906;0.792740211;;;;
XER;0.000997606;1.208186041;;;;
WMT;0.000993784;0.880179615;;;;
WMT;0.00095906;1.045836231;;;;
WMT;0.00095906;1.078118574;;;;
XER;0.001295906;1.394756066;;;;
XER;0.000997606;1.153169995;;;;
WMT;0.00095906;0.815584379;;;;
WMT;0.00095906;1.208186041;;;;
XER;0.000974259;1.248184739;;;;
WMT;0.000970553;0.443820376;;;;
SPL;0.000926724;1.246927538;;;;
SPL;0.00093729;0.547576413;;;;
SPL;0.000860165;0.90051998;;;;
SPL;0.000887732;0.815584379;;;;
SPL;0.000852483;0.79274021;;;;
XER;0.000863985;0.792740211;;;;
SPL;0.000852422;0.792740211;;;;
XER;0.000977689;0.514576452;;;;
WMT;0.00096572;0.815584379;;;;
SPL;0.000863714;0.958396827;;;;
XER;0.000894973;0.815584379;;;;
WMT;0.0009627;1.012086015;;;;
XER;0.000970601;0.744828304;;;;
WMT;0.000916627;0.90051998;;;;
WMT;0.000952642;0.837746529;;;;
SPL;0.000886096;0.930022282;;;;
WMT;0.000959012;0.792740211;;;;
XER;0.000991502;0.443820376;;;;
SPL;0.000871764;0.90051998;;;;
WMT;0.000947497;1.10905542;;;;
XER;0.000975536;1.124053444;;;;
WMT;0.000955734;0.962099463;;;;
WMT;0.000965053;1.045836231;;;;
SPL;0.000909058;1.153169995;;;;
SPL;0.000979592;0.579171687;;;;
NAP;0.000865814;1.078118574;;;;
NAP;0.000868384;1.208186041;;;;
NAP;0.000854255;1.269237705;;;;
NAP;0.000885489;0.994617518;;;;
NAP;0.000907109;1.029152902;;;;
NAP;0.000876477;1.022373158;;;;
NAP;0.000896835;1.078118574;;;;
NAP;0.000874077;1.394756066;;;;
NAP;0.000910322;1.124053444;;;;
NAP;0.000863504;1.221325798;;;;
NAP;0.000875012;1.10905542;;;;
NAP;0.000883289;1.124053444;;;;
NAP;0.000865669;1.062152864;;;;
NAP;0.000883308;0.837746529;;;;
SAP;0.000871113;1.109055421;;;;
CPL;0.000942716;0.958396827;;;;
SAP;0.000915847;1.167310935;;;;
CPL;0.000912041;1.045836231;;;;
CPL;0.000955533;0.90051998;;;;
CPL;0.000982158;0.90051998;;;;
CPL;0.001393571;1.295625445;;;;
CPL;0.000898902;1.194809519;;;;
CPL;0.000892679;1.221325798;;;;
CPL;0.000953928;1.181187542;;;;
CPL;0.000891743;1.295625445;;;;
CPL;0.000993927;1.208186041;;;;
CPL;0.000893373;0.94905863;;;;
CPL;0.001299356;1.404995909;;;;
CPL;0.000900569;0.880179615;;;;
CPL;0.000910432;1.138754457;;;;
CPL;0.00099367;0.230251853;;;;
CPL;0.00097351;1.194809519;;;;
CPL;0.001299652;1.307316662;;;;
CPL;0.000978856;1.029152902;;;;
SAP;0.000929266;0.880179615;;;;
CPL;0.001196517;1.33016083;;;;
CPL;0.00094127;1.283747162;;;;
CPL;0.000912029;0.908502604;;;;
CPL;0.000876713;0.958396827;;;;
CPL;0.000884578;0.958396827;;;;
CPL;0.000878734;0.994617518;;;;
CPL;0.000905592;0.837746529;;;;
CPL;0.000912079;1.221325798;;;;
SAP;0.000873812;1.194809519;;;;
CPL;0.000900099;1.124053444;;;;
CPL;0.000884095;1.221325798;;;;
CPL;0.000941741;1.08284209;;;;
SAP;0.000897723;1.045836231;;;;
CPL;0.000897621;1.062152864;;;;
SAP;0.000910921;0.958396827;;;;
SAP;0.00090767;1.078118573;;;;
SAP;0.000902748;1.181187542;;;;
SAP;0.000879359;1.012086015;;;;
CPL;0.000922144;1.271675727;;;;
SAP;0.000868016;0.939601471;;;;
SAP;0.001392821;1.318826611;;;;
SAP;0.000930841;1.194809519;;;;
SAP;0.000912355;0.76917071;;;;
TPL;0.000904328;1.029152902;;;;
TPL;0.000904124;0.815584379;;;;
TPL;0.000847064;0.40574142;;;;
TPL;0.000824044;1.012086015;;;;
TPL;0.000876512;0.666611091;;;;
TPL;0.000861251;0.638593544;;;;
UMW;0.000873475;0.179033139;;;;
TPL;0.000839751;0.579171687;;;;
TPL;0.000848209;0.980340599;;;;
UMW;0.00088273;1.029152902;;;;
TPL;0.000841244;0.609476993;;;;
TPL;0.000886303;0.480041067;;;;
UMW;0.000933994;0.90051998;;;;
TPL;0.000808029;0.365603164;;;;
TPL;0.00081744;0.920317871;;;;
UMW;0.000857196;0.719660575;;;;
TPL;0.000834493;0.365603164;;;;
TPL;0.000843943;0.405741419;;;;
TPL;0.000888133;0.638593544;;;;
TPL;0.000852946;0.706749347;;;;
UMW;0.000847273;1.062152864;;;;
TPL;0.000926724;0.92031787;;;;
TPL;0.000901918;1.062152864;;;;
XER;0.000988033;1.194809519;;;;
WMT;0.000976796;1.012086015;;;;
WMT;0.000976827;0.815584379;;;;
WMT;0.000944048;1.153169995;;;;
XER;0.000961128;1.194809519;;;;
WMT;0.000955885;1.129968829;;;;
WMT;0.000956773;0.994617518;;;;
XER;0.000985614;1.062152864;;;;
WMT;0.000953787;0.90051998;;;;
TPL;0.000840217;0.861384259;;;;
TPL;0.000862056;0.744828304;;;;
TPL;0.000841919;0.666611091;;;;
TPL;0.000864336;0.514576452;;;;
TPL;0.000814862;0.958396827;;;;
TPL;0.000974292;0.514576451;;;;
TPL;0.00091368;0.920317871;;;;
TPL;0.000877424;0.815584379;;;;
CPL;0.00091847;0.443820376;;;;
TPL;0.000844791;0.976728052;;;;
TPL;0.000846976;1.093748138;;;;
TPL;0.000818095;1.055203887;;;;
TPL;0.000918815;0.579171687;;;;
UMW;0.00087121;0.744828304;;;;
TPL;0.000943098;0.638593544;;;;
TPL;0.000929752;0.719660575;;;;
TPL;0.000829682;0.837746529;;;;
TPL;0.000926724;0.323170078;;;;
TPL;0.000841446;0.880179615;;;;
TPL;0.000828313;0.579171687;;;;
TPL;0.000848509;0.579171687;;;;
TPL;0.000813909;0.769170711;;;;
UMW;0.000828828;0.844268184;;;;
TPL;0.000926724;0.323170078;;;;
TPL;0.000870661;0.958396827;;;;
TPL;0.000832029;0.769170711;;;;
TPL;0.000916887;0.744828304;;;;
SPL;0.000838411;1.109055421;;;;
SPL;0.000859684;1.124053444;;;;
TPL;0.000955547;0.815584379;;;;
TPL;0.000925592;0.744828303;;;;
SPL;0.000828581;0.90051998;;;;
SPL;0.000898139;0.719660575;;;;
SPL;0.000970551;0.744828304;;;;
TPL;0.000871497;0.609476993;;;;
SPL;0.000860184;0.769170711;;;;
SPL;0.000809357;0.769170711;;;;
TPL;0.000864613;1.093748138;;;;
SPL;0.000885572;1.153169995;;;;
TPL;0.00082976;0.920317871;;;;
TPL;0.000880707;0.837746529;;;;
SPL;0.000895803;0.939601472;;;;
SPL;0.000835062;0.514576452;;;;
SPL;0.000825265;1.078118574;;;;
TPL;0.000907017;0.792740211;;;;
TPL;0.000870496;0.880179615;;;;
TPL;0.000860931;0.859266207;;;;
SPL;0.000853744;0.880179615;;;;
SPL;0.001196988;1.33016083;;;;
SPL;0.000844179;1.138754457;;;;
TPL;0.000867713;0.69360959;;;;
SPL;0.000819509;0.939601472;;;;
SPL;0.000927342;0.79274021;;;;
TPL;0.000846142;0.880179615;;;;
SAP;0.000852882;0.92031787;;;;
SAP;0.000865975;0.859266206;;;;
SAP;0.000821941;0.976728052;;;;
SAP;0.000814378;1.124053444;;;;
SAP;0.000821407;1.062152864;;;;
SAP;0.001288568;1.295625445;;;;
SAP;0.000845823;1.029152903;;;;
SAP;0.00086906;0.920317871;;;;
SAP;0.000861582;1.012086015;;;;
SAP;0.000866649;1.062152864;;;;
SAP;0.000864208;0.815584379;;;;
SAP;0.000871269;0.76917071;;;;
SAP;0.000887026;0.79274021;;;;
TPL;0.00086789;1.109055421;;;;
SAP;0.000870416;0.69360959;;;;
SAP;0.00083355;0.976728052;;;;
SAP;0.00090466;0.880179614;;;;
SAP;0.000871252;0.769170711;;;;
SAP;0.000827875;0.69360959;;;;
SAP;0.000867181;0.69360959;;;;
CPL;0.000903367;0.064595236;;;;
SAP;0.000861116;0.994617518;;;;
SAP;0.0008253;1.145997215;;;;
SAP;0.000895909;1.153169995;;;;
SAP;0.000874192;1.181187542;;;;
SAP;0.000791118;1.283747162;;;;
TPL;0.000915796;1.181187542;;;;
SAP;0.000816296;0.958396827;;;;
TPL;0.000841109;0.744828304;;;;
CPL;0.000867379;0.480041066;;;;
CPL;0.000901946;0.92031787;;;;
CPL;0.00087278;0.837746529;;;;
CPL;0.000890651;0.744828304;;;;
CPL;0.000847528;0.323170078;;;;
CPL;0.00087279;0.958396827;;;;
CPL;0.000934476;0.994617518;;;;
CPL;0.000948234;0.638593544;;;;
CPL;0.000854014;1.194809519;;;;
CPL;0.000879566;1.221325798;;;;
CPL;0.000968012;0.514576451;;;;
CPL;0.000879891;1.062152864;;;;
CPL;0.000875365;1.221325798;;;;
CPL;0.000969877;0.994617518;;;;
CPL;0.00093086;0.514576451;;;;
CPL;0.000903437;0.939601471;;;;
CPL;0.000870735;0.79274021;;;;
CPL;0.000893985;0.69360959;;;;
CPL;0.000864815;0.744828303;;;;
NAP;0.000889183;0.40574142;;;;
NAP;0.000918374;1.221325798;;;;
NAP;0.000870141;0.90051998;;;;
NAP;0.000876068;0.769170711;;;;
NAP;0.000925006;0.908502604;;;;
NAP;0.000865171;1.221325798;;;;
NAP;0.000867094;0.609476993;;;;
NAP;0.000920634;1.029152902;;;;
NAP;0.000903536;0.920317871;;;;
NAP;0.00091603;0.579171687;;;;
CPL;0.000870776;0.859266207;;;;
SAP;0.000924691;0.769170711;;;;
SAP;0.000867324;1.012086015;;;;
SAP;0.000866409;1.124053444;;;;
SAP;0.000852798;1.029152903;;;;
SAP;0.000870377;0.958396827;;;;
CPL;0.00097045;0.859266207;;;;
SAP;0.000832377;1.045836231;;;;
SAP;0.000856001;0.976728052;;;;
CPL;0.000954361;0.880179614;;;;
SAP;0.000850767;1.221325798;;;;
SAP;0.000964898;0.480041067;;;;
CPL;0.000884675;1.045836231;;;;
UMW;0.000852047;0.859266207;;;;
UMW;0.000868599;1.153169995;;;;
UMW;0.000908962;1.153169995;;;;
UMW;0.000877975;0.920317871;;;;
UMW;0.000838332;1.093748138;;;;
UMW;0.000919284;1.181187542;;;;
UMW;0.000922101;0.976728052;;;;
UMW;0.000869422;0.744828303;;;;
UMW;0.000901368;0.880179615;;;;
UMW;0.000884533;0.744828304;;;;
UMW;0.000852445;0.90051998;;;;
UMW;0.00086473;1.124053444;;;;
UMW;0.000868857;1.259404755;;;;
TPL;0.000851745;0.323170078;;;;
TPL;0.000815256;0.365603164;;;;
UMW;0.000818335;0.95093569;;;;
UMW;0.000904188;0.880179615;;;;
UMW;0.000906982;1.121077981;;;;
UMW;0.000961255;0.815584379;;;;
UMW;0.000926099;1.078118574;;;;
UMW;0.000974292;0.76917071;;;;
UMW;0.000959048;0.976728052;;;;
UMW;0.000908582;1.029152902;;;;
UMW;0.000835829;0.815584379;;;;
TPL;0.000873501;0.064595236;;;;
UMW;0.00092956;0.480041066;;;;
UMW;0.000878787;0.547576413;;;;
UMW;0.00088829;0.863496286;;;;
UMW;0.000966079;0.393926153;;;;
TPL;0.000869281;0.547576413;;;;
UMW;0.000918988;0.719660575;;;;
UMW;0.000907953;1.029152902;;;;
UMW;0.000847795;1.045836231;;;;
UMW;0.000905557;1.221325798;;;;
UMW;0.000908859;1.232955961;;;;
UMW;0.00087156;1.153169995;;;;
TPL;0.000873627;0.666611091;;;;
UMW;0.000959048;1.062152864;;;;
UMW;0.000971016;1.109055421;;;;
UMW;0.000879005;1.275317812;;;;
UMW;0.000861614;1.194809519;;;;
UMW;0.000876209;0.815584379;;;;
UMW;0.000947577;0.230251853;;;;
UMW;0.000892077;0.744828303;;;;
UMW;0.000974292;0.859266207;;;;
UMW;0.000963417;0.837746529;;;;
UMW;0.000897924;0.79274021;;;;
UMW;0.001285047;1.318826611;;;;
UMW;0.00088459;0.958396827;;;;
TPL;0.000867511;0.958396827;;;;
TPL;0.00095493;0.547576413;;;;
UMW;0.000959048;0.719660575;;;;
UMW;0.000869102;0.947176812;;;;
UMW;0.000877367;0.40574142;;;;
UMW;0.000932504;0.230251853;;;;
UMW;0.000882096;1.029152902;;;;
UMW;0.000831515;1.062152864;;;;
UMW;0.00086203;0.837746529;;;;
UMW;0.000959048;1.138754457;;;;
TPL;0.000897429;0.443820376;;;;
UMW;0.000860941;0.792740211;;;;
UMW;0.001288581;1.295625445;;;;
UMW;0.000868509;0.815584379;;;;
TPL;0.000839517;0.90051998;;;;
UMW;0.000902014;0.859266207;;;;
TPL;0.000863883;1.047484127;;;;
TPL;0.000897303;0.976728052;;;;
TPL;0.000840276;0.880179615;;;;
SAP;0.000874103;0.90051998;;;;
TPL;0.000913836;0.90051998;;;;
SAP;0.000872661;0.799667572;;;;
SAP;0.000896328;1.062152864;;;;
SAP;0.000873554;0.69360959;;;;
SAP;0.000867758;0.609476993;;;;
SAP;0.000865405;0.976728052;;;;
TPL;0.000803723;0.514576451;;;;
TPL;0.000850921;0.514576451;;;;
SAP;0.000970134;1.062152864;;;;
TPL;0.000853117;0.638593544;;;;
SAP;0.000878467;0.90051998;;;;
SAP;0.000859917;1.062152864;;;;
TPL;0.000879835;0.547576413;;;;
TPL;0.000901466;1.012086015;;;;
TPL;0.00118905;0.323170078;;;;
TPL;0.00081596;1.084409941;;;;
TPL;0.000810742;0.79041665;;;;
SAP;0.000853037;0.976728052;;;;
CPL;0.000911029;0.547576413;;;;
CPL;0.000922653;1.029152902;;;;
CPL;0.000932516;0.920317871;;;;
CPL;0.000876133;0.888382758;;;;
CPL;0.001297635;1.295625445;;;;
CPL;0.001288068;1.307316662;;;;
CPL;0.000876684;0.939601471;;;;
CPL;0.000879263;1.26064102;;;;
CPL;0.00098902;1.045836231;;;;
CPL;0.000938463;1.259404755;;;;
CPL;0.001288263;1.246927538;;;;
CPL;0.00089375;0.76917071;;;;
CPL;0.000915344;1.221325798;;;;
CPL;0.000921177;1.095678898;;;;
CPL;0.000903645;0.939601471;;;;
CPL;0.000908389;1.208186041;;;;
CPL;0.000935082;1.153169995;;;;
CPL;0.000902703;1.062152864;;;;
CPL;0.000904357;0.744828304;;;;
CPL;0.000857735;0.988277796;;;;
CPL;0.000907618;1.109055421;;;;
CPL;0.001292686;1.295625445;;;;
CPL;0.000981723;1.093748138;;;;
NPL;0.000933207;0.837746529;;;;
WMT;0.001199761;1.295625445;;;;
NPL;0.001389944;1.194809519;;;;
WMT;0.0009535;1.271675727;;;;
NPL;0.000908426;0.958396827;;;;
NPL;0.000909587;0.744828303;;;;
NPL;0.000908264;0.79274021;;;;
NPL;0.000913213;1.234237026;;;;
NPL;0.000908374;0.958396827;;;;
NPL;0.000916249;0.880179615;;;;
NPL;0.000900437;1.271675727;;;;
NPL;0.000896242;0.976728052;;;;
NPL;0.000899453;1.167310935;;;;
NPL;0.000946759;1.029152902;;;;
NPL;0.000919707;1.062152864;;;;
NPL;0.000946138;1.045836231;;;;
NPL;0.000890457;0.939601472;;;;
WMT;0.000958108;1.283747162;;;;
NPL;0.000905864;1.259404755;;;;
NPL;0.001293009;1.384373003;;;;
NPL;0.000925052;0.994617518;;;;
NPL;0.000886985;1.259404755;;;;
NPL;0.001390958;1.283747161;;;;
NPL;0.000945716;0.939601472;;;;
NPL;0.00094908;1.181187542;;;;
NPL;0.000966007;0.79274021;;;;
SAP;0.000939603;1.045836231;;;;
SAP;0.000941493;0.792740211;;;;
SAP;0.000872153;0.638593544;;;;
SAP;0.000946832;1.167310935;;;;
CPL;0.000940718;0.90051998;;;;
SAP;0.000942524;0.92031787;;;;
SAP;0.000934198;1.062152864;;;;
SAP;0.000933875;0.579171687;;;;
SAP;0.001587376;1.48219547;;;;
SAP;0.000967479;0.958396827;;;;
CPL;0.001387589;1.295625445;;;;
CPL;0.001191636;1.295625445;;;;
SAP;0.000966519;1.217408233;;;;
SAP;0.000927049;0.994617518;;;;
SAP;0.000882533;1.138754457;;;;
CPL;0.000912067;0.769170711;;;;
SAP;0.000928495;1.167310935;;;;
CPL;0.001293744;1.283747161;;;;
CPL;0.001488801;1.194809519;;;;
SAP;0.000890856;1.10905542;;;;
CPL;0.000875691;1.045836231;;;;
CPL;0.000895806;1.27974512;;;;
SAP;0.000932506;0.859266207;;;;
SAP;0.00090575;1.045836231;;;;
SAP;0.000929514;1.208186041;;;;
CPL;0.000901377;1.138754457;;;;
SAP;0.001387614;1.318826611;;;;
CPL;0.001392771;1.463635081;;;;
SAP;0.000953426;1.118090545;;;;
SAP;0.000930074;1.259404755;;;;
SAP;0.000932005;0.40574142;;;;
CPL;0.000892788;1.027463762;;;;
SAP;0.000910146;1.045836231;;;;
SAP;0.000872083;0.902523698;;;;
SAP;0.000899937;1.012086015;;;;
SAP;0.000899828;0.815584379;;;;
SAP;0.000881317;1.181187542;;;;
SAP;0.000880207;1.167310935;;;;
SAP;0.000887193;0.976728052;;;;
CPL;0.000905864;1.062152864;;;;
NPL;0.000874796;0.514576451;;;;
TPL;0.000863906;0.769170711;;;;
TPL;0.000946686;1.045836231;;;;
TPL;0.000893712;0.69360959;;;;
TPL;0.000863374;1.029152903;;;;
NPL;0.000883449;0.880179615;;;;
NPL;0.000938647;0.719660575;;;;
NPL;0.000909571;0.69360959;;;;
NPL;0.000900005;0.443820376;;;;
NPL;0.000959242;0.514576452;;;;
NPL;0.00090423;0.76917071;;;;
NPL;0.000898093;0.124017093;;;;
NPL;0.000908969;0.859266207;;;;
NPL;0.000933462;0.769170711;;;;
TPL;0.00090041;1.271675727;;;;
NPL;0.000870393;0.815584379;;;;
NPL;0.000876388;0.837746529;;;;
NPL;0.000949496;0.579171687;;;;
NPL;0.000934826;0.939601472;;;;
NPL;0.000907655;0.719660575;;;;
NPL;0.000910503;0.480041066;;;;
NPL;0.000904501;0.859266207;;;;
NPL;0.000869303;0.719660575;;;;
SPL;0.000856905;0.579171687;;;;
TPL;0.000857389;0.880179615;;;;
SPL;0.000888041;0.40574142;;;;
SPL;0.000850284;0.719660575;;;;
TPL;0.000885832;0.514576452;;;;
NPL;0.000890132;0.815584379;;;;
SPL;0.000852014;0.69360959;;;;
SPL;0.000891487;0.666611091;;;;
SPL;0.000890534;1.062152864;;;;
TPL;0.000971064;0;;;;
TPL;0.000856693;0.815584379;;;;
TPL;0.000872063;0.609476993;;;;
SPL;0.000907284;0.323170078;;;;
SPL;0.000798558;0.815584379;;;;
SPL;0.000910811;0.837746529;;;;
SPL;0.000910054;0.880179614;;;;
SPL;0.000957802;0.480041067;;;;
SPL;0.00090061;0.064595236;;;;
SPL;0.000912656;0.443820376;;;;
SPL;0.000918522;0.579171687;;;;
NPL;0.000818562;0.40574142;;;;
TPL;0.000925983;0.179033139;;;;
SPL;0.000929752;0.609476993;;;;
SPL;0.000894336;0.815584379;;;;
SPL;0.00082629;0.514576451;;;;
SPL;0.000888492;0.638593544;;;;
NAP;0.00149081;1.444598733;;;;
NAP;0.000861864;1.208186041;;;;
NAP;0.000972357;1.194809519;;;;
NAP;0.000924641;1.153169995;;;;
NAP;0.000925184;0.976728052;;;;
CPL;0.001393494;1.425061371;;;;
SAP;0.000896048;1.093748138;;;;
SAP;0.000874091;0.480041067;;;;
SAP;0.000844931;1.078118573;;;;
SAP;0.000918844;0.880179615;;;;
SAP;0.000893192;1.153169995;;;;
SAP;0.000858431;1.0678944;;;;
SAP;0.000908673;0.994617518;;;;
SPL;0.00088502;1.078118573;;;;
WMT;0.000997263;0.939601471;;;;
XER;0.000969877;1.153169995;;;;
WMT;0.000950002;1.078118574;;;;
XER;0.000959123;0.365603164;;;;
NAP;0.000892054;1.304993101;;;;
NAP;0.000853047;1.153169995;;;;
NAP;0.000846522;1.153169995;;;;
NAP;0.000921878;1.179811496;;;;
NAP;0.000894865;1.045836231;;;;
NAP;0.000909498;1.029152902;;;;
NAP;0.000885319;1.093748138;;;;
NAP;0.000950365;1.153169995;;;;
SAP;0.000855997;1.208186041;;;;
NAP;0.0008456;0.939601471;;;;
NAP;0.00087598;1.093748138;;;;
NAP;0.001387926;1.434894322;;;;
SAP;0.000802959;0.79274021;;;;
NAP;0.000860933;1.078118574;;;;
SAP;0.000908673;0.69360959;;;;
SAP;0.00085705;0.958396827;;;;
SAP;0.000810455;0.880179615;;;;
NAP;0.000824662;0.815584379;;;;
NAP;0.00082336;1.012086015;;;;
SAP;0.000805222;1.221325798;;;;
NAP;0.000815082;0.991073946;;;;
NAP;0.000830673;0.792740211;;;;
NAP;0.000961668;0.744828303;;;;
SAP;0.000825095;0.958396827;;;;
TPL;0.00084026;0.994617518;;;;
TPL;0.000919256;0.994617518;;;;
NAP;0.000828556;1.062152864;;;;
SPL;0.00086722;1.194809519;;;;
SPL;0.000863973;1.153169995;;;;
SPL;0.00085951;0.783402013;;;;
SPL;0.000850838;0.514576451;;;;
SPL;0.000876504;0.719660575;;;;
SPL;0.000826799;0.90051998;;;;
SPL;0.00085535;0.365603164;;;;
SPL;0.000923717;0.90051998;;;;
SPL;0.000876824;0.719660575;;;;
SAP;0.000861552;0.859266207;;;;
SPL;0.000898233;0.405741419;;;;
SPL;0.000887817;0.744828304;;;;
TPL;0.000860023;0.976728052;;;;
SPL;0.000886176;1.093748138;;;;
SPL;0.000905357;0.638593544;;;;
CPL;0.000858209;0.443820376;;;;
SPL;0.000852617;0.880179615;;;;
SPL;0.000875845;0.638593544;;;;
SPL;0.000837351;0.365603163;;;;
SPL;0.000857339;0.859266206;;;;
SPL;0.000819703;0.792740211;;;;
SPL;0.000896016;0.609476993;;;;
SPL;0.000852673;0.443820376;;;;
CPL;0.00089182;0.27816376;;;;
SPL;0.000829005;0.443820376;;;;
SPL;0.000858154;0.859266207;;;;
SPL;0.000904663;1.078118574;;;;
SPL;0.00087671;0.443820376;;;;
SAP;0.000840828;0.79274021;;;;
SPL;0.000856349;0.480041067;;;;
TPL;0.000838971;1.078118574;;;;
