Ecoregions;Insect_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Insect;lower_Replacement_Insect;upperr_Replacement_Insect
SAP;0.000773281;0.934733772;0.829;-10.09304525;-10.42781462;-9.758275866
WMT;0.001030418;1.072533273;0.831;-10.09228576;-10.42704295;-9.757528582
WMT;0.001372685;0.875619756;0.832;-10.09190602;-10.42665717;-9.757154875
SAP;0.001044302;1.056650275;0.833;-10.09152628;-10.42627144;-9.756781126
SAP;0.0017255;1.173699365;0.836;-10.09038706;-10.4251145;-9.755659621
SAP;0.001736181;1.300543977;0.838;-10.08962758;-10.42434342;-9.754911737
SAP;0.000798993;0.576171231;0.84;-10.0888681;-10.42357251;-9.754163682
SAP;0.000711403;0.944141937;0.842;-10.08810861;-10.42280177;-9.753415455
UMW;0.001176294;0.391885379;0.846;-10.08658965;-10.42126081;-9.751918486
UMW;0.001513778;1.072533273;0.851;-10.08469094;-10.41933558;-9.750046309
SAP;0.000823025;0.765185945;0.853;-10.08393146;-10.41856579;-9.749297139
SAP;0.000660397;1.227842938;0.855;-10.08317198;-10.41779617;-9.748547796
NAP;0.001420388;1.277096581;0.857;-10.0824125;-10.41702672;-9.747798282
TPL;0.000237356;0.915550072;0.859;-10.08165302;-10.41625744;-9.747048596
CPL;0.00096396;0.544739638;0.861;-10.08089354;-10.41548833;-9.746298739
NAP;0.001098467;1.088081867;0.865;-10.07937457;-10.41395063;-9.744798509
NAP;0.001320568;1.212835988;0.87;-10.07747587;-10.41202948;-9.742922256
CPL;0.000734377;0.934733772;0.872;-10.07671639;-10.41126132;-9.742171454
CPL;0.000957301;1.175068282;0.876;-10.07519742;-10.40972551;-9.740669335
NAP;0.000993939;0.663157646;0.878;-10.07443794;-10.40895786;-9.739918018
NAP;0.000767261;1.118230173;0.882;-10.07291898;-10.40742308;-9.738414869
SAP;0.000566889;0.895854746;0.884;-10.07215949;-10.40665595;-9.737663036
CPL;0.000679428;0.22905901;0.886;-10.07140001;-10.40588899;-9.736911032
CPL;0.001201177;1.072533273;0.888;-10.07064053;-10.40512221;-9.736158855
CPL;0.00018712;1.077232319;0.889;-10.07026079;-10.40473888;-9.735782703
CPL;0.001215888;1.147195883;0.89;-10.06988105;-10.40435559;-9.735406507
NAP;0.001376911;0.663157646;0.896;-10.0676026;-10.40205677;-9.733148432
TPL;0.000777705;0.544739639;0.898;-10.06684312;-10.40129085;-9.732395396
TPL;0.000804315;0.544739638;0.9;-10.06608364;-10.40052509;-9.731642189
TPL;0.001279524;1.006842803;0.904;-10.06456468;-10.39899409;-9.730135258
CPL;0.001665595;0.835575461;0.909;-10.06266597;-10.39708132;-9.728250627
NAP;0.001000386;1.118230172;0.91;-10.06228623;-10.39669889;-9.727873572
TPL;0.000155848;1.006842803;0.911;-10.06190649;-10.3963165;-9.727496474
XER;0.000567748;0.547943682;0.913;-10.06114701;-10.39555187;-9.726742149
TPL;0.000742721;0.989464802;0.916;-10.06000778;-10.39440523;-9.725610338
NAP;0.001285034;1.345317136;0.917;-10.05962804;-10.39402311;-9.725232982
CPL;0.000766229;0.895854746;0.919;-10.05886856;-10.39325898;-9.724478141
SAP;0.00075284;1.006842803;0.925;-10.05659012;-10.39096765;-9.722212586
CPL;0.000954936;0.511910636;0.927;-10.05583063;-10.39020421;-9.721457057
SAP;0.001611841;1.118230173;0.929;-10.05507115;-10.38944095;-9.720701356
SAP;0.000728909;1.006842803;0.935;-10.05279271;-10.38715219;-9.71843322
SAP;0.001165489;1.147195883;0.937;-10.05203323;-10.38638962;-9.71767683
WMT;0.001457985;1.125253742;0.939;-10.05127374;-10.38562722;-9.716920269
SPL;0.000930494;0.833406499;0.94;-10.050894;-10.38524608;-9.716541924
CPL;0.000961624;1.040418172;0.941;-10.05051426;-10.38486499;-9.716163536
SAP;0.000590377;1.103309848;0.942;-10.05013452;-10.38448394;-9.715785104
SAP;0.000741094;0.740969646;0.944;-10.04937504;-10.38372197;-9.715028113
SAP;0.001783642;0.276722704;0.946;-10.04861556;-10.38296016;-9.714270949
SAP;0.000982889;0.915550072;0.949;-10.04747633;-10.38181779;-9.713134881
CPL;0.001050377;0.477554166;0.952;-10.04633711;-10.3806758;-9.711998426
NAP;0.001279557;1.132855025;0.953;-10.04595737;-10.38029522;-9.711619522
CPL;0.000711895;0.854814692;0.955;-10.04519789;-10.37953419;-9.710861584
WMT;0.00136671;1.072533273;0.957;-10.04443841;-10.37877334;-9.710103474
