Ecoregions;Insect_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Insect;lower_Replacement_Insect;upperr_Replacement_Insect
TPL;0.000664591;1.023821273;1.406;-9.873934732;-10.21229345;-9.535576014
WMT;0.001412416;1.209424753;1.408;-9.87317525;-10.21157096;-9.534779545
TPL;0.000996228;1.214998598;1.417;-9.869757582;-10.20832178;-9.531193383
NAP;0.001194877;1.161263564;1.418;-9.869377841;-10.20796097;-9.530794713
SAP;0.000831048;0.811359163;1.425;-9.866719655;-10.20543644;-9.528002865
SAP;0.000842545;0.788633341;1.427;-9.865960173;-10.20471552;-9.527204822
WMT;0.001314506;1.040418172;1.437;-9.862162764;-10.2011134;-9.523212125
NPL;0.001182274;1.247733705;1.447;-9.858365354;-10.19751541;-9.5192153
WMT;0.001954594;1.282725539;1.454;-9.855707168;-10.19499927;-9.516415069
WMT;0.000953673;1.211001127;1.456;-9.854947686;-10.19428074;-9.515614633
SAP;0.000708899;0.854814692;1.463;-9.8522895;-10.19176719;-9.51281181
NPL;0.001221516;1.072533273;1.465;-9.851530018;-10.1910494;-9.512010633
UMW;0.000178273;0.715932301;1.475;-9.847732609;-10.18746293;-9.508002287
SAP;0.000819796;1.103309848;1.484;-9.84431494;-10.18423861;-9.504391269
NAP;0.000958477;1.147195883;1.493;-9.840897272;-10.18101761;-9.500776935
NAP;0.001185104;1.072533273;1.494;-9.840517531;-10.18065992;-9.500375138
NAP;0.001488524;1.300543977;1.501;-9.837859345;-10.17815727;-9.497561415
WMT;0.001947756;1.288913328;1.51;-9.834441676;-10.17494252;-9.493940834
WMT;0.001294716;0.989464802;1.514;-9.832922713;-10.1735148;-9.492330628
NAP;0.001115777;1.300543977;1.519;-9.831024008;-10.17173106;-9.490316955
TPL;0.001766896;0.663157646;;;;
UMW;0.001143926;0.690016276;;;;
NAP;0.0010507;1.300543977;;;;
SAP;0.000550347;1.175068282;;;;
SAP;0.001391711;1.175068282;;;;
UMW;0.001004677;1.088081867;;;;
SAP;0.001046865;1.311994299;;;;
WMT;0.001655441;1.345317136;;;;
TPL;0.000892388;1.407765383;;;;
WMT;0.002146319;1.387530393;;;;
SAP;0.000354309;1.188619689;;;;
SAP;0.000658422;1.214998598;;;;
SAP;0.001125583;1.006842803;;;;
UMW;0.001038881;0.859022857;;;;
UMW;0.001203293;1.214998598;;;;
SAP;0.001357689;1.323269799;;;;
WMT;0.001322452;1.118230172;;;;
WMT;0.001403854;1.277096581;;;;
TPL;0.000509234;0.635285246;;;;
TPL;0.000898657;0.971668015;;;;
CPL;0.00092701;0.811359163;;;;
WMT;0.001405712;0.895854746;;;;
XER;0.001086348;1.072533273;;;;
WMT;0.001149469;1.240467706;;;;
NAP;0.001523612;0.989464803;;;;
WMT;0.001882782;1.417678699;;;;
TPL;0.001589625;0.477554166;;;;
TPL;0.000922431;0.854814692;;;;
CPL;0.000952402;0.915550072;;;;
CPL;0.001301801;0.765185945;;;;
NAP;0.001344268;1.103309848;;;;
SAP;0.001202751;1.170953893;;;;
NAP;0.000922404;1.397717188;;;;
SAP;0.00090441;1.040418172;;;;
SAP;0.00073423;1.214998598;;;;
NAP;0.001949525;1.040418172;;;;
NAP;0.001043082;1.118230173;;;;
CPL;0.001335338;0.971668015;;;;
SAP;0.000729638;1.023821273;;;;
TPL;0.001008837;1.161263564;;;;
CPL;0.000229993;0.934733772;;;;
WMT;0.000532585;1.240467706;;;;
NAP;0.00097653;0.788633341;;;;
NAP;0.000931479;1.086982044;;;;
CPL;0.001454825;0.989464802;;;;
NAP;0.001513754;1.103309848;;;;
UMW;0.000746576;1.056650275;;;;
TPL;0.001390208;0.915550072;;;;
TPL;0.000233356;1.118230173;;;;
UMW;0.000949364;1.040418172;;;;
UMW;0.001057552;0.971668015;;;;
NAP;0.001110525;1.20082709;;;;
SAP;0.000860824;0.765185945;;;;
WMT;0.001255576;1.416693334;;;;
SAP;0.001125416;0.788633341;;;;
WMT;0.001157643;1.214998598;;;;
CPL;0.000890358;0.833406499;;;;
NPL;0.001125981;0.788633341;;;;
CPL;0.000834736;1.132855026;;;;
NAP;0.000567746;0.953431756;;;;
TPL;0.001209142;1.446644409;;;;
SPL;0.000566433;0.934733772;;;;
SAP;0.00066042;1.023821273;;;;
NAP;0.001324313;1.302464735;;;;
TPL;0.00091949;0.57617123;;;;
TPL;0.000149266;0.788633341;;;;
WMT;0.001236353;1.18051872;;;;
WMT;0.000953392;1.417678699;;;;
TPL;0.000610366;1.175068282;;;;
TPL;0.000272715;1.103309848;;;;
CPL;0.001327152;0.953431757;;;;
SAP;0.000626252;0.44152112;;;;
TPL;0.00147877;0.477554166;;;;
XER;0.002073721;0.663157646;;;;
SAP;0.000979717;1.175068282;;;;
TPL;0.001534243;0.989464802;;;;
UMW;0.000835956;0.544739638;;;;
UMW;0.001287276;0.915550072;;;;
CPL;0.000960422;1.110807689;;;;
CPL;0.000148421;1.110807689;;;;
CPL;0.000797627;0.971668015;;;;
WMT;0.001263027;0.971668015;;;;
NAP;0.001585095;0.989464802;;;;
NAP;0.001182543;0.854814692;;;;
XER;0.000862944;1.265087683;;;;
NAP;0.001605284;1.427460708;;;;
NAP;0.001128864;1.265087683;;;;
WMT;0.001223811;1.311994299;;;;
WMT;0.000933187;0.934733772;;;;
SAP;0.000759387;0.915550072;;;;
SAP;0.000861467;0.953431757;;;;
SAP;0.001028131;0.715932301;;;;
TPL;0.000775921;0.36370912;;;;
TPL;8.93E-06;0.064260594;;;;
UMW;0.000650546;0.788633341;;;;
UMW;0.000548215;0.562864007;;;;
XER;0.001847387;1.201926913;;;;
SAP;0.000417151;0.606319536;;;;
SAP;0.000820085;1.147195883;;;;
SAP;0.000907169;1.161263564;;;;
CPL;0.000421847;1.161263564;;;;
SAP;0.00087352;1.006842803;;;;
SPL;0.001380335;1.356098801;;;;
WMT;0.001148487;0.971668015;;;;
WMT;0.001194074;0.740969646;;;;
SAP;0.001520306;1.161263564;;;;
CPL;0.000169302;1.023821273;;;;
CPL;0.000995037;1.288913328;;;;
WMT;0.001218761;0.875619756;;;;
WMT;0.001660535;0.915550072;;;;
WMT;0.000687274;1.357168361;;;;
CPL;0.001059526;0.606319536;;;;
CPL;0.001040126;0.934733772;;;;
SAP;0.000911573;1.175068282;;;;
WMT;0.001826253;0.765185945;;;;
CPL;0.000934391;1.118230172;;;;
WMT;0.001000214;1.334375737;;;;
WMT;0.001334646;1.483578651;;;;
WMT;0.00131518;1.483578651;;;;
CPL;0.000349013;1.090002624;;;;
WMT;0.002049717;1.188619689;;;;
SAP;0.001107036;1.023821273;;;;
SAP;0.001054093;1.056650275;;;;
UMW;0.001197983;0.934733772;;;;
WMT;0.001799266;0.915550072;;;;
CPL;0.000202125;0.875619756;;;;
CPL;0.00113925;1.227842938;;;;
WMT;0.000900218;1.214998598;;;;
SAP;0.001004321;0.765185945;;;;
SAP;0.001593845;0.788633341;;;;
SAP;0.001079626;1.201926913;;;;
TPL;5.43E-05;0.064260594;;;;
TPL;0.001163355;1.088081867;;;;
SAP;0.000975276;1.188619689;;;;
SAP;0.001510233;0.875619756;;;;
SAP;0.000626139;0.854814692;;;;
WMT;0.000689912;1.323269799;;;;
WMT;0.000946484;1.227842938;;;;
NAP;0.00095058;1.147195883;;;;
NAP;0.001257102;1.039049255;;;;
SAP;0.000850418;0.971668015;;;;
NAP;0.001249309;1.300543977;;;;
WMT;0.001152475;1.023821273;;;;
WMT;0.001640255;0.989464802;;;;
SAP;0.001257129;1.366725329;;;;
SPL;0.000927054;0.854814692;;;;
CPL;0.001053276;1.006842803;;;;
UMW;0.000882719;0.811359163;;;;
SAP;0.000771671;1.072533273;;;;
WMT;0.001389355;1.300543977;;;;
SAP;0.000498173;1.098990941;;;;
WMT;0.000975161;1.360367778;;;;
NAP;0.001989359;1.446644409;;;;
NAP;0.000931895;1.240467706;;;;
UMW;0.000869142;0.875619757;;;;
UMW;0.000926955;1.056650275;;;;
UMW;0.001440208;1.188619689;;;;
NAP;0.00124093;0.511910636;;;;
SPL;0.001008192;1.040418172;;;;
SPL;0.000528105;0.953431757;;;;
SAP;0.000977297;1.188619689;;;;
UMW;0.000916067;0.811359163;;;;
UMW;0.001410103;1.188619689;;;;
TPL;7.77E-05;0.511910636;;;;
CPL;0.000668988;0.985939588;;;;
SAP;0.000763451;1.288913328;;;;
TPL;0.000769522;0.915550072;;;;
SAP;0.000602168;1.161263564;;;;
UMW;0.001567991;1.103309848;;;;
XER;0.001365037;1.456052573;;;;
XER;0.002016126;1.387530393;;;;
XER;0.001144932;1.201926913;;;;
XER;0.001712016;1.277096581;;;;
NAP;0.000672371;1.088081867;;;;
NAP;0.001194843;0.915550072;;;;
XER;0.001652154;1.056650275;;;;
NAP;0.000613708;1.366725329;;;;
SAP;0.00093099;0.953431757;;;;
SAP;0.000895545;1.397717188;;;;
CPL;0.000782912;1.417678699;;;;
XER;0.001207759;0.934733772;;;;
TPL;0.000882158;0.989464802;;;;
SAP;0.001076442;1.023821273;;;;
WMT;0.00068255;1.056650275;;;;
SPL;0.000359611;1.040418172;;;;
TPL;0.00084357;0.57617123;;;;
UMW;0.000815424;1.252880283;;;;
NAP;0.000884546;1.068594432;;;;
TPL;0.001181478;1.022140883;;;;
CPL;0.00115294;1.345317136;;;;
TPL;0.000513636;0.833406499;;;;
TPL;0.001040383;1.214998598;;;;
SAP;0.001245367;0.715932302;;;;
WMT;0.001788419;0.775326117;;;;
WMT;0.000758035;1.006842803;;;;
NAP;0.001064901;0.511910636;;;;
NAP;0.00065845;0.953431756;;;;
CPL;0.000958109;1.288913328;;;;
CPL;0.001128274;1.147195883;;;;
CPL;0.00079855;0.989464802;;;;
XER;0.00121242;1.288913328;;;;
XER;0.001566016;1.366725329;;;;
WMT;0.001355414;1.427460708;;;;
SAP;0.000966601;0.989464802;;;;
SAP;0.000995481;1.161263564;;;;
WMT;0.001619841;0.854814692;;;;
TPL;0.001308048;1.072533273;;;;
CPL;0.001091708;1.056650275;;;;
WMT;0.00137929;1.132855025;;;;
WMT;0.001467307;1.265087683;;;;
NAP;0.000719851;1.483578651;;;;
SAP;0.000877536;1.201926913;;;;
TPL;0.000993829;1.345317136;;;;
WMT;0.001459701;1.311994299;;;;
CPL;0.000966519;1.132855025;;;;
CPL;0.000753595;1.201926913;;;;
SAP;0.00051599;1.345317136;;;;
SAP;0.000849615;1.323269799;;;;
SAP;0.001318219;0.8334065;;;;
WMT;0.000838881;0.44152112;;;;
WMT;0.001347477;0.740969646;;;;
CPL;0.001148453;0.875619756;;;;
CPL;0.001320644;1.006842803;;;;
NAP;0.001029282;0.663157646;;;;
NAP;0.001039968;1.288913328;;;;
UMW;0.000963053;0.715932302;;;;
WMT;0.001318362;1.147195883;;;;
NAP;0.001092255;1.363200115;;;;
NAP;0.001061895;0.790554098;;;;
SAP;0.000356364;0.544739639;;;;
SPL;0.000880491;1.072533273;;;;
SPL;0.001238335;1.006842803;;;;
SAP;0.000350284;1.252880283;;;;
SAP;0.001273597;1.118230172;;;;
UMW;0.000908383;0.915550072;;;;
WMT;0.001067225;1.366725329;;;;
WMT;0.001368612;1.311994299;;;;
NAP;0.001330134;1.227842938;;;;
SAP;0.001605076;1.212835988;;;;
WMT;0.001903211;1.240467706;;;;
WMT;0.001639618;1.088081867;;;;
WMT;0.0014112;0.78863334;;;;
SAP;0.000791122;1.056650275;;;;
SPL;0.001012773;1.201926913;;;;
SAP;0.000798538;0.854814692;;;;
SAP;0.000950875;0.915550072;;;;
SAP;0.001336852;0.854814692;;;;
TPL;0.001395548;1.040418172;;;;
CPL;0.000827086;1.040418172;;;;
WMT;0.001045378;1.288913328;;;;
SAP;0.000967089;1.118230173;;;;
UMW;0.001413921;1.006842803;;;;
SAP;0.000966335;0.788633341;;;;
XER;0.001339395;0.934733772;;;;
CPL;0.001302259;1.288913328;;;;
UMW;0.001249866;1.006842803;;;;
SAP;0.000764799;1.072533273;;;;
XER;0.001533661;1.103309848;;;;
CPL;0.000879267;1.040418172;;;;
SAP;0.000699297;1.132855026;;;;
NAP;0.000768219;1.323269799;;;;
SAP;0.000717702;0.915550072;;;;
XER;0.001914668;1.175068282;;;;
CPL;0.000444082;1.288913328;;;;
SPL;0.001462358;0.788633341;;;;
CPL;0.000548242;1.161263564;;;;
CPL;0.001278621;0.833406499;;;;
UMW;0.000861942;1.288913328;;;;
NAP;0.001384347;1.427460708;;;;
TPL;0.001514446;0.511910637;;;;
TPL;0.001044696;0.635285246;;;;
TPL;0.000961138;1.006842803;;;;
NAP;0.000947368;0.765185945;;;;
SPL;0.000988981;0.875619757;;;;
SPL;0.001352878;0.915550072;;;;
NAP;0.00093859;1.056650275;;;;
NPL;0.001151978;0.971668015;;;;
SAP;0.000655795;0.953431757;;;;
SAP;0.001025692;0.915550072;;;;
SAP;0.000882735;0.934733772;;;;
WMT;0.001303564;1.387530393;;;;
CPL;0.000910451;0.971668015;;;;
SAP;0.000716106;0.765185945;;;;
CPL;0.001782445;1.188619689;;;;
CPL;0.000684802;0.915550072;;;;
CPL;0.000961314;0.953431757;;;;
SAP;0.000910159;0.854814692;;;;
SAP;0.000974755;1.323269799;;;;
TPL;0.000839203;0.740969646;;;;
NAP;0.000474863;0.989464802;;;;
SAP;0.000950995;1.006842803;;;;
NAP;0.00166887;1.252880283;;;;
UMW;0.001391422;0.811359163;;;;
UMW;0.000529704;1.115270125;;;;
UMW;0.001181311;1.427460708;;;;
WMT;0.001993603;1.407765383;;;;
WMT;0.001705043;1.334375737;;;;
UMW;0.000890747;0.854814692;;;;
UMW;0.001049968;1.040418172;;;;
WMT;0.001234733;0.854814692;;;;
CPL;0.00134047;0.934733772;;;;
TPL;0.000975236;0.895854746;;;;
WMT;0.001236375;1.289694429;;;;
CPL;0.000783137;1.288913328;;;;
WMT;0.001394361;1.040418172;;;;
CPL;0.001417252;1.345317136;;;;
CPL;0.000981249;1.188619689;;;;
SAP;0.000997037;0.915550072;;;;
WMT;0.000627702;0.811359163;;;;
TPL;0.000926925;0.811359163;;;;
TPL;0.00098428;0.635285246;;;;
CPL;0.000198226;0.544739639;;;;
CPL;0.001129728;0.663157646;;;;
NAP;0.001086609;0.915550072;;;;
SAP;0.000850423;0.915550072;;;;
NAP;0.000763029;1.366725329;;;;
NAP;0.001273767;0.788633341;;;;
TPL;0.000991951;0.606319536;;;;
UMW;0.001321176;1.214998598;;;;
UMW;0.001559324;1.227842938;;;;
TPL;0.001541031;0.971668015;;;;
TPL;0.00117697;0.740969646;;;;
CPL;0.001400533;0.915550072;;;;
SPL;0.000729405;0.511910636;;;;
NAP;0.001635489;1.265087684;;;;
TPL;0.001288946;0.635285247;;;;
NAP;0.00096182;0.989464802;;;;
XER;0.001569056;1.005123289;;;;
WMT;0.001135134;1.446644409;;;;
NAP;0.000753231;1.188619689;;;;
UMW;0.001390983;0.976157579;;;;
UMW;0.001243233;1.184580312;;;;
WMT;0.00065004;1.214998598;;;;
WMT;0.000984015;1.201926913;;;;
TPL;0.001535399;0.811359163;;;;
TPL;0.0011932;1.356098801;;;;
TPL;0.000392593;0.765185945;;;;
TPL;0.00096145;1.118230173;;;;
NAP;0.000459564;0.915550072;;;;
NAP;0.000782439;0.740969646;;;;
CPL;7.25E-05;0.511910636;;;;
WMT;0.001670498;1.214998598;;;;
CPL;0.000446495;0.17810564;;;;
XER;0.001101307;0.765185945;;;;
SAP;0.000511149;1.407765383;;;;
WMT;0.001254845;1.397717188;;;;
NAP;0.00130911;1.147195883;;;;
WMT;0.001816294;0.953431757;;;;
SAP;0.000934421;1.023821273;;;;
WMT;0.001480854;1.323269799;;;;
CPL;0.000892953;0.740969646;;;;
WMT;0.001999816;1.437114845;;;;
SAP;0.000758076;0.544739639;;;;
SAP;0.000931294;0.915550072;;;;
NAP;0.001689569;1.036892958;;;;
NAP;0.000990399;1.056650275;;;;
SAP;0.000893536;1.277096581;;;;
SAP;0.000849516;1.397717188;;;;
TPL;0.000967601;1.006842803;;;;
NAP;0.000805675;0.788633341;;;;
NAP;0.001220858;0.915550072;;;;
WMT;0.001271358;1.311994299;;;;
CPL;0.000963216;1.040418172;;;;
XER;0.001278769;1.265087684;;;;
NAP;0.000812191;1.239214896;;;;
XER;0.001817031;0.934733772;;;;
XER;0.001553514;0.989464802;;;;
WMT;0.001636643;1.056650275;;;;
WMT;0.001058862;1.088081867;;;;
WMT;0.001718568;0.971668015;;;;
WMT;0.00123359;0.606319536;;;;
UMW;0.000904885;1.023821273;;;;
NAP;0.000409871;1.214998598;;;;
SAP;0.000815372;0.743427323;;;;
SAP;0.001269744;0.875619756;;;;
WMT;0.001627326;1.212402705;;;;
UMW;0.000939629;1.056650275;;;;
WMT;0.001435807;1.366725329;;;;
SAP;0.000889104;1.161263564;;;;
SAP;0.001081949;1.072533273;;;;
TPL;0.000908044;0.835575461;;;;
XER;0.000748979;1.147195883;;;;
XER;0.000357991;1.288913328;;;;
SAP;0.000881864;1.188619689;;;;
XER;0.001181059;0.663157646;;;;
XER;0.000846464;1.366725329;;;;
CPL;0.000735713;1.056650275;;;;
CPL;0.000794634;0.875619757;;;;
CPL;0.000811882;1.056650275;;;;
WMT;0.000947625;1.147195883;;;;
NAP;0.000994199;0.811359163;;;;
NAP;0.000981656;0.833406499;;;;
XER;0.001230959;1.265087684;;;;
UMW;0.000509853;1.147195883;;;;
NPL;0.001814366;1.072533273;;;;
CPL;0.001393106;0.875619756;;;;
WMT;0.000957683;1.288913328;;;;
WMT;0.00124515;1.103309848;;;;
NPL;0.001343147;0.17810564;;;;
SPL;0.000875929;0.895854746;;;;
TPL;0.000913438;0.22905901;;;;
TPL;0.001028773;1.023821273;;;;
SAP;0.000975998;1.356098801;;;;
WMT;0.002113734;1.201926913;;;;
WMT;0.001201787;1.388669223;;;;
SPL;0.000979619;0.779343521;;;;
UMW;0.000437381;1.072533273;;;;
SPL;0.001017388;1.188619689;;;;
WMT;0.001276788;1.161263564;;;;
TPL;0.000832525;1.446644409;;;;
TPL;0.001050154;0.854814692;;;;
WMT;0.001727123;1.288913328;;;;
UMW;0.000471148;0.765185945;;;;
WMT;0.000878441;1.072533273;;;;
NAP;0.000396296;0.663157646;;;;
UMW;0.000971308;1.082935289;;;;
UMW;0.001212565;1.128821531;;;;
SPL;0.001115628;0.895854746;;;;
TPL;0.000901974;0.511910637;;;;
TPL;0.001126886;0.635285246;;;;
SAP;0.000492416;1.006842803;;;;
SAP;0.001512338;1.006842802;;;;
TPL;0.001311671;1.088081867;;;;
XER;0.000983874;0.934733772;;;;
SAP;0.000733111;1.140060262;;;;
CPL;0.000882592;0.989464802;;;;
WMT;0.001332916;1.175068283;;;;
WMT;0.001661067;1.147195883;;;;
TPL;0.001069607;1.214998598;;;;
SAP;0.000857465;1.240467706;;;;
SAP;0.000509;1.175068282;;;;
CPL;0.000905224;0.934733772;;;;
UMW;0.000839138;1.161263564;;;;
UMW;0.001248798;1.247733705;;;;
TPL;0.001191291;1.118230173;;;;
CPL;0.001124477;0.811359163;;;;
XER;0.00208475;1.236283383;;;;
UMW;0.000908854;1.147195883;;;;
SAP;0.00101181;1.474516808;;;;
UMW;0.001310796;0.833406499;;;;
WMT;0.000905856;0.811359163;;;;
WMT;0.001233152;0.854814692;;;;
NAP;0.001123576;0.989464802;;;;
NAP;0.0013206;0.663157646;;;;
NAP;0.001189579;0.788633341;;;;
NPL;0.001045391;0.811359163;;;;
NPL;0.001420348;0.989464802;;;;
CPL;0.000963983;1.214998598;;;;
CPL;0.000987454;0.715932301;;;;
TPL;0.001166245;1.323269799;;;;
UMW;0.000838674;1.397717188;;;;
TPL;0.000582603;0.511910636;;;;
UMW;0.001030375;1.311994299;;;;
WMT;0.001822885;1.356098801;;;;
NPL;0.001252351;0.953431757;;;;
XER;0.001156898;1.300543977;;;;
XER;0.001191704;1.356098801;;;;
CPL;0.000899131;1.072533273;;;;
CPL;0.000724259;0.715932302;;;;
UMW;0.000747092;1.147195883;;;;
WMT;0.001928629;1.175068282;;;;
WMT;0.001599593;1.103309848;;;;
WMT;0.000835619;1.311994299;;;;
WMT;0.001749393;1.277096581;;;;
WMT;0.000716659;0.715932302;;;;
WMT;0.001307301;1.067804136;;;;
CPL;0.000597031;1.072533273;;;;
CPL;0.000534567;1.345317136;;;;
TPL;0.00109748;0.895854746;;;;
CPL;0.000488403;0.953431757;;;;
CPL;0.001247528;0.915550072;;;;
UMW;0.001153467;0.989464802;;;;
TPL;0.000857655;0.875619757;;;;
NAP;0.000863516;1.334375737;;;;
CPL;0.001117719;0.915550072;;;;
TPL;0.001465726;1.103309848;;;;
TPL;0.000961768;0.715932302;;;;
TPL;0.001266884;0.740969646;;;;
WMT;0.001019504;1.072533273;;;;
SAP;0.000997202;0.875619756;;;;
XER;0.001366158;1.023821273;;;;
CPL;0.000243861;1.334375737;;;;
SAP;0.001077233;1.161263564;;;;
CPL;0.000938652;0.740969646;;;;
WMT;0.001243927;1.147195883;;;;
NPL;0.000947073;1.518753439;;;;
SPL;0.000269329;1.188619689;;;;
SPL;0.00031869;1.006842803;;;;
UMW;0.001047351;1.20082709;;;;
UMW;0.000916291;1.334375737;;;;
UMW;0.000132104;0.765185945;;;;
SAP;0.001683248;1.023821273;;;;
CPL;0.001247033;0.992389681;;;;
UMW;0.001046033;1.22656851;;;;
SAP;0.00164479;1.023821273;;;;
SAP;0.001334935;1.474516808;;;;
UMW;0.001044122;1.311994299;;;;
UMW;0.001221491;1.334375737;;;;
SPL;0.000293639;1.288913328;;;;
WMT;0.000808141;1.288913328;;;;
XER;0.001639991;0.854814692;;;;
SAP;0.00082515;1.040418172;;;;
NAP;0.000536912;1.265087683;;;;
XER;0.001619616;1.252880283;;;;
XER;0.001222911;0.989464802;;;;
WMT;0.001197018;1.175068282;;;;
WMT;0.001427424;1.188619689;;;;
TPL;0.000884951;0.875619757;;;;
SAP;0.000718567;1.132855026;;;;
SAP;0.001134788;1.201926913;;;;
TPL;0.00114512;0.895854746;;;;
SAP;0.000926788;1.37720112;;;;
WMT;0.001785173;1.152922263;;;;
WMT;0.001192704;1.023821273;;;;
WMT;0.001017834;0.989464802;;;;
TPL;0.001168673;0.811359163;;;;
WMT;0.001417709;1.277096581;;;;
NAP;0.001237539;1.088081867;;;;
SAP;0.001049743;0.977052226;;;;
UMW;0.0011449;1.201926913;;;;
NAP;0.001441254;1.040418172;;;;
CPL;0.000914087;0.875619756;;;;
NPL;0.001076622;0.544739638;;;;
WMT;0.001491464;1.300543977;;;;
XER;0.001583543;1.427460708;;;;
SPL;0.001365335;0.788633341;;;;
SAP;0.000939363;1.132855026;;;;
SAP;0.001272458;1.277096581;;;;
SAP;0.000883598;1.175068282;;;;
SPL;0.001696054;0.44152112;;;;
SPL;0.001252344;0.765185945;;;;
XER;0.001859303;1.277096581;;;;
XER;0.001548839;1.023821273;;;;
CPL;0.000632347;1.023821273;;;;
CPL;0.001407163;0.765185945;;;;
WMT;0.001948159;1.265087683;;;;
NAP;0.000814564;1.240467706;;;;
NAP;0.00126243;0.833406499;;;;
NPL;0.00075675;1.417678699;;;;
UMW;0.001226325;1.277096581;;;;
NAP;0.000707991;0.811359163;;;;
NAP;0.001084814;0.740969646;;;;
NAP;0.000715662;1.147195883;;;;
UMW;0.000984014;1.300543977;;;;
SAP;0.000721514;1.006842803;;;;
WMT;0.00105727;0.980620015;;;;
NAP;0.000985938;0.971668015;;;;
UMW;0.000820767;1.312940527;;;;
CPL;0.000813601;1.056650275;;;;
SAP;0.001004212;0.971668015;;;;
TPL;0.000868057;1.334375737;;;;
TPL;0.001571344;1.252880283;;;;
CPL;0.000646335;1.214998598;;;;
NAP;0.001165601;1.188619689;;;;
TPL;0.000737434;0.276722704;;;;
CPL;0.000710138;0.903796016;;;;
TPL;0.000603043;0.321495863;;;;
TPL;0.000904676;0.544739638;;;;
CPL;0.001040632;0.971668015;;;;
UMW;0.000827776;1.252880283;;;;
XER;0.001851652;1.492530651;;;;
TPL;0.00148441;1.118230173;;;;
TPL;0.000828376;0.895854746;;;;
WMT;0.001632062;1.265087683;;;;
TPL;0.001137263;0.788633341;;;;
CPL;0.000994919;1.201926913;;;;
CPL;0.001082112;1.132855025;;;;
WMT;0.001910859;1.161263564;;;;
XER;0.001584673;1.345317136;;;;
NAP;0.000852869;1.033824102;;;;
UMW;0.000508031;1.345317136;;;;
WMT;0.001590772;0.663157646;;;;
NAP;0.001093937;0.895854746;;;;
NAP;0.00113151;1.187275683;;;;
SPL;0.000789898;0.511910636;;;;
SAP;0.001096234;1.201926913;;;;
SAP;0.001170284;0.690016276;;;;
NAP;0.001257855;1.072533273;;;;
SAP;0.000770888;0.715932302;;;;
NPL;0.001095305;1.474516808;;;;
CPL;0.000932451;1.103309848;;;;
SAP;6.40E-06;0.934733772;;;;
SAP;0.000678384;1.300543977;;;;
SAP;0.00068254;0.971668015;;;;
SAP;0.001022875;1.05343227;;;;
NAP;0.000904312;1.072533273;;;;
NPL;0.000981745;0.854814692;;;;
SPL;0.000410884;0.511910636;;;;
NPL;0.000827597;0.8334065;;;;
NPL;0.001055117;1.072533273;;;;
WMT;0.001481837;1.427460708;;;;
NAP;0.000804796;1.201926913;;;;
WMT;0.001445957;1.161263564;;;;
WMT;0.00150955;1.103309848;;;;
CPL;0.000607362;0.953431757;;;;
CPL;0.000175541;1.188619689;;;;
CPL;0.001155787;1.214998598;;;;
XER;0.001988482;1.300543977;;;;
CPL;0.000920063;0.854814692;;;;
SAP;0.000571066;0.833406499;;;;
WMT;0.001280135;0.765185945;;;;
WMT;0.001772412;1.308197216;;;;
CPL;0.000948468;1.240467706;;;;
XER;0.000832578;0.786321818;;;;
CPL;0.0006768;0.946009273;;;;
NAP;0.001548123;1.407765383;;;;
NAP;0.001017524;1.188619689;;;;
XER;0.001153427;0.875619757;;;;
XER;0.000908466;0.833406499;;;;
WMT;0.001756677;1.132855025;;;;
WMT;0.000936315;0.831594153;;;;
WMT;0.001683393;1.188619689;;;;
XER;0.00169285;1.240467706;;;;
SAP;0.000925849;0.715932301;;;;
WMT;0.000888982;1.345317136;;;;
XER;0.001285585;0.477554166;;;;
WMT;0.001372799;1.072533273;;;;
SAP;0.001074432;1.446644409;;;;
NPL;0.001134036;0.715932301;;;;
WMT;0.001288051;0.811359163;;;;
SAP;0.000975547;1.147195883;;;;
TPL;0.000716135;0.690016276;;;;
WMT;0.001167215;1.288913328;;;;
NAP;0.000486878;1.132855025;;;;
UMW;0.000810513;0.788633341;;;;
UMW;0.001255597;1.168658178;;;;
CPL;0.00133773;1.118230173;;;;
CPL;0.00121288;0.700925351;;;;
CPL;0.000795205;0.477554166;;;;
CPL;9.10E-05;1.059854319;;;;
NAP;0.000666844;0.740969646;;;;
SAP;0.001138616;0.964427458;;;;
TPL;0.000951434;1.006842803;;;;
NAP;0.000656133;1.022140883;;;;
WMT;0.001858966;1.277096581;;;;
WMT;0.001585667;1.176207112;;;;
WMT;0.001398084;1.175068282;;;;
CPL;0.001049772;1.265087683;;;;
TPL;0.000425485;0.511910636;;;;
CPL;0.000890825;1.201926913;;;;
SAP;0.000888099;1.161263564;;;;
NAP;0.001077785;0.895854746;;;;
SAP;0.001015784;0.895854747;;;;
CPL;0.000739209;1.227842938;;;;
TPL;0.001007132;0.788633341;;;;
NAP;0.001131658;1.312940527;;;;
NAP;0.001215495;1.042057531;;;;
WMT;0.001029783;1.407765383;;;;
UMW;0.000866618;0.875619756;;;;
CPL;0.000988321;1.427460708;;;;
TPL;0.000974835;1.040418172;;;;
UMW;0.000967243;1.214998598;;;;
XER;0.000750576;1.088081867;;;;
NAP;0.0010554;0.811359163;;;;
SPL;0.001715554;1.023821273;;;;
WMT;0.001883742;1.175068283;;;;
WMT;0.00125562;1.048037571;;;;
