Ecoregions;Fish_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Fish;lower_Replacement_Fish;upperr_Replacement_Fish
SAP;0.001857214;0.859266207;;;;
SAP;0.001317768;1.167310935;;;;
WMT;0.002108714;1.363160791;;;;
WMT;0.000750415;1.295625445;;;;
WMT;0.00210353;1.363160791;;;;
WMT;0.0020153;1.509193969;;;;
WMT;0.0010153;1.295625445;;;;
WMT;0.001383543;1.283747162;;;;
SPL;0.001590637;1.006888489;;;;
XER;6.63E-05;1.181187542;;;;
XER;0.002122803;1.491304503;;;;
XER;0.001277234;1.271675727;;;;
XER;0.0010459;1.254439004;;;;
XER;0.001619849;1.181187542;;;;
XER;0.001277234;1.283747162;;;;
XER;0.001318539;1.258166428;;;;
XER;0.00077416;1.341324603;;;;
XER;0.001277234;1.304993101;;;;
XER;0.001313168;1.029152902;;;;
XER;0.000765413;0.787566831;;;;
XER;0.001814667;1.388716941;;;;
XER;0.001320378;1.045836231;;;;
XER;0.001162292;0.815584379;;;;
XER;0.001619849;0.815584379;;;;
NAP;0.00191315;1.35232298;;;;
NAP;0.000228066;0.719660575;;;;
NAP;0.001795648;1.194809519;;;;
NAP;0.001038176;1.193458514;;;;
NAP;0.002063377;1.341324603;;;;
NAP;0.001626986;0.666611091;;;;
NAP;0.0018845;1.259404755;;;;
NAP;0.001542868;0.744828303;;;;
NAP;0.000951798;0.994617518;;;;
NAP;0.001842528;0.815584379;;;;
NAP;0.000557822;1.138754457;;;;
NAP;0.00170151;1.415096431;;;;
NAP;0.001826314;0.792740211;;;;
NAP;0.001772986;1.350501196;;;;
NAP;0.002058052;1.404995909;;;;
NAP;0.002037131;1.444598733;;;;
NAP;0.001841618;0.994617518;;;;
NAP;0.001042295;0.939601472;;;;
NAP;0.000736477;0.815584379;;;;
NAP;0.001765483;1.029152902;;;;
NAP;0.0013102;0.90051998;;;;
NAP;0.001912076;1.234237026;;;;
NAP;0.001691129;0.69360959;;;;
NAP;0.001739737;1.240609399;;;;
NAP;0.001753193;1.370299086;;;;
NAP;0.001928198;1.138754457;;;;
NAP;0.002180908;1.425061371;;;;
NAP;0.001787058;1.341324603;;;;
NAP;0.001602273;1.434894322;;;;
NAP;0.001538709;0.764365665;;;;
TPL;0.001703716;0.939601472;;;;
NAP;0.001427911;1.10905542;;;;
NAP;0.001772409;1.251943618;;;;
SAP;0.000741897;0.729830281;;;;
SAP;0.001191853;0.79274021;;;;
SAP;0.001109726;0.609476993;;;;
TPL;0.000646755;0.69360959;;;;
SAP;0.001199107;0.79274021;;;;
SAP;0.001754259;0.69360959;;;;
TPL;0.000766894;0.815584379;;;;
NAP;0.001353354;0.69360959;;;;
TPL;0.001262034;1.116592307;;;;
TPL;0.001235861;0.698893434;;;;
TPL;0.000911363;1.062152864;;;;
NAP;0.001275652;1.012086015;;;;
TPL;0.001412752;0.79274021;;;;
NAP;0.001548202;1.113586728;;;;
SPL;0.00176544;0.514576451;;;;
SPL;0.001384307;0.958396827;;;;
SPL;0.001887409;1.10905542;;;;
TPL;0.001758572;0.958396827;;;;
SPL;0.000157305;0.230251853;;;;
SPL;0.000193787;0.365603164;;;;
SPL;0.001336885;0.443820376;;;;
SPL;0.00169718;0.514576452;;;;
SPL;0.001615611;0.994617518;;;;
SPL;0.001909789;0.769170711;;;;
SPL;0.00176164;0.880179615;;;;
SPL;0.001851764;0.579171687;;;;
SPL;0.001824188;1.181187542;;;;
WMT;0.001915619;0.920317871;;;;
WMT;0.000780975;1.07336481;;;;
WMT;3.53E-05;0.666611091;;;;
WMT;0.002090648;1.124053444;;;;
WMT;0.001272952;0.769170711;;;;
WMT;0.000952487;1.045836231;;;;
WMT;0.000213844;0.715667758;;;;
WMT;0.001629258;0.69360959;;;;
WMT;0.000214147;0.76917071;;;;
WMT;0.000279235;0.719660575;;;;
WMT;0.001919067;0.638593544;;;;
WMT;1.53E-05;1.124053444;;;;
WMT;0.00188651;0.638593544;;;;
WMT;0.001325564;0.875006236;;;;
WMT;0.000730165;0.976728052;;;;
WMT;1.53E-05;0.779363688;;;;
WMT;0.001232185;0.939601472;;;;
WMT;0.00160179;1.246927538;;;;
WMT;0.001385;0.930022282;;;;
WMT;0.002198316;0.859266207;;;;
WMT;0.001313018;1.124053444;;;;
WMT;0.000217364;0.744828304;;;;
WMT;0.00071207;1.062152864;;;;
NAP;0.001300618;1.153169995;;;;
SAP;0.001799148;1.219151926;;;;
SAP;0.000962696;1.167310935;;;;
NAP;0.002004075;0.719660575;;;;
SAP;0.001570574;1.246927538;;;;
SAP;0.00195802;1.137297386;;;;
NAP;0.002059438;0.939601471;;;;
NAP;0.001944515;0.638593544;;;;
TPL;0.001946587;0.638593544;;;;
TPL;0.00176207;0.443820376;;;;
TPL;0.001575663;0.994617518;;;;
SAP;0.001550596;0.930022282;;;;
TPL;0.001904564;0.920317871;;;;
TPL;0.001823644;0.815584379;;;;
TPL;0.001088042;0.69360959;;;;
TPL;0.001507736;0.90051998;;;;
TPL;0.000898985;0.976728052;;;;
TPL;0.001862886;0.815584379;;;;
TPL;0.001793945;0.638593544;;;;
TPL;0.001553366;0.480041067;;;;
TPL;0.001477131;0.547576413;;;;
CPL;0.001982244;1.307316662;;;;
UMW;0.001556056;0.958396827;;;;
UMW;0.001256912;0.90051998;;;;
UMW;0.001309574;1.259404755;;;;
UMW;0.00198482;1.259404755;;;;
UMW;0.001914784;1.318826611;;;;
SAP;0.001747171;1.078118573;;;;
SAP;0.000221682;0.480041067;;;;
NPL;0.002025206;0.443820376;;;;
NPL;0.001948694;0.638593544;;;;
TPL;0.000835099;1.045836231;;;;
TPL;0.001211832;1.137297387;;;;
SPL;0.001659553;0.480041067;;;;
SPL;0.000162457;0.27816376;;;;
SPL;0.000480621;0.79274021;;;;
SPL;0.000559273;1.093748138;;;;
SPL;0.001278746;1.208186041;;;;
SPL;0.001565129;1.35232298;;;;
XER;0.00104095;1.208186041;;;;
XER;0.001009787;0.880179615;;;;
SPL;0.001764797;1.208186041;;;;
NAP;0.00176774;1.307316662;;;;
NAP;0.001943573;1.194809519;;;;
NAP;0.001938092;0.744828303;;;;
TPL;0.000467566;0.837746529;;;;
TPL;0.001147675;0.983935651;;;;
TPL;0.001240443;0.579171687;;;;
NPL;0.000690352;0.480041066;;;;
NPL;0.00146388;0.994617518;;;;
NPL;0.001199357;0.976728052;;;;
NPL;0.001541063;1.029152902;;;;
NPL;0.001101988;1.093748138;;;;
NPL;0.001164886;0.514576451;;;;
NPL;0.001440031;1.33016083;;;;
WMT;0.001500179;1.221325798;;;;
NPL;0.001203759;0.609476993;;;;
NPL;0.001621451;1.234237026;;;;
NPL;0.0015432;0.638593544;;;;
TPL;0.000991236;1.045836231;;;;
NPL;0.001192459;1.208186041;;;;
NPL;0.001172428;1.194809519;;;;
NPL;0.001830419;1.138754457;;;;
NPL;0.001385202;0.837746529;;;;
TPL;0.001856417;1.404995909;;;;
NPL;0.000690352;0.994617518;;;;
NPL;0.001619616;1.099908978;;;;
NPL;2.07E-05;0.880179614;;;;
NPL;0.001615104;1.045836231;;;;
NPL;2.07E-05;0.609476993;;;;
SAP;0.001816879;0.976728052;;;;
SAP;0.001720905;1.167310935;;;;
SAP;0.001336975;0.815584379;;;;
SAP;0.002198732;1.517979597;;;;
SAP;0.000730614;1.093748138;;;;
SAP;0.001242201;1.116592307;;;;
SAP;0.000772454;0.744828304;;;;
SAP;0.001097621;1.295625445;;;;
SAP;0.000718713;1.124053444;;;;
CPL;0.001434056;0.514576452;;;;
SAP;0.000941772;0.815584379;;;;
SAP;0.000114535;0.27816376;;;;
SAP;0.000560032;0.900519981;;;;
SAP;0.000173274;1.045836231;;;;
SAP;0.000802842;1.234237026;;;;
SAP;0.000170245;0.837746529;;;;
SAP;0.001448901;0.976728052;;;;
SAP;0.001254972;0.92031787;;;;
SAP;0.00075336;1.153169995;;;;
CPL;0.001231737;0.301007928;;;;
CPL;0.001154673;0.90051998;;;;
CPL;0.001239665;0.27816376;;;;
CPL;0.001356501;0.230251853;;;;
CPL;0.000509959;0.76917071;;;;
CPL;0.001148248;0.514576451;;;;
CPL;0.001153587;0.230251853;;;;
CPL;0.002150684;1.194809519;;;;
SPL;0.002031912;1.425061371;;;;
SPL;0.001949047;1.39372427;;;;
CPL;0.002082993;1.240609399;;;;
SPL;0.0017531;1.239339293;;;;
SPL;0.002036081;1.124053444;;;;
SPL;0.001815265;1.271675727;;;;
CPL;0.000514131;1.283747162;;;;
CPL;0.001819329;1.138754457;;;;
SPL;0.001911067;1.138754456;;;;
SPL;0.001977475;1.249439814;;;;
SPL;0.001966439;1.318826611;;;;
SPL;0.00193448;0.994617518;;;;
SPL;0.001579346;0.76917071;;;;
SPL;0.001980016;1.029152902;;;;
CPL;0.002078413;1.124053444;;;;
SPL;0.001271533;1.045836231;;;;
CPL;0.001487949;0.837746529;;;;
SPL;0.001881924;0.719660575;;;;
CPL;0.000214695;0.778688493;;;;
SPL;0.001918515;1.394756066;;;;
XER;0.000742302;1.029152902;;;;
WMT;0.001646053;1.231030209;;;;
WMT;0.002130302;1.491304503;;;;
XER;9.91E-06;1.207080491;;;;
WMT;0.000805794;1.138754457;;;;
XER;0.001913688;0.815584379;;;;
XER;0.000741723;0.90051998;;;;
WMT;0.002286424;1.517979597;;;;
WMT;0.001926259;1.444598733;;;;
WMT;0.001256194;1.271675727;;;;
XER;0.001667257;0.815584379;;;;
XER;0.000779847;1.307316662;;;;
WMT;0.001342352;1.167310935;;;;
SAP;0.001900567;1.181187542;;;;
SAP;0.001834465;1.029152902;;;;
SAP;0.00220649;1.167310935;;;;
SAP;0.001217823;0.994617518;;;;
SAP;0.002008265;1.295625445;;;;
SAP;0.001660365;1.434894322;;;;
SAP;0.002150879;1.259404755;;;;
SAP;0.002189698;1.454177922;;;;
SAP;0.001986376;1.389582687;;;;
SAP;0.002040571;1.318826611;;;;
SAP;0.002135562;1.33016083;;;;
SAP;0.002298388;1.425061371;;;;
SAP;0.001915244;0.920317871;;;;
NAP;0.001620943;0.792740211;;;;
NAP;0.001577967;1.029152902;;;;
NAP;0.00203945;1.012086015;;;;
NAP;0.001946029;1.454177922;;;;
NAP;0.00120324;1.271675727;;;;
NAP;0.001919012;1.295625445;;;;
NAP;0.001992206;0.994617518;;;;
NAP;0.001304705;1.045836231;;;;
NAP;0.000869099;0.976728052;;;;
NAP;0.001896221;1.042292659;;;;
NAP;0.001772959;0.69360959;;;;
NAP;0.001989844;0.666611092;;;;
NAP;0.001892613;0.696256213;;;;
NAP;0.001831686;0.563542123;;;;
NAP;0.001885203;0.837746529;;;;
NAP;0.001666848;0.672089912;;;;
WMT;1.53E-05;0.79274021;;;;
WMT;0.0020153;1.271675727;;;;
WMT;0.001861676;1.124053444;;;;
XER;5.80E-05;1.010357547;;;;
WMT;0.000862246;0.443820376;;;;
WMT;0.00084592;0.744828304;;;;
XER;0.002065058;0.90051998;;;;
WMT;0.0008788;0.709349619;;;;
UMW;0.00176045;0.859266207;;;;
UMW;0.001449678;0.618332488;;;;
UMW;0.001199102;0.609476993;;;;
UMW;0.001211202;0.837746529;;;;
UMW;0.001954116;1.065373593;;;;
UMW;0.001872877;0.98572667;;;;
UMW;0.001840583;0.931948034;;;;
UMW;0.001792591;0.92031787;;;;
TPL;0.0015289;0.773944855;;;;
UMW;0.001936353;0.480041067;;;;
UMW;0.001339238;1.012086015;;;;
UMW;0.001013923;1.078118573;;;;
UMW;0.001530251;0.808804634;;;;
UMW;0.001381661;0.837746529;;;;
UMW;0.001342657;0.880179614;;;;
UMW;0.001918618;1.062152864;;;;
SAP;0.00130744;1.062152864;;;;
SAP;0.001042534;1.078118574;;;;
SAP;0.001019534;1.167310935;;;;
SAP;0.00147525;1.045836231;;;;
SAP;0.001552199;1.029152903;;;;
SAP;0.001859064;1.167310935;;;;
SAP;0.001461717;0.976728052;;;;
SAP;0.001593064;1.167310935;;;;
SAP;0.001379819;1.221325798;;;;
SAP;0.001553508;1.234237026;;;;
SAP;0.001755626;1.35232298;;;;
XER;0.001440003;1.283747161;;;;
NPL;0.001546266;1.029152903;;;;
SPL;0.00172624;1.10905542;;;;
NPL;0.001155326;1.029152902;;;;
XER;0.001623939;0.744828303;;;;
NPL;0.00161096;0.92031787;;;;
SAP;0.000281297;0.40574142;;;;
SAP;0.001195568;1.045836231;;;;
SAP;0.001068118;1.138754457;;;;
SAP;0.000885076;0.719660575;;;;
SAP;0.000916705;1.10905542;;;;
SAP;0.001267666;1.012086015;;;;
SAP;0.000673736;0.837746529;;;;
SAP;0.000675965;1.029152902;;;;
SAP;0.001360766;0.837746529;;;;
CPL;0.000802651;0.90051998;;;;
SAP;0.000761066;1.078118573;;;;
SAP;0.001253387;1.194809519;;;;
CPL;0.001224076;0.92031787;;;;
CPL;0.001047352;0.859266207;;;;
SAP;0.000751407;0.994617518;;;;
CPL;0.000904765;0.920317871;;;;
CPL;0.000593528;0.958396827;;;;
CPL;0.0011553;1.029152902;;;;
SAP;0.00076156;1.194809519;;;;
CPL;0.001186679;1.029152902;;;;
CPL;0.000686478;0.79274021;;;;
CPL;0.001016488;1.124053444;;;;
CPL;0.001225803;0.939601472;;;;
SAP;0.001105241;1.062152864;;;;
CPL;0.001248122;0.994617518;;;;
CPL;0.001026538;1.109055421;;;;
CPL;0.001044978;0.939601471;;;;
CPL;0.000986742;0.92031787;;;;
SAP;0.001049668;0.90051998;;;;
SAP;0.000988929;1.093748138;;;;
CPL;0.000580168;1.167310935;;;;
CPL;0.000593354;0.92031787;;;;
SAP;0.001113727;0.579171687;;;;
CPL;0.000471696;0.719660575;;;;
SAP;0.00062625;0.90051998;;;;
SAP;0.001998434;1.373842658;;;;
CPL;0.000637101;1.029152902;;;;
CPL;0.000644821;0.815584379;;;;
SAP;0.001060015;1.138754457;;;;
CPL;0.000969244;0.958396827;;;;
CPL;0.000674776;0.880179615;;;;
CPL;0.000497592;1.153169995;;;;
CPL;0.000413856;0.976728052;;;;
SAP;0.001119007;0.301007928;;;;
SAP;0.000925862;0.547576413;;;;
CPL;0.000934577;0.69360959;;;;
CPL;0.000429411;0.837746529;;;;
SAP;0.0011798;1.259404755;;;;
CPL;0.000463603;1.029152902;;;;
CPL;0.000530057;0.976728052;;;;
SAP;0.001192181;0.719660575;;;;
CPL;0.000598864;0.609476993;;;;
CPL;0.000332423;0.69360959;;;;
SAP;0.000997626;0.920317871;;;;
SAP;0.000743744;0.976728052;;;;
SAP;0.000935256;0.747298778;;;;
SAP;0.001988419;1.384373003;;;;
SAP;8.02E-05;0.79274021;;;;
SAP;0.001150759;0.547576413;;;;
CPL;0.001119705;1.138754457;;;;
CPL;0.00101549;0.859266207;;;;
CPL;0.000798969;0.393926153;;;;
CPL;0.001091621;0.958396827;;;;
SAP;0.001278872;0.837746529;;;;
SAP;0.001077342;0.815584379;;;;
SAP;0.001032486;1.194809519;;;;
SAP;0.000773948;0.547576413;;;;
CPL;0.000841801;0.514576451;;;;
CPL;0.000938411;1.143590805;;;;
SAP;0.001166798;1.153169995;;;;
SAP;0.002109125;1.48219547;;;;
CPL;0.001124027;1.029152902;;;;
CPL;0.001060028;0.815584379;;;;
SAP;0.001961187;1.384373003;;;;
SAP;0.001102449;0.859266207;;;;
SAP;0.000712245;1.208186041;;;;
CPL;0.000683904;0.179033139;;;;
SAP;0.000983585;1.181187542;;;;
CPL;0.000962881;1.062152864;;;;
SAP;0.000435085;1.051997071;;;;
SAP;0.001101707;1.234237026;;;;
SAP;0.001126366;0.680233068;;;;
CPL;0.001152438;0.95093569;;;;
SAP;0.0011002;0.920317871;;;;
SAP;0.001139468;0.92031787;;;;
SAP;0.000375107;0.609476993;;;;
CPL;0.00072196;0.480041066;;;;
SAP;0.001101457;0.90051998;;;;
CPL;0.001235164;0.939601472;;;;
SAP;0.000706236;1.104714023;;;;
XER;0.000445041;0.90051998;;;;
WMT;6.45E-05;1.029152902;;;;
XER;0.000558857;1.317683614;;;;
XER;0.001003649;0.769170711;;;;
XER;9.63E-05;0.958396827;;;;
XER;0.001080724;0.939601472;;;;
XER;0.001852006;1.221325798;;;;
XER;0.000850977;1.029152903;;;;
XER;4.42E-05;0.939601471;;;;
XER;0.000103043;0.769170711;;;;
XER;9.63E-05;1.10905542;;;;
XER;0.001009846;0.90051998;;;;
XER;5.68E-05;0.609476993;;;;
XER;0.001037069;1.029152903;;;;
WMT;6.45E-05;0.960250454;;;;
WMT;0.000518614;1.261052651;;;;
XER;0.000901187;1.234237026;;;;
WMT;0.002053612;1.367451999;;;;
WMT;2.29E-05;0.792740211;;;;
XER;0.001011647;1.208186041;;;;
WMT;0.000596607;0.880179615;;;;
WMT;2.29E-05;1.045836231;;;;
WMT;2.29E-05;1.078118574;;;;
XER;0.0020229;1.394756066;;;;
XER;0.000116471;1.153169995;;;;
WMT;2.29E-05;0.815584379;;;;
WMT;2.29E-05;1.208186041;;;;
XER;0.000853969;1.248184739;;;;
WMT;0.000540612;0.443820376;;;;
SPL;0.001093;1.246927538;;;;
SPL;0.000956994;0.547576413;;;;
SPL;0.000768842;0.90051998;;;;
SPL;0.000980505;0.815584379;;;;
SPL;0.001072238;0.79274021;;;;
XER;0.000777208;0.792740211;;;;
SPL;0.001068445;0.792740211;;;;
XER;0.000216615;0.514576452;;;;
WMT;0.001162111;0.815584379;;;;
SPL;0.001011102;0.958396827;;;;
XER;0.000857473;0.815584379;;;;
WMT;0.000519786;1.012086015;;;;
XER;0.001174292;0.744828304;;;;
WMT;0.000705471;0.90051998;;;;
WMT;0.00112986;0.837746529;;;;
SPL;0.001918895;0.930022282;;;;
WMT;0.000510567;0.792740211;;;;
XER;0.000591034;0.443820376;;;;
SPL;0.001128292;0.90051998;;;;
WMT;0.000789777;1.10905542;;;;
XER;6.45E-05;1.124053444;;;;
WMT;5.67E-06;0.962099463;;;;
WMT;0.000519847;1.045836231;;;;
SPL;0.000364091;1.153169995;;;;
SPL;0.000556772;0.579171687;;;;
NAP;0.001131881;1.078118574;;;;
NAP;0.000851981;1.208186041;;;;
NAP;0.001085467;1.269237705;;;;
NAP;0.001197406;0.994617518;;;;
NAP;0.001168142;1.029152902;;;;
NAP;0.000964716;1.022373158;;;;
NAP;0.001142409;1.078118574;;;;
NAP;0.001152015;1.394756066;;;;
NAP;0.001114738;1.124053444;;;;
NAP;0.0011384;1.221325798;;;;
NAP;0.001164966;1.10905542;;;;
NAP;0.001182312;1.124053444;;;;
NAP;0.001135512;1.062152864;;;;
NAP;0.0010588;0.837746529;;;;
SAP;0.000993659;1.109055421;;;;
CPL;0.00132121;0.958396827;;;;
SAP;0.001261623;1.167310935;;;;
CPL;0.001026251;1.045836231;;;;
CPL;0.001132397;0.90051998;;;;
CPL;0.000560649;0.90051998;;;;
CPL;0.001176689;1.295625445;;;;
CPL;0.001138569;1.194809519;;;;
CPL;0.001207947;1.221325798;;;;
CPL;0.001344954;1.181187542;;;;
CPL;0.001809036;1.295625445;;;;
CPL;0.00059484;1.208186041;;;;
CPL;0.001198755;0.94905863;;;;
CPL;0.001897776;1.404995909;;;;
CPL;0.00121271;0.880179615;;;;
CPL;0.00123612;1.138754457;;;;
CPL;0.000104074;0.230251853;;;;
CPL;0.000844789;1.194809519;;;;
CPL;0.000112959;1.307316662;;;;
CPL;0.000571547;1.029152902;;;;
SAP;0.001131266;0.880179615;;;;
CPL;0.001367643;1.33016083;;;;
CPL;0.001289247;1.283747162;;;;
CPL;0.00124169;0.908502604;;;;
CPL;0.000749058;0.958396827;;;;
CPL;0.001177423;0.958396827;;;;
CPL;0.001174574;0.994617518;;;;
CPL;0.001121044;0.837746529;;;;
CPL;0.000963504;1.221325798;;;;
SAP;0.001085603;1.194809519;;;;
CPL;0.000937344;1.124053444;;;;
CPL;0.001187507;1.221325798;;;;
CPL;0.000754045;1.08284209;;;;
SAP;0.001056359;1.045836231;;;;
CPL;0.000840367;1.062152864;;;;
SAP;0.001239659;0.958396827;;;;
SAP;0.001805743;1.078118573;;;;
SAP;0.001153253;1.181187542;;;;
SAP;0.001052165;1.012086015;;;;
CPL;0.001150672;1.271675727;;;;
SAP;0.001135493;0.939601471;;;;
SAP;0.001727553;1.318826611;;;;
SAP;0.001131247;1.194809519;;;;
SAP;0.001172087;0.76917071;;;;
TPL;0.001156474;1.029152902;;;;
TPL;0.000667176;0.815584379;;;;
TPL;0.000937122;0.40574142;;;;
TPL;0.001746799;1.012086015;;;;
TPL;0.001007523;0.666611091;;;;
TPL;0.000937408;0.638593544;;;;
UMW;0.000656847;0.179033139;;;;
TPL;0.000994756;0.579171687;;;;
TPL;0.000798701;0.980340599;;;;
UMW;0.000765496;1.029152902;;;;
TPL;0.000995092;0.609476993;;;;
TPL;0.000775628;0.480041067;;;;
UMW;0.001296844;0.90051998;;;;
TPL;0.000919369;0.365603164;;;;
TPL;0.000695015;0.920317871;;;;
UMW;0.000923823;0.719660575;;;;
TPL;0.001058626;0.365603164;;;;
TPL;0.000896657;0.405741419;;;;
TPL;0.000557313;0.638593544;;;;
TPL;0.000767685;0.706749347;;;;
UMW;0.000761338;1.062152864;;;;
TPL;9.30E-05;0.92031787;;;;
TPL;0.000328189;1.062152864;;;;
XER;0.000580645;1.194809519;;;;
WMT;0.001191039;1.012086015;;;;
WMT;0.000860979;0.815584379;;;;
WMT;0.001197922;1.153169995;;;;
XER;0.000517358;1.194809519;;;;
WMT;0.000810515;1.129968829;;;;
WMT;0.001013359;0.994617518;;;;
XER;0.001080276;1.062152864;;;;
WMT;0.001278782;0.90051998;;;;
TPL;0.001084021;0.861384259;;;;
TPL;0.001120582;0.744828304;;;;
TPL;0.001030155;0.666611091;;;;
TPL;0.001106454;0.514576452;;;;
TPL;0.00086663;0.958396827;;;;
TPL;5.21E-05;0.514576451;;;;
TPL;0.001101407;0.920317871;;;;
TPL;0.001166281;0.815584379;;;;
CPL;0.001232483;0.443820376;;;;
TPL;0.000583868;0.976728052;;;;
TPL;0.001070501;1.093748138;;;;
TPL;0.000501493;1.055203887;;;;
TPL;0.001193145;0.579171687;;;;
UMW;0.000923949;0.744828304;;;;
TPL;0.001104452;0.638593544;;;;
TPL;8.99E-05;0.719660575;;;;
TPL;0.000980438;0.837746529;;;;
TPL;9.30E-05;0.323170078;;;;
TPL;0.000653634;0.880179615;;;;
TPL;0.001021018;0.579171687;;;;
TPL;0.00102305;0.579171687;;;;
TPL;0.000961964;0.769170711;;;;
UMW;0.000759193;0.844268184;;;;
TPL;9.30E-05;0.323170078;;;;
TPL;0.00100071;0.958396827;;;;
TPL;0.000364187;0.769170711;;;;
TPL;0.001228621;0.744828304;;;;
SPL;0.000996284;1.109055421;;;;
SPL;0.001120179;1.124053444;;;;
TPL;0.001276267;0.815584379;;;;
TPL;0.001201969;0.744828303;;;;
SPL;0.00091005;0.90051998;;;;
SPL;0.001146466;0.719660575;;;;
SPL;0.000530186;0.744828304;;;;
TPL;0.001118105;0.609476993;;;;
SPL;0.00084558;0.769170711;;;;
SPL;0.000810506;0.769170711;;;;
TPL;0.0006731;1.093748138;;;;
SPL;0.001187881;1.153169995;;;;
TPL;0.000947297;0.920317871;;;;
TPL;0.001141305;0.837746529;;;;
SPL;0.000993382;0.939601472;;;;
SPL;0.001060748;0.514576452;;;;
SPL;0.000967667;1.078118574;;;;
TPL;0.001224651;0.792740211;;;;
TPL;0.001154284;0.880179615;;;;
TPL;0.001015039;0.859266207;;;;
SPL;0.000996917;0.880179615;;;;
SPL;0.0020342;1.33016083;;;;
SPL;0.00105649;1.138754457;;;;
TPL;0.001147623;0.69360959;;;;
SPL;0.000978736;0.939601472;;;;
SPL;0.001063323;0.79274021;;;;
TPL;0.000903912;0.880179615;;;;
SAP;0.000996119;0.92031787;;;;
SAP;0.000386826;0.859266206;;;;
SAP;0.001030669;0.976728052;;;;
SAP;0.000636396;1.124053444;;;;
SAP;0.000832966;1.062152864;;;;
SAP;0.001128116;1.295625445;;;;
SAP;0.001092684;1.029152903;;;;
SAP;0.0005791;0.920317871;;;;
SAP;0.000702681;1.012086015;;;;
SAP;0.000948608;1.062152864;;;;
SAP;0.000308109;0.815584379;;;;
SAP;0.0005604;0.76917071;;;;
SAP;0.000153526;0.79274021;;;;
TPL;0.000765847;1.109055421;;;;
SAP;0.000734609;0.69360959;;;;
SAP;0.000635439;0.976728052;;;;
SAP;0.000342111;0.880179614;;;;
SAP;0.000395894;0.769170711;;;;
SAP;0.000625699;0.69360959;;;;
SAP;0.000108653;0.69360959;;;;
CPL;0.00010345;0.064595236;;;;
SAP;0.000704567;0.994617518;;;;
SAP;0.000891607;1.145997215;;;;
SAP;0.000646222;1.153169995;;;;
SAP;0.000331664;1.181187542;;;;
SAP;0.000851531;1.283747162;;;;
TPL;0.000368675;1.181187542;;;;
SAP;0.001015659;0.958396827;;;;
TPL;0.001084754;0.744828304;;;;
CPL;0.00109069;0.480041066;;;;
CPL;0.001112469;0.92031787;;;;
CPL;0.000740015;0.837746529;;;;
CPL;0.000701112;0.744828304;;;;
CPL;0.000727697;0.323170078;;;;
CPL;0.000560722;0.958396827;;;;
CPL;0.001299527;0.994617518;;;;
CPL;0.001116504;0.638593544;;;;
CPL;0.000922891;1.194809519;;;;
CPL;0.0010962;1.221325798;;;;
CPL;0.001165393;0.514576451;;;;
CPL;0.001177131;1.062152864;;;;
CPL;0.001055072;1.221325798;;;;
CPL;3.42E-05;0.994617518;;;;
CPL;0.001260048;0.514576451;;;;
CPL;0.001037944;0.939601471;;;;
CPL;0.000915362;0.79274021;;;;
CPL;0.001199626;0.69360959;;;;
CPL;0.001089867;0.744828303;;;;
NAP;0.00120028;0.40574142;;;;
NAP;0.001238445;1.221325798;;;;
NAP;0.001127332;0.90051998;;;;
NAP;0.001139994;0.769170711;;;;
NAP;0.000400733;0.908502604;;;;
NAP;0.001112304;1.221325798;;;;
NAP;0.001116309;0.609476993;;;;
NAP;0.001268338;1.029152902;;;;
NAP;0.001100212;0.920317871;;;;
NAP;0.00118575;0.579171687;;;;
CPL;0.00114425;0.859266207;;;;
SAP;0.001062556;0.769170711;;;;
SAP;0.001067123;1.012086015;;;;
SAP;0.001029299;1.124053444;;;;
SAP;0.000917445;1.029152903;;;;
SAP;0.001116386;0.958396827;;;;
CPL;0.001038399;0.859266207;;;;
SAP;0.000862507;1.045836231;;;;
SAP;0.000600935;0.976728052;;;;
CPL;0.001279542;0.880179614;;;;
SAP;0.000726029;1.221325798;;;;
SAP;2.18E-05;0.480041067;;;;
CPL;0.000617399;1.045836231;;;;
UMW;0.001046668;0.859266207;;;;
UMW;0.001142213;1.153169995;;;;
UMW;0.001209201;1.153169995;;;;
UMW;0.001142643;0.920317871;;;;
UMW;0.001065724;1.093748138;;;;
UMW;0.001234474;1.181187542;;;;
UMW;0.001057721;0.976728052;;;;
UMW;0.001121508;0.744828303;;;;
UMW;0.001092369;0.880179615;;;;
UMW;0.00109158;0.744828304;;;;
UMW;0.001082127;0.90051998;;;;
UMW;0.000696815;1.124053444;;;;
UMW;0.001088341;1.259404755;;;;
TPL;0.000961802;0.323170078;;;;
TPL;0.000996199;0.365603164;;;;
UMW;0.000797563;0.95093569;;;;
UMW;0.001217423;0.880179615;;;;
UMW;0.001107993;1.121077981;;;;
UMW;0.000821536;0.815584379;;;;
UMW;0.000914748;1.078118574;;;;
UMW;5.21E-05;0.76917071;;;;
UMW;0.000510184;0.976728052;;;;
UMW;0.001169917;1.029152902;;;;
UMW;0.000864678;0.815584379;;;;
TPL;0.000810216;0.064595236;;;;
UMW;0.000417143;0.480041066;;;;
UMW;0.001036067;0.547576413;;;;
UMW;0.000839748;0.863496286;;;;
UMW;3.78E-05;0.393926153;;;;
TPL;0.00081018;0.547576413;;;;
UMW;0.001138644;0.719660575;;;;
