Ecoregions;Fish_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Fish;lower_Replacement_Fish;upperr_Replacement_Fish
TPL;0.000636619;0.480041067;0.851;-10.10881778;-10.37628841;-9.841347144
TPL;0.001724284;0.514576451;0.856;-10.10333533;-10.37073829;-9.835932369
UMW;0.001442373;0.609476993;0.857;-10.10223884;-10.3696286;-9.834849085
TPL;0.000181592;0.27816376;0.859;-10.10004586;-10.36740954;-9.832682186
TPL;1.51E-05;1.10905542;0.861;-10.09785288;-10.36519092;-9.830514847
TPL;0.001554125;0.920317871;0.863;-10.0956599;-10.36297274;-9.828347068
UMW;0.001795274;0.69360959;0.866;-10.09237043;-10.35964629;-9.825094575
TPL;0.001724706;0.480041067;0.87;-10.08798448;-10.35521258;-9.820756376
WMT;4.66E-05;1.062152864;0.875;-10.08250203;-10.34967291;-9.81533115
WMT;9.00E-05;1.194809519;0.877;-10.08030905;-10.34745781;-9.813160289
XER;0.001270419;1.194809519;0.88;-10.07701958;-10.34413599;-9.80990317
XER;0.001316934;0.939601472;0.882;-10.0748266;-10.341922;-9.807731206
XER;0.001343322;1.045836231;0.886;-10.07044064;-10.33749533;-9.803385954
XER;6.63E-05;1.045836231;0.888;-10.06824766;-10.33528266;-9.801212667
SAP;0.001734815;1.177051727;0.89;-10.06605469;-10.33307043;-9.799038938
TPL;0.000186843;0.323170078;0.893;-10.06276522;-10.32975292;-9.795777516
TPL;0.001551852;0.815584379;0.894;-10.06166873;-10.3286473;-9.794690155
TPL;0.001615484;0.644282283;0.901;-10.0539933;-10.32091107;-9.787075533
TPL;0.001771262;0.514576452;0.903;-10.05180032;-10.31870171;-9.784898932
TPL;0.001560342;0.976728052;0.909;-10.04522138;-10.31207629;-9.778366478
TPL;0.001369064;0.994617518;0.913;-10.04083543;-10.30766156;-9.774009297
TPL;0.001384843;0.976728052;0.914;-10.03973894;-10.30655815;-9.772919725
TPL;0.001481494;1.045836231;0.918;-10.03535298;-10.30214563;-9.768560331
TPL;0.00135576;0.69360959;0.92;-10.03316;-10.29994003;-9.766379971
TPL;0.001666224;0.90051998;0.922;-10.03096702;-10.29773487;-9.764199167
UMW;0.001720938;0.69360959;0.924;-10.02877404;-10.29553016;-9.762017921
TPL;0.001204901;0.666611091;0.93;-10.0221951;-10.28891868;-9.755471526
SAP;0.001291325;0.547576413;0.932;-10.02000213;-10.28671574;-9.753288508
UMW;0.001354568;0.579171687;0.934;-10.01780915;-10.28451324;-9.751105047
TPL;0.000977904;0.69360959;0.939;-10.0123267;-10.27900894;-9.745644457
UMW;0.001648708;1.181187542;0.94;-10.01123021;-10.27790841;-9.744552007
UMW;0.000800529;0.880179615;0.942;-10.00903723;-10.27570769;-9.742366773
SAP;0.001733158;0.79274021;0.943;-10.00794074;-10.27460749;-9.74127399
UMW;0.00098518;0.666611091;0.945;-10.00574776;-10.27240743;-9.739088092
TPL;0.000138423;0.064595236;0.946;-10.00465127;-10.27130757;-9.737994977
TPL;0.001327479;0.90051998;0.947;-10.00355478;-10.27020781;-9.736901751
TPL;0.00106125;0.76917071;0.949;-10.0013618;-10.26800864;-9.734714966
UMW;0.001622244;0.994617518;0.951;-9.999168824;-10.26580991;-9.732527738
TPL;0.000909519;0.666611091;0.954;-9.995879355;-10.26251265;-9.729246064
UMW;0.001419721;0.815584379;0.957;-9.992589887;-10.25921638;-9.725963393
TPL;0.000898488;0.579171687;0.958;-9.991493397;-10.25811785;-9.724868948
UMW;0.000876116;0.719660575;0.96;-9.989300418;-10.25592111;-9.722679724
SPL;0.001774741;0.792740211;0.962;-9.987107439;-10.25372482;-9.720490057
SPL;0.001930791;0.958396827;0.966;-9.982721481;-10.24933357;-9.716109393
TPL;0.001704336;0.69360959;0.969;-9.979432012;-10.24604129;-9.71282273
SPL;0.001959384;1.208186041;0.971;-9.977239033;-10.243847;-9.710631067
SPL;0.00191154;1.181187542;0.975;-9.972853075;-10.23945974;-9.706246411
TPL;0.001529958;0.994617518;0.977;-9.970660096;-10.23726677;-9.704053417
TPL;0.001713067;0.69360959;0.979;-9.968467117;-10.23507425;-9.70185998
SPL;0.001861239;0.958396827;0.98;-9.967370627;-10.23397816;-9.700763095
SPL;0.001918461;0.976728052;0.981;-9.966274138;-10.23288218;-9.699666099
SPL;0.001822083;1.109055421;0.982;-9.965177648;-10.2317863;-9.698568993
SPL;0.00145518;1.208186041;0.983;-9.964081159;-10.23069054;-9.697471775
SPL;0.001613413;1.078118574;0.984;-9.962984669;-10.22959489;-9.696374447
TPL;0.001547603;1.078118573;0.986;-9.96079169;-10.22740392;-9.694179457
SPL;0.001905728;0.958396827;0.988;-9.958598711;-10.2252134;-9.691984024
SPL;0.00153096;0.994617518;0.991;-9.955309242;-10.22192844;-9.688690043
TPL;0.00160227;1.109055421;0.995;-9.950923284;-10.21755005;-9.684296516
CPL;0.0009375;0.976728052;0.996;-9.949826795;-10.21645573;-9.683197857
CPL;0.001636362;0.92031787;0.998;-9.947633816;-10.21426742;-9.681000206
CPL;0.001695219;1.045836232;1.002;-9.943247858;-10.20989214;-9.676603575
CPL;0.001691832;1.35232298;1.005;-9.939958389;-10.20661184;-9.673304938
CPL;0.001094631;1.124053444;1.007;-9.93776541;-10.20442553;-9.671105292
CPL;0.001989611;1.318826611;1.01;-9.934475941;-10.20114689;-9.667804993
CPL;0.000863935;1.153169995;1.012;-9.932282962;-10.19896169;-9.665604239
CPL;0.000144576;0.179033139;1.014;-9.930089983;-10.19677692;-9.663403042
CPL;0.001889835;1.045836231;1.017;-9.926800514;-10.19350061;-9.660100415
CPL;0.001792677;0.920317871;1.019;-9.924607535;-10.19131696;-9.657898111
CPL;0.001994661;1.221325798;1.022;-9.921318067;-10.18804231;-9.654593823
CPL;0.001934844;0.769170711;1.027;-9.915835619;-10.18258678;-9.649084461
CPL;0.002066908;0.514576451;1.029;-9.91364264;-10.18040534;-9.646879942
CPL;0.001725989;1.078118574;1.031;-9.911449661;-10.17822434;-9.64467498
CPL;0.001463405;0.514576451;1.039;-9.902677745;-10.16950479;-9.635850704
