Ecoregions;Fish_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Fish;lower_Density_Fish;upperr_Density_Fish
TPL;522;0.815584379;0.894;4.631838303;4.372318302;4.891358304
TPL;493;0.644282283;0.901;4.635717015;4.376320848;4.895113182
TPL;384;0.514576452;0.903;4.636825219;4.377462491;4.896187946
TPL;477;0.976728052;0.909;4.640149829;4.380882239;4.899417419
TPL;531;0.994617518;0.913;4.642366236;4.383157751;4.901574721
TPL;492;0.976728052;0.914;4.642920338;4.383726088;4.902114588
TPL;482;1.045836231;0.918;4.645136745;4.385997274;4.904276215
TPL;560;0.69360959;0.92;4.646244948;4.387131569;4.905358327
TPL;598;0.90051998;0.922;4.647353152;4.388264998;4.906441305
UMW;225;0.69360959;0.924;4.648461355;4.389397561;4.907525149
TPL;19;0.666611091;0.93;4.651785966;4.392790051;4.91078188
SAP;1138;0.547576413;0.932;4.652894169;4.393919147;4.911869191
UMW;509;0.579171687;0.934;4.654002373;4.395047376;4.912957369
TPL;531;0.69360959;0.939;4.656772881;4.397864153;4.91568161
UMW;515;1.181187542;0.94;4.657326983;4.398426857;4.916227109
UMW;710;0.880179615;0.942;4.658435187;4.399551615;4.917318758
SAP;281;0.79274021;0.943;4.658989288;4.400113669;4.917864908
UMW;648;0.666611091;0.945;4.660097492;4.401237124;4.918957859
TPL;922;0.064595236;0.946;4.660651594;4.401798527;4.91950466
TPL;486;0.90051998;0.947;4.661205695;4.402359712;4.920051679
TPL;1954;0.76917071;0.949;4.662313899;4.403481431;4.921146367
UMW;548;0.994617518;0.951;4.663422102;4.404602281;4.922241924
TPL;26;0.666611091;0.954;4.665084407;4.406281927;4.923886888
UMW;418;0.815584379;0.957;4.666746713;4.407959618;4.925533808
TPL;318;0.579171687;0.958;4.667300814;4.408518413;4.926083216
UMW;533;0.719660575;0.96;4.668409018;4.409635353;4.927182683
SPL;329;0.792740211;0.962;4.669517221;4.410751423;4.92828302
SPL;228;0.958396827;0.966;4.671733628;4.412980956;4.930486301
TPL;11;0.69360959;0.969;4.673395934;4.414650823;4.932141044
SPL;50;1.208186041;0.971;4.674504137;4.41576298;4.933245294
SPL;960;1.181187542;0.975;4.676720544;4.417984687;4.935456401
TPL;550;0.994617518;0.977;4.677828748;4.419094236;4.936563259
TPL;917;0.69360959;0.979;4.678936951;4.420202915;4.937670987
SPL;245;0.958396827;0.98;4.679491053;4.420756929;4.938225177
SPL;744;0.976728052;0.981;4.680045155;4.421310725;4.938779584
SPL;527;1.109055421;0.982;4.680599256;4.421864303;4.939334209
SPL;2712;1.208186041;0.983;4.681153358;4.422417665;4.939889051
SPL;286;1.078118574;0.984;4.68170746;4.422970808;4.940444111
TPL;120;1.078118573;0.986;4.682815663;4.424076444;4.941554883
SPL;552;0.958396827;0.988;4.683923867;4.42518121;4.942666524
SPL;499;0.994617518;0.991;4.685586172;4.426836728;4.944335616
TPL;482;1.109055421;0.995;4.687802579;4.429041042;4.946564116
CPL;781;0.976728052;0.996;4.688356681;4.429591577;4.947121784
CPL;255;0.92031787;0.998;4.689464884;4.430691996;4.948237773
CPL;769;1.045836232;1.002;4.691681291;4.432890225;4.950472358
CPL;534;1.35232298;1.005;4.693343596;4.434536615;4.952150578
CPL;577;1.124053444;1.007;4.6944518;4.435633122;4.953270477
CPL;1106;1.318826611;1.01;4.696114105;4.437276254;4.954951956
CPL;615;1.153169995;1.012;4.697222309;4.43837059;4.956074027
