Ecoregions;Fish_RichnessDiff;SumNat_PFC;Habitat_Heterogeneity;Pred_RichnessDiff_Fish;lower_RichnessDiff_Fish;upperr_RichnessDiff_fish
SAP;0.002724053;0.69360959;;;;
SAP;0.001094063;1.062152864;;;;
SAP;0.001315829;1.138754457;;;;
SAP;0.001016527;1.029152902;;;;
SAP;0.000944464;0.859266207;;;;
SAP;0.001546927;1.167310935;;;;
WMT;0.003554284;1.363160791;;;;
WMT;0.002634397;1.295625445;;;;
WMT;0.003508766;1.363160791;;;;
WMT;0.000848253;1.509193969;;;;
WMT;0.00348253;1.295625445;;;;
WMT;0.001522837;1.283747162;;;;
SPL;0.001184094;1.006888489;;;;
XER;0.003474971;1.181187542;;;;
XER;0.001044454;1.491304503;;;;
XER;0.002019635;1.271675727;;;;
XER;0.003517556;1.254439004;;;;
XER;0.001657119;1.181187542;;;;
XER;0.002019635;1.283747162;;;;
XER;0.002018488;1.258166428;;;;
XER;0.002606684;1.341324603;;;;
XER;0.002019635;1.304993101;;;;
XER;0.002018488;1.029152902;;;;
XER;0.002610308;0.787566831;;;;
XER;0.003589049;1.388716941;;;;
XER;0.002013886;1.045836231;;;;
XER;0.002090034;0.815584379;;;;
XER;0.001657119;0.815584379;;;;
NAP;0.002098584;1.35232298;;;;
NAP;0.003614227;0.719660575;;;;
NAP;0.001134975;1.194809519;;;;
NAP;0.001853986;1.193458514;;;;
NAP;0.000875317;1.341324603;;;;
NAP;0.001456956;0.666611091;;;;
NAP;0.000892766;1.259404755;;;;
NAP;0.001190141;0.744828303;;;;
NAP;0.00215631;0.994617518;;;;
NAP;0.000616115;0.815584379;;;;
NAP;0.00285414;1.138754457;;;;
NAP;0.001968206;1.415096431;;;;
NAP;0.000953466;0.792740211;;;;
NAP;0.001256289;1.350501196;;;;
NAP;0.000908989;1.404995909;;;;
NAP;0.000850108;1.444598733;;;;
NAP;0.001078921;0.994617518;;;;
NAP;0.001738676;0.939601472;;;;
NAP;0.002049045;0.815584379;;;;
NAP;0.000961795;1.029152902;;;;
NAP;0.001453761;0.90051998;;;;
NAP;0.000912669;1.234237026;;;;
NAP;0.001104823;0.69360959;;;;
NAP;0.001097181;1.240609399;;;;
NAP;0.001145174;1.370299086;;;;
NAP;0.000935696;1.138754457;;;;
NAP;0.000932179;1.425061371;;;;
NAP;0.000913985;1.341324603;;;;
NAP;0.00146339;1.434894322;;;;
NAP;0.001129693;0.764365665;;;;
TPL;0.000987958;0.939601472;;;;
NAP;0.001273307;1.10905542;;;;
NAP;0.000924641;1.251943618;;;;
SAP;0.002072089;0.729830281;;;;
SAP;0.001567173;0.79274021;;;;
SAP;0.001561729;0.609476993;;;;
TPL;0.002142506;0.69360959;;;;
SAP;0.001494979;0.79274021;;;;
SAP;0.00107465;0.69360959;;;;
TPL;0.00153121;0.815584379;;;;
NAP;0.00126024;0.69360959;;;;
TPL;0.001502524;1.116592307;;;;
TPL;0.001399696;0.698893434;;;;
TPL;0.001784827;1.062152864;;;;
NAP;0.001520256;1.012086015;;;;
TPL;0.001306311;0.79274021;;;;
NAP;0.00106111;1.113586728;;;;
SPL;0.000947794;0.514576451;;;;
SPL;0.0013107;0.958396827;;;;
SPL;0.000994474;1.10905542;;;;
TPL;0.001177504;0.958396827;;;;
SPL;0.001170168;0.230251853;;;;
SPL;0.001006843;0.365603164;;;;
SPL;0.001591079;0.443820376;;;;
SPL;0.001020464;0.514576452;;;;
SPL;0.001175565;0.994617518;;;;
SPL;0.000922724;0.769170711;;;;
SPL;0.001169445;0.880179615;;;;
SPL;0.00091173;0.579171687;;;;
SPL;0.000921418;1.181187542;;;;
WMT;0.001386723;0.920317871;;;;
WMT;0.002614168;1.07336481;;;;
WMT;0.003508766;0.666611091;;;;
WMT;0.001184565;1.124053444;;;;
WMT;0.002042636;0.769170711;;;;
WMT;0.001051191;1.045836231;;;;
WMT;0.001057892;0.715667758;;;;
WMT;0.001664708;0.69360959;;;;
WMT;0.001059315;0.76917071;;;;
WMT;0.001957273;0.719660575;;;;
WMT;0.001385489;0.638593544;;;;
WMT;0.00348253;1.124053444;;;;
WMT;0.001390162;0.638593544;;;;
WMT;0.002018517;0.875006236;;;;
WMT;0.002625422;0.976728052;;;;
WMT;0.00348253;0.779363688;;;;
WMT;0.001489584;0.939601472;;;;
WMT;0.003506479;1.246927538;;;;
WMT;0.00200886;0.930022282;;;;
WMT;0.001044603;0.859266207;;;;
WMT;0.002038509;1.124053444;;;;
WMT;0.001983931;0.744828304;;;;
WMT;0.000626623;1.062152864;;;;
NAP;0.00175145;1.153169995;;;;
SAP;0.001142915;1.219151926;;;;
SAP;0.002146661;1.167310935;;;;
NAP;0.000925382;0.719660575;;;;
SAP;0.001304091;1.246927538;;;;
SAP;0.000871308;1.137297386;;;;
NAP;0.000912661;0.939601471;;;;
NAP;0.000892354;0.638593544;;;;
TPL;0.000928557;0.638593544;;;;
TPL;0.000939807;0.443820376;;;;
TPL;0.001122544;0.994617518;;;;
SAP;0.001252203;0.930022282;;;;
TPL;0.000894616;0.920317871;;;;
TPL;0.001134941;0.815584379;;;;
TPL;0.001651936;0.69360959;;;;
TPL;0.001303736;0.90051998;;;;
TPL;0.001892198;0.976728052;;;;
TPL;0.000909421;0.815584379;;;;
TPL;0.001146617;0.638593544;;;;
TPL;0.00106245;0.480041067;;;;
TPL;0.001133926;0.547576413;;;;
CPL;0.000954806;1.307316662;;;;
UMW;0.00107875;0.958396827;;;;
UMW;0.001579132;0.90051998;;;;
UMW;0.002027349;1.259404755;;;;
UMW;0.000950233;1.259404755;;;;
UMW;0.000901687;1.318826611;;;;
SAP;0.00119329;1.078118573;;;;
SAP;0.001828436;0.480041067;;;;
NPL;0.000919922;0.443820376;;;;
NPL;0.001037139;0.638593544;;;;
TPL;0.001950636;1.045836231;;;;
TPL;0.001787107;1.137297387;;;;
SPL;0.000971333;0.480041067;;;;
SPL;0.001114055;0.27816376;;;;
SPL;0.002743561;0.79274021;;;;
SPL;0.00272308;1.093748138;;;;
SPL;0.001557949;1.208186041;;;;
SPL;0.001496533;1.35232298;;;;
XER;0.002759016;1.208186041;;;;
XER;0.002133816;0.880179615;;;;
SPL;0.001024907;1.208186041;;;;
NAP;0.00099898;1.307316662;;;;
NAP;0.000869944;1.194809519;;;;
NAP;0.001132712;0.744828303;;;;
TPL;0.002307326;0.837746529;;;;
TPL;0.001483382;0.983935651;;;;
TPL;0.001464383;0.579171687;;;;
NPL;0.002643517;0.480041066;;;;
NPL;0.001526361;0.994617518;;;;
NPL;0.002082801;0.976728052;;;;
NPL;0.00170613;1.029152902;;;;
NPL;0.002108265;1.093748138;;;;
NPL;0.002095243;0.514576451;;;;
NPL;0.001513106;1.33016083;;;;
WMT;0.003506479;1.221325798;;;;
NPL;0.002080414;0.609476993;;;;
NPL;0.001185676;1.234237026;;;;
NPL;0.001693204;0.638593544;;;;
TPL;0.002162041;1.045836231;;;;
NPL;0.002085711;1.208186041;;;;
NPL;0.001832361;1.194809519;;;;
NPL;0.001274023;1.138754457;;;;
NPL;0.001768491;0.837746529;;;;
TPL;0.000932859;1.404995909;;;;
NPL;0.002643517;0.994617518;;;;
NPL;0.001318939;1.099908978;;;;
NPL;0.00349347;0.880179614;;;;
NPL;0.001319198;1.045836231;;;;
NPL;0.00349347;0.609476993;;;;
SAP;0.001140727;0.976728052;;;;
SAP;0.001093416;1.167310935;;;;
SAP;0.001622301;0.815584379;;;;
SAP;0.001843799;1.517979597;;;;
SAP;0.002086368;1.093748138;;;;
SAP;0.001613119;1.116592307;;;;
SAP;0.002124315;0.744828304;;;;
SAP;0.002097781;1.295625445;;;;
SAP;0.002235347;1.124053444;;;;
CPL;0.00138934;0.514576452;;;;
SAP;0.001794787;0.815584379;;;;
SAP;0.002092458;0.27816376;;;;
SAP;0.002377672;0.900519981;;;;
SAP;0.002994652;1.045836231;;;;
SAP;0.002009287;1.234237026;;;;
SAP;0.002885515;0.837746529;;;;
SAP;0.001473576;0.976728052;;;;
SAP;0.00151702;0.92031787;;;;
SAP;0.002630136;1.153169995;;;;
CPL;0.001596519;0.301007928;;;;
CPL;0.001731055;0.90051998;;;;
CPL;0.001595766;0.27816376;;;;
CPL;0.001456746;0.230251853;;;;
CPL;0.002255105;0.76917071;;;;
CPL;0.001612221;0.514576451;;;;
CPL;0.001671628;0.230251853;;;;
CPL;0.000889646;1.194809519;;;;
SPL;0.000865121;1.425061371;;;;
SPL;0.00088345;1.39372427;;;;
CPL;0.000876666;1.240609399;;;;
SPL;0.001175643;1.239339293;;;;
SPL;0.000888746;1.124053444;;;;
SPL;0.000923767;1.271675727;;;;
CPL;0.002728722;1.283747162;;;;
CPL;0.001081563;1.138754457;;;;
SPL;0.000923076;1.138754456;;;;
SPL;0.000876815;1.249439814;;;;
SPL;0.001203631;1.318826611;;;;
SPL;0.001051819;0.994617518;;;;
SPL;0.00121991;0.76917071;;;;
SPL;0.000876957;1.029152902;;;;
CPL;0.000868483;1.124053444;;;;
SPL;0.001805405;1.045836231;;;;
CPL;0.001571699;0.837746529;;;;
SPL;0.000904909;0.719660575;;;;
CPL;0.001871788;0.778688493;;;;
SPL;0.000946816;1.394756066;;;;
XER;0.002614009;1.029152902;;;;
WMT;0.001464372;1.231030209;;;;
WMT;0.000602382;1.491304503;;;;
XER;0.003497816;1.207080491;;;;
WMT;0.002599959;1.138754457;;;;
XER;0.000947376;0.815584379;;;;
XER;0.002629592;0.90051998;;;;
WMT;0.000858734;1.517979597;;;;
WMT;0.002017661;1.444598733;;;;
WMT;0.002040117;1.271675727;;;;
XER;0.001652202;0.815584379;;;;
XER;0.002608313;1.307316662;;;;
WMT;0.002012751;1.167310935;;;;
SAP;0.001387369;1.181187542;;;;
SAP;0.001138777;1.029152902;;;;
SAP;0.000833716;1.167310935;;;;
SAP;0.001806373;0.994617518;;;;
SAP;0.001002255;1.295625445;;;;
SAP;0.001483062;1.434894322;;;;
SAP;0.000932339;1.259404755;;;;
SAP;0.000949568;1.454177922;;;;
SAP;0.001013272;1.389582687;;;;
SAP;0.000899574;1.318826611;;;;
SAP;0.000883846;1.33016083;;;;
SAP;0.000801222;1.425061371;;;;
SAP;0.001111934;0.920317871;;;;
NAP;0.001183613;0.792740211;;;;
NAP;0.001190453;1.029152902;;;;
NAP;0.000956243;1.012086015;;;;
NAP;0.001709906;1.454177922;;;;
NAP;0.002056965;1.271675727;;;;
NAP;0.000872211;1.295625445;;;;
NAP;0.000960943;0.994617518;;;;
NAP;0.002028504;1.045836231;;;;
NAP;0.002052569;0.976728052;;;;
NAP;0.000944302;1.042292659;;;;
NAP;0.00098356;0.69360959;;;;
NAP;0.000878155;0.666611092;;;;
NAP;0.00089623;0.696256213;;;;
NAP;0.001254733;0.563542123;;;;
NAP;0.000909436;0.837746529;;;;
NAP;0.001297912;0.672089912;;;;
WMT;0.00348253;0.79274021;;;;
WMT;0.00348253;1.271675727;;;;
WMT;0.001400011;1.124053444;;;;
XER;0.003483456;1.010357547;;;;
WMT;0.002588165;0.443820376;;;;
WMT;0.002593715;0.744828304;;;;
XER;0.001188591;0.90051998;;;;
WMT;0.002584555;0.709349619;;;;
UMW;0.00098601;0.859266207;;;;
UMW;0.001134827;0.618332488;;;;
UMW;0.001621486;0.609476993;;;;
UMW;0.001447945;0.837746529;;;;
UMW;0.000873178;1.065373593;;;;
UMW;0.000911986;0.98572667;;;;
UMW;0.001073006;0.931948034;;;;
UMW;0.000923744;0.92031787;;;;
TPL;0.001221176;0.773944855;;;;
UMW;0.000888965;0.480041067;;;;
UMW;0.001268787;1.012086015;;;;
UMW;0.001675405;1.078118573;;;;
UMW;0.00123437;0.808804634;;;;
UMW;0.001363283;0.837746529;;;;
UMW;0.001298312;0.880179614;;;;
UMW;0.000894162;1.062152864;;;;
SAP;0.001479229;1.062152864;;;;
SAP;0.001765056;1.078118574;;;;
SAP;0.001893556;1.167310935;;;;
SAP;0.001272442;1.045836231;;;;
SAP;0.001200574;1.029152903;;;;
SAP;0.00092216;1.167310935;;;;
SAP;0.001340577;0.976728052;;;;
SAP;0.001204915;1.167310935;;;;
SAP;0.001240116;1.221325798;;;;
SAP;0.001116614;1.234237026;;;;
SAP;0.001557537;1.35232298;;;;
XER;0.001502467;1.283747161;;;;
NPL;0.001330502;1.029152903;;;;
SPL;0.001019367;1.10905542;;;;
NPL;0.002110423;1.029152902;;;;
XER;0.001293077;0.744828303;;;;
NPL;0.001461047;0.92031787;;;;
SAP;0.001602398;0.40574142;;;;
SAP;0.000550188;1.045836231;;;;
SAP;0.000548573;1.138754457;;;;
SAP;0.000922259;0.719660575;;;;
SAP;0.001932818;1.10905542;;;;
SAP;0.000528757;1.012086015;;;;
SAP;0.001019466;0.837746529;;;;
SAP;0.001087869;1.029152902;;;;
SAP;0.00049373;0.837746529;;;;
CPL;0.001014916;0.90051998;;;;
SAP;0.000934991;1.078118573;;;;
SAP;0.000505002;1.194809519;;;;
CPL;0.000517107;0.92031787;;;;
CPL;0.000739807;0.859266207;;;;
SAP;0.001029588;0.994617518;;;;
CPL;0.000770817;0.920317871;;;;
CPL;0.00123467;0.958396827;;;;
CPL;0.000564045;1.029152902;;;;
SAP;0.000979531;1.194809519;;;;
CPL;0.000724794;1.029152902;;;;
CPL;0.001213216;0.79274021;;;;
CPL;0.000635665;1.124053444;;;;
CPL;0.000522789;0.939601472;;;;
SAP;0.000620912;1.062152864;;;;
CPL;0.000511743;0.994617518;;;;
CPL;0.000777785;1.109055421;;;;
CPL;0.000584552;0.939601471;;;;
CPL;0.000791448;0.92031787;;;;
SAP;0.000668705;0.90051998;;;;
SAP;0.000681499;1.093748138;;;;
CPL;0.001193858;1.167310935;;;;
CPL;0.001197693;0.92031787;;;;
SAP;0.000650393;0.579171687;;;;
CPL;0.001345491;0.719660575;;;;
SAP;0.001102655;0.90051998;;;;
SAP;0.0007187;1.373842658;;;;
CPL;0.00110208;1.029152902;;;;
CPL;0.001139991;0.815584379;;;;
SAP;0.000700292;1.138754457;;;;
CPL;0.000796672;0.958396827;;;;
CPL;0.001192132;0.880179615;;;;
CPL;0.001299076;1.153169995;;;;
CPL;0.0014348;0.976728052;;;;
SAP;0.000564662;0.301007928;;;;
SAP;0.000724037;0.547576413;;;;
CPL;0.000804471;0.69360959;;;;
CPL;0.001359822;0.837746529;;;;
SAP;0.000528899;1.259404755;;;;
CPL;0.001349174;1.029152902;;;;
CPL;0.001292616;0.976728052;;;;
SAP;0.000547239;0.719660575;;;;
CPL;0.001153096;0.609476993;;;;
CPL;0.001461644;0.69360959;;;;
SAP;0.000755468;0.920317871;;;;
SAP;0.000942673;0.976728052;;;;
SAP;0.000775235;0.747298778;;;;
SAP;0.00057619;1.384373003;;;;
SAP;0.002070716;0.79274021;;;;
SAP;0.000557678;0.547576413;;;;
CPL;0.00053565;1.138754457;;;;
CPL;0.000681611;0.859266207;;;;
CPL;0.000975174;0.393926153;;;;
CPL;0.000616243;0.958396827;;;;
SAP;0.000504757;0.837746529;;;;
SAP;0.00067815;0.815584379;;;;
SAP;0.000690046;1.194809519;;;;
SAP;0.000900177;0.547576413;;;;
CPL;0.00091609;0.514576451;;;;
CPL;0.000814047;1.143590805;;;;
SAP;0.000524722;1.153169995;;;;
SAP;0.000825135;1.48219547;;;;
CPL;0.000543733;1.029152902;;;;
CPL;0.000685316;0.815584379;;;;
SAP;0.000702845;1.384373003;;;;
SAP;0.000673156;0.859266207;;;;
SAP;0.001176858;1.208186041;;;;
CPL;0.001186123;0.179033139;;;;
SAP;0.000685178;1.181187542;;;;
CPL;0.00079342;1.062152864;;;;
SAP;0.001543221;1.051997071;;;;
SAP;0.000547996;1.234237026;;;;
SAP;0.000535412;0.680233068;;;;
CPL;0.000535869;0.95093569;;;;
SAP;0.000538895;0.920317871;;;;
SAP;0.000529558;0.92031787;;;;
SAP;0.001568086;0.609476993;;;;
CPL;0.00118338;0.480041066;;;;
SAP;0.000549302;0.90051998;;;;
CPL;0.000535967;0.939601472;;;;
SAP;0.001178909;1.104714023;;;;
XER;0.00153848;0.90051998;;;;
WMT;0.002078021;1.029152902;;;;
XER;0.001485185;1.317683614;;;;
XER;0.000903483;0.769170711;;;;
XER;0.00207125;0.958396827;;;;
XER;0.000871509;0.939601472;;;;
XER;0.000948224;1.221325798;;;;
XER;0.001125886;1.029152903;;;;
XER;0.002101363;0.939601471;;;;
XER;0.002069356;0.769170711;;;;
XER;0.00207125;1.10905542;;;;
XER;0.000892972;0.90051998;;;;
XER;0.002094838;0.609476993;;;;
XER;0.000887379;1.029152903;;;;
WMT;0.002078021;0.960250454;;;;
WMT;0.001502701;1.261052651;;;;
XER;0.001105647;1.234237026;;;;
WMT;0.001492284;1.367451999;;;;
WMT;0.002091948;0.792740211;;;;
XER;0.002063873;1.208186041;;;;
WMT;0.00147441;0.880179615;;;;
WMT;0.002091948;1.045836231;;;;
WMT;0.002091948;1.078118574;;;;
XER;0.002091948;1.394756066;;;;
XER;0.002063873;1.153169995;;;;
WMT;0.002091948;0.815584379;;;;
WMT;0.002091948;1.208186041;;;;
XER;0.001119823;1.248184739;;;;
WMT;0.001490827;0.443820376;;;;
SPL;0.002160654;1.246927538;;;;
SPL;0.000913447;0.547576413;;;;
SPL;0.000970677;0.90051998;;;;
SPL;0.000775466;0.815584379;;;;
SPL;0.000586556;0.79274021;;;;
XER;0.000968995;0.792740211;;;;
SPL;0.000591013;0.792740211;;;;
XER;0.001576333;0.514576452;;;;
WMT;0.000728067;0.815584379;;;;
SPL;0.000685358;0.958396827;;;;
XER;0.000940353;0.815584379;;;;
WMT;0.001498672;1.012086015;;;;
XER;0.000724113;0.744828304;;;;
WMT;0.001172147;0.90051998;;;;
WMT;0.00073819;0.837746529;;;;
SPL;0.000604384;0.930022282;;;;
WMT;0.001501678;0.792740211;;;;
XER;0.00147611;0.443820376;;;;
SPL;0.000561338;0.90051998;;;;
WMT;0.001138354;1.10905542;;;;
XER;0.002078021;1.124053444;;;;
WMT;0.002119141;0.962099463;;;;
WMT;0.001503799;1.045836231;;;;
SPL;0.001568526;1.153169995;;;;
SPL;0.00149125;0.579171687;;;;
NAP;0.000543845;1.078118574;;;;
NAP;0.000888233;1.208186041;;;;
NAP;0.000574466;1.269237705;;;;
NAP;0.000508036;0.994617518;;;;
NAP;0.000591232;1.029152902;;;;
NAP;0.000769699;1.022373158;;;;
NAP;0.000599665;1.078118574;;;;
NAP;0.000537743;1.394756066;;;;
NAP;0.000662958;1.124053444;;;;
NAP;0.000530851;1.221325798;;;;
NAP;0.000524137;1.10905542;;;;
NAP;0.00052144;1.124053444;;;;
NAP;0.000539131;1.062152864;;;;
NAP;0.000670945;0.837746529;;;;
SAP;0.00072282;1.109055421;;;;
CPL;0.000484698;0.958396827;;;;
SAP;0.000497423;1.167310935;;;;
CPL;0.000773836;1.045836231;;;;
CPL;0.000741509;0.90051998;;;;
CPL;0.001492228;0.90051998;;;;
CPL;0.000644096;1.295625445;;;;
CPL;0.00060888;1.194809519;;;;
CPL;0.000511171;1.221325798;;;;
CPL;0.000480747;1.181187542;;;;
CPL;0.000651392;1.295625445;;;;
CPL;0.001476863;1.208186041;;;;
CPL;0.00052383;0.94905863;;;;
CPL;0.001109459;1.404995909;;;;
CPL;0.000522845;0.880179615;;;;
CPL;0.000516315;1.138754457;;;;
CPL;0.002070175;0.230251853;;;;
CPL;0.001129276;1.194809519;;;;
CPL;0.002065728;1.307316662;;;;
CPL;0.002884105;1.029152902;;;;
SAP;0.000684824;0.880179615;;;;
CPL;0.000478137;1.33016083;;;;
CPL;0.00052018;1.283747162;;;;
CPL;0.000513105;0.908502604;;;;
CPL;0.00103119;0.958396827;;;;
CPL;0.000530205;0.958396827;;;;
CPL;0.000520736;0.994617518;;;;
CPL;0.000644871;0.837746529;;;;
CPL;0.000849849;1.221325798;;;;
SAP;0.000617522;1.194809519;;;;
CPL;0.000855029;1.124053444;;;;
CPL;0.000516934;1.221325798;;;;
CPL;0.001168874;1.08284209;;;;
SAP;0.000705757;1.045836231;;;;
CPL;0.000966904;1.062152864;;;;
SAP;0.000513114;0.958396827;;;;
SAP;0.000667982;1.078118573;;;;
SAP;0.000599611;1.181187542;;;;
SAP;0.000670246;1.012086015;;;;
CPL;0.000645601;1.271675727;;;;
SAP;0.00054434;0.939601471;;;;
SAP;0.00050792;1.318826611;;;;
SAP;0.000688328;1.194809519;;;;
SAP;0.000598051;0.76917071;;;;
TPL;0.000599204;1.029152902;;;;
TPL;0.001190856;0.815584379;;;;
TPL;0.000738085;0.40574142;;;;
TPL;0.000517519;1.012086015;;;;
TPL;0.000717974;0.666611091;;;;
TPL;0.000769094;0.638593544;;;;
UMW;0.001135619;0.179033139;;;;
TPL;0.000652179;0.579171687;;;;
TPL;0.000908118;0.980340599;;;;
UMW;0.001024596;1.029152902;;;;
TPL;0.000655071;0.609476993;;;;
TPL;0.001020232;0.480041067;;;;
UMW;0.000494908;0.90051998;;;;
TPL;0.000673296;0.365603164;;;;
TPL;0.000965587;0.920317871;;;;
UMW;0.000776569;0.719660575;;;;
TPL;0.000563269;0.365603164;;;;
TPL;0.000780154;0.405741419;;;;
TPL;0.001288461;0.638593544;;;;
TPL;0.00095612;0.706749347;;;;
UMW;0.000951262;1.062152864;;;;
TPL;0.002160654;0.92031787;;;;
TPL;0.001596189;1.062152864;;;;
XER;0.001481014;1.194809519;;;;
WMT;0.000717538;1.012086015;;;;
WMT;0.001117016;0.815584379;;;;
WMT;0.000636833;1.153169995;;;;
XER;0.001498138;1.194809519;;;;
WMT;0.001131798;1.129968829;;;;
WMT;0.000888298;0.994617518;;;;
XER;0.000871062;1.062152864;;;;
WMT;0.000560508;0.90051998;;;;
TPL;0.000545188;0.861384259;;;;
TPL;0.000549212;0.744828304;;;;
TPL;0.000614133;0.666611091;;;;
TPL;0.000571347;0.514576452;;;;
TPL;0.000752216;0.958396827;;;;
TPL;0.002090269;0.514576451;;;;
TPL;0.000686511;0.920317871;;;;
TPL;0.000527875;0.815584379;;;;
CPL;0.000538482;0.443820376;;;;
TPL;0.001160536;0.976728052;;;;
TPL;0.000576487;1.093748138;;;;
TPL;0.001201217;1.055203887;;;;
TPL;0.000586848;0.579171687;;;;
UMW;0.00080739;0.744828304;;;;
TPL;0.000747843;0.638593544;;;;
TPL;0.002163674;0.719660575;;;;
TPL;0.000647252;0.837746529;;;;
TPL;0.002160654;0.323170078;;;;
TPL;0.001068718;0.880179615;;;;
TPL;0.000595119;0.579171687;;;;
TPL;0.000637297;0.579171687;;;;
TPL;0.000634746;0.769170711;;;;
UMW;0.000913094;0.844268184;;;;
TPL;0.002160654;0.323170078;;;;
TPL;0.000713288;0.958396827;;;;
TPL;0.001398167;0.769170711;;;;
TPL;0.000539656;0.744828304;;;;
SPL;0.000647368;1.109055421;;;;
SPL;0.000544457;1.124053444;;;;
TPL;0.000567441;0.815584379;;;;
TPL;0.000591147;0.744828303;;;;
SPL;0.000729994;0.90051998;;;;
SPL;0.000597638;0.719660575;;;;
SPL;0.001503439;0.744828304;;;;
TPL;0.000573075;0.609476993;;;;
SPL;0.000877857;0.769170711;;;;
SPL;0.000807967;0.769170711;;;;
TPL;0.001096363;1.093748138;;;;
SPL;0.000519745;1.153169995;;;;
TPL;0.000687527;0.920317871;;;;
TPL;0.000565355;0.837746529;;;;
SPL;0.000777722;0.939601472;;;;
SPL;0.000561959;0.514576452;;;;
SPL;0.000652943;1.078118574;;;;
TPL;0.000522646;0.792740211;;;;
TPL;0.000527081;0.880179615;;;;
TPL;0.000674444;0.859266207;;;;
SPL;0.000680489;0.880179615;;;;
SPL;0.002102178;1.33016083;;;;
SPL;0.000587262;1.138754457;;;;
TPL;0.000528992;0.69360959;;;;
SPL;0.000626827;0.939601472;;;;
SPL;0.00076279;0.79274021;;;;
TPL;0.000776234;0.880179615;;;;
SAP;0.00067955;0.92031787;;;;
SAP;0.001445797;0.859266206;;;;
SAP;0.000569358;0.976728052;;;;
SAP;0.001029755;1.124053444;;;;
SAP;0.00080742;1.062152864;;;;
SAP;0.000592315;1.295625445;;;;
SAP;0.000547095;1.029152903;;;;
SAP;0.001219942;0.920317871;;;;
SAP;0.001053868;1.012086015;;;;
SAP;0.000767469;1.062152864;;;;
SAP;0.001537147;0.815584379;;;;
SAP;0.001247453;0.76917071;;;;
SAP;0.001774639;0.79274021;;;;
TPL;0.000991372;1.109055421;;;;
SAP;0.001034757;0.69360959;;;;
SAP;0.001073285;0.976728052;;;;
SAP;0.001585405;0.880179614;;;;
SAP;0.001446486;0.769170711;;;;
SAP;0.00107253;0.69360959;;;;
SAP;0.002048043;0.69360959;;;;
CPL;0.002074468;0.064595236;;;;
SAP;0.001050556;0.994617518;;;;
SAP;0.001745061;1.145997215;;;;
SAP;0.001198056;1.153169995;;;;
SAP;0.001530707;1.181187542;;;;
SAP;0.000718011;1.283747162;;;;
TPL;0.00157787;1.181187542;;;;
SAP;0.000575046;0.958396827;;;;
TPL;0.000546273;0.744828304;;;;
CPL;0.00059715;0.480041066;;;;
CPL;0.000647191;0.92031787;;;;
CPL;0.00103344;0.837746529;;;;
CPL;0.001744873;0.744828304;;;;
CPL;0.000992535;0.323170078;;;;
CPL;0.001250425;0.958396827;;;;
CPL;0.000492726;0.994617518;;;;
CPL;0.000744611;0.638593544;;;;
CPL;0.000770667;1.194809519;;;;
CPL;0.000617415;1.221325798;;;;
CPL;0.000729159;0.514576451;;;;
CPL;0.0005202;1.062152864;;;;
CPL;0.0006579;1.221325798;;;;
CPL;0.002102178;0.994617518;;;;
CPL;0.000532508;0.514576451;;;;
CPL;0.000740669;0.939601471;;;;
CPL;0.000816731;0.79274021;;;;
CPL;0.000524127;0.69360959;;;;
CPL;0.000592479;0.744828303;;;;
NAP;0.000512724;0.40574142;;;;
NAP;0.000531053;1.221325798;;;;
NAP;0.000558914;0.90051998;;;;
NAP;0.00055669;0.769170711;;;;
NAP;0.001559432;0.908502604;;;;
NAP;0.000566113;1.221325798;;;;
NAP;0.000565518;0.609476993;;;;
NAP;0.000499876;1.029152902;;;;
NAP;0.000665538;0.920317871;;;;
NAP;0.00058964;0.579171687;;;;
CPL;0.000539843;0.859266207;;;;
SAP;0.00075786;0.769170711;;;;
SAP;0.000625545;1.012086015;;;;
SAP;0.000669295;1.124053444;;;;
SAP;0.000774568;1.029152903;;;;
SAP;0.00057268;0.958396827;;;;
CPL;0.000888226;0.859266207;;;;
SAP;0.000795917;1.045836231;;;;
SAP;0.001164657;0.976728052;;;;
CPL;0.000560857;0.880179614;;;;
SAP;0.001001714;1.221325798;;;;
SAP;0.002106099;0.480041067;;;;
CPL;0.001208106;1.045836231;;;;
UMW;0.000616535;0.859266207;;;;
UMW;0.000537499;1.153169995;;;;
UMW;0.000545641;1.153169995;;;;
UMW;0.0005577;0.920317871;;;;
UMW;0.000563162;1.093748138;;;;
UMW;0.000537872;1.181187542;;;;
UMW;0.000757986;0.976728052;;;;
UMW;0.000564372;0.744828303;;;;
UMW;0.000670237;0.880179615;;;;
UMW;0.000633983;0.744828304;;;;
UMW;0.000574505;0.90051998;;;;
UMW;0.001067926;1.124053444;;;;
UMW;0.000603259;1.259404755;;;;
TPL;0.000718565;0.323170078;;;;
TPL;0.000596296;0.365603164;;;;
UMW;0.000843471;0.95093569;;;;
UMW;0.00052514;0.880179615;;;;
UMW;0.000663738;1.121077981;;;;
UMW;0.001130328;0.815584379;;;;
UMW;0.000939833;1.078118574;;;;
UMW;0.002090269;0.76917071;;;;
UMW;0.001502221;0.976728052;;;;
UMW;0.00059234;1.029152902;;;;
UMW;0.000800917;0.815584379;;;;
TPL;0.002069424;0.064595236;;;;
UMW;0.001549639;0.480041066;;;;
UMW;0.000688462;0.547576413;;;;
UMW;0.00094703;0.863496286;;;;
