Ecoregions;Fish_RichnessDiff;SumNat_PFC;Habitat_Heterogeneity;Pred_RichnessDiff_Fish;lower_RichnessDiff_Fish;upperr_RichnessDiff_fish
TPL;0.000906907;0.666611091;0.829;-9.81657108;-10.11508503;-9.518057129
TPL;0.000941541;0.323170078;0.831;-9.817173517;-10.11567822;-9.518668818
TPL;0.001301087;0;0.833;-9.817775954;-10.11627153;-9.519280381
UMW;0.000902558;0.443820376;0.836;-9.818679609;-10.11716173;-9.52019749
TPL;0.000906972;0.405741419;0.838;-9.819282046;-10.11775535;-9.520808738
TPL;0.000961268;0.638593544;0.84;-9.819884483;-10.11834911;-9.52141986
UMW;0.00090873;0.79274021;0.842;-9.82048692;-10.11894298;-9.522030856
TPL;0.000936101;0.976728052;0.843;-9.820788138;-10.11923997;-9.522336307
TPL;0.0010531;0.323170078;0.844;-9.821089357;-10.11953699;-9.522641726
TPL;0.001034448;0.547576413;0.846;-9.821691793;-10.12013112;-9.523252469
TPL;0.002676893;0.480041067;0.851;-9.823197886;-10.121617;-9.524778776
TPL;0.00095942;0.514576451;0.856;-9.824703978;-10.12310366;-9.526304294
UMW;0.001271053;0.609476993;0.857;-9.825005196;-10.12340109;-9.526609303
TPL;0.000959805;0.27816376;0.859;-9.825607633;-10.12399604;-9.527219227
TPL;0.003522484;1.10905542;0.861;-9.82621007;-10.12459112;-9.527829024
TPL;0.001162067;0.920317871;0.863;-9.826812507;-10.12518632;-9.528438695
UMW;0.000948161;0.69360959;0.866;-9.827716162;-10.12607936;-9.529352964
TPL;0.000929157;0.480041067;0.87;-9.828921036;-10.12727052;-9.530571548
WMT;0.003485841;1.062152864;0.875;-9.830427128;-10.12876019;-9.532094068
WMT;0.003469523;1.194809519;0.877;-9.831029565;-10.12935628;-9.532702855
XER;0.002024516;1.194809519;0.88;-9.831933221;-10.13025064;-9.533615799
XER;0.002023919;0.939601472;0.882;-9.832535657;-10.13084705;-9.53422427
XER;0.002013657;1.045836231;0.886;-9.833740531;-10.13204023;-9.535440833
XER;0.003474971;1.045836231;0.888;-9.834342968;-10.13263701;-9.536048925
SAP;0.001033508;1.177051727;0.89;-9.834945405;-10.13323392;-9.536656891
TPL;0.000893756;0.323170078;0.893;-9.83584906;-10.13412952;-9.537568603
TPL;0.001158477;0.815584379;0.894;-9.836150279;-10.13442811;-9.537872444
TPL;0.001022322;0.644282283;0.901;-9.838258808;-10.13651917;-9.539998444
TPL;0.000988053;0.514576452;0.903;-9.838861245;-10.1371169;-9.540605589
TPL;0.001118754;0.976728052;0.909;-9.840668555;-10.13891085;-9.542426264
TPL;0.001300923;0.994617518;0.913;-9.841873429;-10.14010744;-9.543639415
TPL;0.001350438;0.976728052;0.914;-9.842174648;-10.14040667;-9.543942624
TPL;0.001243744;1.045836231;0.918;-9.843379521;-10.1416039;-9.545155143
TPL;0.001434291;0.69360959;0.92;-9.843981958;-10.1422027;-9.545761212
TPL;0.001049277;0.90051998;0.922;-9.844584395;-10.14280163;-9.546367156
UMW;0.000628684;0.69360959;0.924;-9.845186832;-10.14340069;-9.546972973
TPL;0.001804001;0.666611091;0.93;-9.846994143;-10.14519862;-9.548789665
SAP;0.001432662;0.547576413;0.932;-9.84759658;-10.14579818;-9.549394976
UMW;0.001372497;0.579171687;0.934;-9.848199017;-10.14639787;-9.550000161
TPL;0.001733085;0.69360959;0.939;-9.849705109;-10.14789765;-9.551512569
UMW;0.001138149;1.181187542;0.94;-9.850006327;-10.1481977;-9.551814956
UMW;0.001908662;0.880179615;0.942;-9.850608764;-10.14879789;-9.552419635
SAP;0.001094045;0.79274021;0.943;-9.850909983;-10.14909804;-9.552721927
UMW;0.001682604;0.666611091;0.945;-9.851512419;-10.14969842;-9.553326416
TPL;0.001309288;0.064595236;0.946;-9.851813638;-10.14999866;-9.553628613
TPL;0.001372756;0.90051998;0.947;-9.852114856;-10.15029893;-9.553930779
TPL;0.001644143;0.76917071;0.949;-9.852717293;-10.15089957;-9.554535015
UMW;0.001078638;0.994617518;0.951;-9.85331973;-10.15150034;-9.555139124
TPL;0.002177706;0.666611091;0.954;-9.854223385;-10.15240172;-9.556045052
UMW;0.001533415;0.815584379;0.957;-9.855127041;-10.15330339;-9.556950694
TPL;0.001860869;0.579171687;0.958;-9.855428259;-10.15360401;-9.557252512
UMW;0.001885835;0.719660575;0.96;-9.856030696;-10.15420534;-9.557856052
SPL;0.001006718;0.792740211;0.962;-9.856633133;-10.1548068;-9.558459466
SPL;0.000903988;0.958396827;0.966;-9.857838007;-10.1560101;-9.559665914
TPL;0.001310076;0.69360959;0.969;-9.858741662;-10.15691291;-9.560570419
SPL;0.001117727;1.208186041;0.971;-9.859344099;-10.15751493;-9.561173263
SPL;0.000902605;1.181187542;0.975;-9.860548973;-10.15871937;-9.562378573
TPL;0.001238717;0.994617518;0.977;-9.86115141;-10.15932178;-9.562981038
TPL;0.000989477;0.69360959;0.979;-9.861753847;-10.15992432;-9.563583377
SPL;0.000909452;0.958396827;0.98;-9.862055065;-10.16022563;-9.563884499
SPL;0.000886402;0.976728052;0.981;-9.862356283;-10.16052698;-9.564185589
SPL;0.000913891;1.109055421;0.982;-9.862657502;-10.16082836;-9.564486647
SPL;0.001735813;1.208186041;0.983;-9.86295872;-10.16112977;-9.564787674
SPL;0.001191401;1.078118574;0.984;-9.863259939;-10.16143121;-9.56508867
TPL;0.001212431;1.078118573;0.986;-9.863862376;-10.16203419;-9.565690566
SPL;0.000896501;0.958396827;0.988;-9.864464813;-10.16263729;-9.566292335
SPL;0.001317806;0.994617518;0.991;-9.865368468;-10.16354218;-9.567194752
TPL;0.001129966;1.109055421;0.995;-9.866573342;-10.16474915;-9.568397532
CPL;0.001964318;0.976728052;0.996;-9.86687456;-10.16505097;-9.568698147
CPL;0.001327194;0.92031787;0.998;-9.867476997;-10.16565471;-9.569299284
CPL;0.001189695;1.045836232;1.002;-9.868681871;-10.16686256;-9.570501178
CPL;0.001141522;1.35232298;1.005;-9.869585526;-10.16776879;-9.571402267
CPL;0.001654071;1.124053444;1.007;-9.870187963;-10.16837309;-9.572002835
CPL;0.000921364;1.318826611;1.01;-9.871091618;-10.16927979;-9.572903449
CPL;0.00195099;1.153169995;1.012;-9.871694055;-10.16988441;-9.5735037
CPL;0.001442142;0.179033139;1.014;-9.872296492;-10.17048916;-9.574103825
CPL;0.000945471;1.045836231;1.017;-9.873200147;-10.17139652;-9.575003776
CPL;0.001071637;0.920317871;1.019;-9.873802584;-10.17200158;-9.575603584
CPL;0.00089697;1.221325798;1.022;-9.87470624;-10.17290942;-9.576503061
CPL;0.000962712;0.769170711;1.027;-9.876212332;-10.17442311;-9.578001555
CPL;0.000881537;0.514576451;1.029;-9.876814769;-10.17502881;-9.578600731
CPL;0.001137147;1.078118574;1.031;-9.877417206;-10.17563463;-9.579199781
CPL;0.001331528;0.514576451;1.039;-9.879826953;-10.17805919;-9.581594717
CPL;0.002282766;0.40574142;1.042;-9.880730609;-10.17896892;-9.582492296
CPL;0.000965788;0.547576413;1.043;-9.881031827;-10.17927223;-9.582791426
CPL;0.001906627;0.65871339;1.044;-9.881333045;-10.17957557;-9.583090525
CPL;0.000863453;0.578741946;1.046;-9.881935482;-10.18018234;-9.583688626
CPL;0.001314376;0.638593544;1.047;-9.882236701;-10.18048577;-9.58398763
CPL;0.001675079;0.833366711;1.049;-9.882839138;-10.18109273;-9.584585542
CPL;0.001073363;0.719660575;1.051;-9.883441575;-10.18169982;-9.585183328
CPL;0.002110092;0.547576413;1.052;-9.883742793;-10.18200341;-9.585482173
CPL;0.001902391;0.323170078;1.053;-9.884044011;-10.18230704;-9.585780987
CPL;0.000967779;0.443820376;1.055;-9.884646448;-10.18291438;-9.58637852
CPL;0.000909548;0.480041067;1.059;-9.885851322;-10.18412944;-9.587573207
CPL;0.000952793;0.76917071;1.061;-9.886453759;-10.18473716;-9.588170361
CPL;0.001939567;0.547576413;1.062;-9.886754977;-10.18504106;-9.588468891
CPL;0.001867718;0.393926153;1.065;-9.887658633;-10.18595298;-9.58936429
CPL;0.000964257;0.880179615;1.068;-9.888562288;-10.18686517;-9.590259405
CPL;0.001849424;0.547576413;1.069;-9.888863507;-10.1871693;-9.590557713
NAP;0.002047362;1.211126151;1.07;-9.889164725;-10.18747346;-9.59085599
NAP;0.000845328;0.976728052;1.073;-9.89006838;-10.18838613;-9.591750631
NAP;0.000974739;1.124053444;1.074;-9.890369599;-10.18869042;-9.592048782
NAP;0.000839694;1.138754457;1.075;-9.890670817;-10.18899473;-9.592346901
NAP;0.000834783;0.958396827;1.077;-9.891273254;-10.18960346;-9.592943044
NAP;0.000872351;1.124053444;1.078;-9.891574473;-10.18990788;-9.593241068
NAP;0.000844669;0.939601472;1.079;-9.891875691;-10.19021232;-9.593539061
NAP;0.000870878;1.062152864;1.08;-9.892176909;-10.1905168;-9.593837022
CPL;0.000849489;0.859266207;1.083;-9.893080565;-10.19143041;-9.594730716
