Ecoregions;Insect_RichnessDiff;SumNat_PFC;Habitat_Heterogeneity;Pred_RichnessDiff_Insect;lower_RichnessDiff_Insect;upperr_RichnessDiff_Insect
NPL;0.000469479;1.247733705;1.447;-10.51769114;-10.80538698;-10.2299953
WMT;0.000475856;1.282725539;1.454;-10.52098134;-10.80884905;-10.23311363
WMT;0.000986692;1.211001127;1.456;-10.5219214;-10.80983865;-10.23400414
SAP;0.001069292;0.854814692;1.463;-10.5252116;-10.81330382;-10.23711938
NPL;0.000404549;1.072533273;1.465;-10.52615166;-10.81429431;-10.238009
UMW;0.003112686;0.715932301;1.475;-10.53085194;-10.8192497;-10.24245419
SAP;0.000457609;1.103309848;1.484;-10.5350822;-10.82371373;-10.24645067
NAP;0.000364051;1.147195883;1.493;-10.53931246;-10.82818172;-10.2504432
NAP;0.000805379;1.072533273;1.494;-10.53978249;-10.82867841;-10.25088657
NAP;0.000526677;1.300543977;1.501;-10.54307269;-10.83215658;-10.2539888
WMT;0.000456185;1.288913328;1.51;-10.54730295;-10.83663201;-10.25797389
WMT;0.000517496;0.989464802;1.514;-10.54918306;-10.83862235;-10.25974377
NAP;0.000377941;1.300543977;1.519;-10.55153321;-10.84111137;-10.26195505
TPL;0.000601737;0.663157646;;;;
UMW;0.001299631;0.690016276;;;;
NAP;0.000483653;1.300543977;;;;
SAP;0.001290617;1.175068282;;;;
SAP;0.000484753;1.175068282;;;;
UMW;0.000454178;1.088081867;;;;
SAP;0.001062509;1.311994299;;;;
WMT;0.001013735;1.345317136;;;;
TPL;0.001639591;1.407765383;;;;
WMT;0.000410862;1.387530393;;;;
SAP;0.001605573;1.188619689;;;;
SAP;0.000818874;1.214998598;;;;
SAP;0.000884949;1.006842803;;;;
UMW;0.000347;0.859022857;;;;
UMW;0.000659328;1.214998598;;;;
SAP;0.000823335;1.323269799;;;;
WMT;0.001603211;1.118230172;;;;
WMT;0.001038089;1.277096581;;;;
TPL;0.001119536;0.635285246;;;;
TPL;0.000780598;0.971668015;;;;
CPL;0.000386695;0.811359163;;;;
WMT;0.000346179;0.895854746;;;;
XER;0.000926652;1.072533273;;;;
WMT;0.000676201;1.240467706;;;;
NAP;0.000939271;0.989464803;;;;
WMT;0.000742568;1.417678699;;;;
TPL;0.000547215;0.477554166;;;;
TPL;0.000775747;0.854814692;;;;
CPL;0.000555241;0.915550072;;;;
CPL;0.000513004;0.765185945;;;;
NAP;0.000865352;1.103309848;;;;
SAP;0.001115356;1.170953893;;;;
NAP;0.000685162;1.397717188;;;;
SAP;0.000751065;1.040418172;;;;
SAP;0.001801818;1.214998598;;;;
NAP;0.000496337;1.040418172;;;;
NAP;0.001358064;1.118230173;;;;
CPL;0.000708469;0.971668015;;;;
SAP;0.000751944;1.023821273;;;;
TPL;0.00038136;1.161263564;;;;
CPL;0.004077045;0.934733772;;;;
WMT;0.001749863;1.240467706;;;;
NAP;0.000905135;0.788633341;;;;
NAP;0.001314513;1.086982044;;;;
CPL;0.000593739;0.989464802;;;;
NAP;0.000650184;1.103309848;;;;
UMW;0.001737663;1.056650275;;;;
TPL;0.001157148;0.915550072;;;;
TPL;0.002304614;1.118230173;;;;
UMW;0.000375033;1.040418172;;;;
UMW;0.00155889;0.971668015;;;;
NAP;0.000796486;1.20082709;;;;
SAP;0.000764565;0.765185945;;;;
WMT;0.000342253;1.416693334;;;;
SAP;0.000768507;0.788633341;;;;
WMT;0.000458703;1.214998598;;;;
CPL;0.000382359;0.833406499;;;;
NPL;0.000362821;0.788633341;;;;
CPL;0.000395732;1.132855026;;;;
NAP;0.00113989;0.953431756;;;;
TPL;0.000605526;1.446644409;;;;
SPL;0.004055386;0.934733772;;;;
SAP;0.001533104;1.023821273;;;;
NAP;0.000596644;1.302464735;;;;
TPL;0.000379803;0.57617123;;;;
TPL;0.003078678;0.788633341;;;;
WMT;0.000330365;1.18051872;;;;
WMT;0.001079249;1.417678699;;;;
TPL;0.001253075;1.175068282;;;;
TPL;0.004098951;1.103309848;;;;
CPL;0.00050654;0.953431757;;;;
SAP;0.000780854;0.44152112;;;;
TPL;0.000737342;0.477554166;;;;
XER;0.000429878;0.663157646;;;;
SAP;0.001947332;1.175068282;;;;
TPL;0.000843924;0.989464802;;;;
UMW;0.000449774;0.544739638;;;;
UMW;0.00065657;0.915550072;;;;
CPL;0.000379864;1.110807689;;;;
CPL;0.004300929;1.110807689;;;;
CPL;0.000958494;0.971668015;;;;
WMT;0.000468723;0.971668015;;;;
NAP;0.001186939;0.989464802;;;;
NAP;0.000874903;0.854814692;;;;
XER;0.000473423;1.265087683;;;;
NAP;0.000574137;1.427460708;;;;
NAP;0.000682898;1.265087683;;;;
WMT;0.001289927;1.311994299;;;;
WMT;0.000728181;0.934733772;;;;
SAP;0.000679213;0.915550072;;;;
SAP;0.000500818;0.953431757;;;;
SAP;0.001317667;0.715932301;;;;
TPL;0.00084143;0.36370912;;;;
TPL;0.002606649;0.064260594;;;;
UMW;0.001338783;0.788633341;;;;
UMW;0.004854585;0.562864007;;;;
XER;0.000518682;1.201926913;;;;
SAP;0.001385521;0.606319536;;;;
SAP;0.00045591;1.147195883;;;;
SAP;0.00159704;1.161263564;;;;
CPL;0.001520053;1.161263564;;;;
SAP;0.000754704;1.006842803;;;;
SPL;0.000448534;1.356098801;;;;
WMT;0.000367843;0.971668015;;;;
WMT;0.000806293;0.740969646;;;;
SAP;0.000570169;1.161263564;;;;
CPL;0.002243647;1.023821273;;;;
CPL;0.000662262;1.288913328;;;;
WMT;0.000326432;0.875619756;;;;
WMT;0.000444823;0.915550072;;;;
WMT;0.00137821;1.357168361;;;;
CPL;0.000848123;0.606319536;;;;
CPL;0.000345469;0.934733772;;;;
SAP;0.00155201;1.175068282;;;;
WMT;0.000854024;0.765185945;;;;
CPL;0.000400833;1.118230172;;;;
WMT;0.001066755;1.334375737;;;;
WMT;0.002064291;1.483578651;;;;
WMT;0.000598391;1.483578651;;;;
CPL;0.001595509;1.090002624;;;;
WMT;0.000481196;1.188619689;;;;
SAP;0.00060684;1.023821273;;;;
SAP;0.000348297;1.056650275;;;;
UMW;0.000319378;0.934733772;;;;
WMT;0.000614151;0.915550072;;;;
CPL;0.001785816;0.875619756;;;;
CPL;0.000415571;1.227842938;;;;
WMT;0.000723031;1.214998598;;;;
SAP;0.000460918;0.765185945;;;;
SAP;0.000762362;0.788633341;;;;
SAP;0.000496531;1.201926913;;;;
TPL;0.002015516;0.064260594;;;;
TPL;0.000555659;1.088081867;;;;
SAP;0.00039807;1.188619689;;;;
SAP;0.000465569;0.875619756;;;;
SAP;0.001133882;0.854814692;;;;
WMT;0.001036879;1.323269799;;;;
WMT;0.00097588;1.227842938;;;;
NAP;0.000402666;1.147195883;;;;
NAP;0.000689886;1.039049255;;;;
SAP;0.000396615;0.971668015;;;;
NAP;0.001479351;1.300543977;;;;
WMT;0.00033371;1.023821273;;;;
WMT;0.000585434;0.989464802;;;;
SAP;0.000295996;1.366725329;;;;
SPL;0.001068048;0.854814692;;;;
CPL;0.000529341;1.006842803;;;;
UMW;0.001294041;0.811359163;;;;
SAP;0.001771405;1.072533273;;;;
WMT;0.000353799;1.300543977;;;;
SAP;0.003462975;1.098990941;;;;
WMT;0.000695869;1.360367778;;;;
NAP;0.000459336;1.446644409;;;;
NAP;0.000948033;1.240467706;;;;
UMW;0.000724104;0.875619757;;;;
UMW;0.000620698;1.056650275;;;;
UMW;0.000578878;1.188619689;;;;
NAP;0.000547655;0.511910636;;;;
SPL;0.000426594;1.040418172;;;;
SPL;0.002130851;0.953431757;;;;
SAP;0.00047947;1.188619689;;;;
UMW;0.000378489;0.811359163;;;;
UMW;0.000482431;1.188619689;;;;
TPL;0.00274478;0.511910636;;;;
CPL;0.00189921;0.985939588;;;;
SAP;0.000468244;1.288913328;;;;
TPL;0.001133958;0.915550072;;;;
SAP;0.001155309;1.161263564;;;;
UMW;0.000441255;1.103309848;;;;
XER;0.001427284;1.456052573;;;;
XER;0.00050561;1.387530393;;;;
XER;0.000532639;1.201926913;;;;
XER;0.000430668;1.277096581;;;;
NAP;0.000951086;1.088081867;;;;
NAP;0.000914924;0.915550072;;;;
XER;0.000439226;1.056650275;;;;
NAP;0.001810181;1.366725329;;;;
SAP;0.000591542;0.953431757;;;;
SAP;0.001515022;1.397717188;;;;
CPL;0.000704778;1.417678699;;;;
XER;0.000533231;0.934733772;;;;
TPL;0.00038596;0.989464802;;;;
SAP;0.000437016;1.023821273;;;;
WMT;0.001038185;1.056650275;;;;
SPL;0.004997272;1.040418172;;;;
TPL;0.000494328;0.57617123;;;;
UMW;0.000856702;1.252880283;;;;
NAP;0.001084867;1.068594432;;;;
TPL;0.000429501;1.022140883;;;;
CPL;0.000322488;1.345317136;;;;
TPL;0.001402201;0.833406499;;;;
TPL;0.000535839;1.214998598;;;;
SAP;0.001675188;0.715932302;;;;
WMT;0.000861756;0.775326117;;;;
WMT;0.001251996;1.006842803;;;;
NAP;0.000438637;0.511910636;;;;
NAP;0.001352102;0.953431756;;;;
CPL;0.000418332;1.288913328;;;;
CPL;0.001058076;1.147195883;;;;
CPL;0.000834305;0.989464802;;;;
XER;0.001645745;1.288913328;;;;
XER;0.000679743;1.366725329;;;;
WMT;0.000517886;1.427460708;;;;
SAP;0.000362684;0.989464802;;;;
SAP;0.000755441;1.161263564;;;;
WMT;0.000676704;0.854814692;;;;
TPL;0.001278551;1.072533273;;;;
CPL;0.000339173;1.056650275;;;;
WMT;0.00131639;1.132855025;;;;
WMT;0.000740362;1.265087683;;;;
NAP;0.000681102;1.483578651;;;;
SAP;0.000698772;1.201926913;;;;
TPL;0.001332574;1.345317136;;;;
WMT;0.000594959;1.311994299;;;;
CPL;0.001788011;1.132855025;;;;
CPL;0.001845405;1.201926913;;;;
SAP;0.001161276;1.345317136;;;;
SAP;0.000909326;1.323269799;;;;
SAP;0.000674178;0.8334065;;;;
WMT;0.000773379;0.44152112;;;;
WMT;0.000740818;0.740969646;;;;
CPL;0.000417932;0.875619756;;;;
CPL;0.000893039;1.006842803;;;;
NAP;0.000577679;0.663157646;;;;
NAP;0.001261409;1.288913328;;;;
UMW;0.00037044;0.715932302;;;;
WMT;0.000479732;1.147195883;;;;
NAP;0.00168957;1.363200115;;;;
NAP;0.001199988;0.790554098;;;;
SAP;0.002239243;0.544739639;;;;
SPL;0.001562632;1.072533273;;;;
SPL;0.000559316;1.006842803;;;;
SAP;0.001717585;1.252880283;;;;
SAP;0.0005416;1.118230172;;;;
UMW;0.000380655;0.915550072;;;;
WMT;0.000354576;1.366725329;;;;
WMT;0.000451061;1.311994299;;;;
NAP;0.000523246;1.227842938;;;;
SAP;0.00073361;1.212835988;;;;
WMT;0.000785226;1.240467706;;;;
WMT;0.000576993;1.088081867;;;;
WMT;0.000440951;0.78863334;;;;
SAP;0.00063487;1.056650275;;;;
SPL;0.000870738;1.201926913;;;;
SAP;0.000414423;0.854814692;;;;
SAP;0.000466385;0.915550072;;;;
SAP;0.000904875;0.854814692;;;;
TPL;0.000608616;1.040418172;;;;
CPL;0.001702964;1.040418172;;;;
WMT;0.000417723;1.288913328;;;;
SAP;0.001155866;1.118230173;;;;
UMW;0.000501967;1.006842803;;;;
SAP;0.000363246;0.788633341;;;;
XER;0.001783732;0.934733772;;;;
CPL;0.000529603;1.288913328;;;;
UMW;0.000391374;1.006842803;;;;
SAP;0.000535488;1.072533273;;;;
XER;0.000653529;1.103309848;;;;
CPL;0.000410905;1.040418172;;;;
SAP;0.000789141;1.132855026;;;;
NAP;0.000990145;1.323269799;;;;
SAP;0.001100536;0.915550072;;;;
XER;0.000474549;1.175068282;;;;
CPL;0.001071471;1.288913328;;;;
SPL;0.000783983;0.788633341;;;;
CPL;0.00100096;1.161263564;;;;
CPL;0.000719307;0.833406499;;;;
UMW;0.000797752;1.288913328;;;;
NAP;0.001367921;1.427460708;;;;
TPL;0.000625392;0.511910637;;;;
TPL;0.001721372;0.635285246;;;;
TPL;0.00081377;1.006842803;;;;
NAP;0.000946996;0.765185945;;;;
SPL;0.001529395;0.875619757;;;;
SPL;0.000515675;0.915550072;;;;
NAP;0.00040361;1.056650275;;;;
NPL;0.000439502;0.971668015;;;;
SAP;0.000732404;0.953431757;;;;
SAP;0.000537782;0.915550072;;;;
SAP;0.001941847;0.934733772;;;;
WMT;0.000415588;1.387530393;;;;
CPL;0.000713332;0.971668015;;;;
SAP;0.000878735;0.765185945;;;;
CPL;0.000643658;1.188619689;;;;
CPL;0.000876598;0.915550072;;;;
CPL;0.000503821;0.953431757;;;;
SAP;0.000433189;0.854814692;;;;
SAP;0.001194166;1.323269799;;;;
TPL;0.000393497;0.740969646;;;;
NAP;0.001583619;0.989464802;;;;
SAP;0.000532989;1.006842803;;;;
NAP;0.000899983;1.252880283;;;;
UMW;0.0006024;0.811359163;;;;
UMW;0.001101014;1.115270125;;;;
UMW;0.000787867;1.427460708;;;;
WMT;0.000522995;1.407765383;;;;
WMT;0.000523092;1.334375737;;;;
UMW;0.000465955;0.854814692;;;;
UMW;0.000569375;1.040418172;;;;
WMT;0.000439024;0.854814692;;;;
CPL;0.000496911;0.934733772;;;;
TPL;0.000372242;0.895854746;;;;
WMT;0.000365567;1.289694429;;;;
CPL;0.000647064;1.288913328;;;;
WMT;0.000597811;1.040418172;;;;
CPL;0.001236633;1.345317136;;;;
CPL;0.000499548;1.188619689;;;;
SAP;0.000518841;0.915550072;;;;
WMT;0.001794144;0.811359163;;;;
TPL;0.000381887;0.811359163;;;;
TPL;0.000468225;0.635285246;;;;
CPL;0.001542344;0.544739639;;;;
CPL;0.000451876;0.663157646;;;;
NAP;0.001148212;0.915550072;;;;
SAP;0.001194296;0.915550072;;;;
NAP;0.000825149;1.366725329;;;;
NAP;0.000889947;0.788633341;;;;
TPL;0.000362813;0.606319536;;;;
UMW;0.000632289;1.214998598;;;;
UMW;0.000824474;1.227842938;;;;
TPL;0.000568929;0.971668015;;;;
TPL;0.000810409;0.740969646;;;;
CPL;0.0008024;0.915550072;;;;
SPL;0.000863067;0.511910636;;;;
NAP;0.000916742;1.265087684;;;;
TPL;0.000519634;0.635285247;;;;
NAP;0.000444411;0.989464802;;;;
XER;0.000657487;1.005123289;;;;
WMT;0.000428772;1.446644409;;;;
NAP;0.001609836;1.188619689;;;;
UMW;0.000608072;0.976157579;;;;
UMW;0.000531736;1.184580312;;;;
WMT;0.001166065;1.214998598;;;;
WMT;0.001527254;1.201926913;;;;
TPL;0.000616787;0.811359163;;;;
TPL;0.000655999;1.356098801;;;;
TPL;0.001151618;0.765185945;;;;
TPL;0.000463156;1.118230173;;;;
NAP;0.001347115;0.915550072;;;;
NAP;0.001826815;0.740969646;;;;
CPL;0.002143319;0.511910636;;;;
WMT;0.000896153;1.214998598;;;;
CPL;0.00143284;0.17810564;;;;
XER;0.000437087;0.765185945;;;;
SAP;0.001313084;1.407765383;;;;
WMT;0.000386568;1.397717188;;;;
NAP;0.00128903;1.147195883;;;;
WMT;0.000812432;0.953431757;;;;
SAP;0.000911509;1.023821273;;;;
WMT;0.000355659;1.323269799;;;;
CPL;0.000460374;0.740969646;;;;
WMT;0.000443943;1.437114845;;;;
SAP;0.000647918;0.544739639;;;;
SAP;0.000376972;0.915550072;;;;
NAP;0.000674112;1.036892958;;;;
NAP;0.001276043;1.056650275;;;;
SAP;0.000380601;1.277096581;;;;
SAP;0.001519853;1.397717188;;;;
TPL;0.001608398;1.006842803;;;;
NAP;0.000425277;0.788633341;;;;
NAP;0.00062483;0.915550072;;;;
WMT;0.000603081;1.311994299;;;;
CPL;0.000450648;1.040418172;;;;
XER;0.000391921;1.265087684;;;;
NAP;0.000812279;1.239214896;;;;
XER;0.000715736;0.934733772;;;;
XER;0.0004446;0.989464802;;;;
WMT;0.000904989;1.056650275;;;;
WMT;0.001158094;1.088081867;;;;
WMT;0.001040456;0.971668015;;;;
WMT;0.000456193;0.606319536;;;;
UMW;0.000391738;1.023821273;;;;
NAP;0.001291623;1.214998598;;;;
SAP;0.000545303;0.743427323;;;;
SAP;0.000519468;0.875619756;;;;
WMT;0.000422606;1.212402705;;;;
UMW;0.000374004;1.056650275;;;;
WMT;0.00038219;1.366725329;;;;
SAP;0.000381228;1.161263564;;;;
SAP;0.000571766;1.072533273;;;;
TPL;0.002266954;0.835575461;;;;
XER;0.00073239;1.147195883;;;;
XER;0.002994323;1.288913328;;;;
SAP;0.000724568;1.188619689;;;;
XER;0.000824469;0.663157646;;;;
XER;0.000830747;1.366725329;;;;
CPL;0.000861437;1.056650275;;;;
CPL;0.000558127;0.875619757;;;;
CPL;0.001118087;1.056650275;;;;
WMT;0.000941363;1.147195883;;;;
NAP;0.000384968;0.811359163;;;;
NAP;0.000739792;0.833406499;;;;
XER;0.000937687;1.265087684;;;;
UMW;0.001132429;1.147195883;;;;
NPL;0.000378439;1.072533273;;;;
CPL;0.000662059;0.875619756;;;;
WMT;0.000591934;1.288913328;;;;
WMT;0.000521593;1.103309848;;;;
NPL;0.000539875;0.17810564;;;;
SPL;0.000410716;0.895854746;;;;
TPL;0.000527994;0.22905901;;;;
TPL;0.000625794;1.023821273;;;;
SAP;0.000906823;1.356098801;;;;
WMT;0.000468351;1.201926913;;;;
WMT;0.000589105;1.388669223;;;;
SPL;0.000501968;0.779343521;;;;
UMW;0.001997326;1.072533273;;;;
SPL;0.000367013;1.188619689;;;;
WMT;0.00059001;1.161263564;;;;
TPL;0.000595109;1.446644409;;;;
TPL;0.000442068;0.854814692;;;;
WMT;0.000399187;1.288913328;;;;
UMW;0.0016557;0.765185945;;;;
WMT;0.001657565;1.072533273;;;;
NAP;0.002061505;0.663157646;;;;
UMW;0.000641125;1.082935289;;;;
UMW;0.001068809;1.128821531;;;;
SPL;0.000424095;0.895854746;;;;
TPL;0.000453877;0.511910637;;;;
TPL;0.001595538;0.635285246;;;;
SAP;0.00107645;1.006842803;;;;
SAP;0.001022513;1.006842802;;;;
TPL;0.000568978;1.088081867;;;;
XER;0.000889241;0.934733772;;;;
SAP;0.000494979;1.140060262;;;;
CPL;0.00053438;0.989464802;;;;
WMT;0.000296366;1.175068283;;;;
WMT;0.000691091;1.147195883;;;;
TPL;0.000593693;1.214998598;;;;
SAP;0.001229393;1.240467706;;;;
SAP;0.0011142;1.175068282;;;;
CPL;0.000385603;0.934733772;;;;
UMW;0.000625863;1.161263564;;;;
UMW;0.000562592;1.247733705;;;;
TPL;0.000884246;1.118230173;;;;
CPL;0.000328914;0.811359163;;;;
XER;0.00043983;1.236283383;;;;
UMW;0.000473302;1.147195883;;;;
SAP;0.000368131;1.474516808;;;;
UMW;0.000596834;0.833406499;;;;
WMT;0.000749969;0.811359163;;;;
WMT;0.001146725;0.854814692;;;;
NAP;0.000765745;0.989464802;;;;
NAP;0.00149865;0.663157646;;;;
NAP;0.000408202;0.788633341;;;;
NPL;0.000555741;0.811359163;;;;
NPL;0.000617985;0.989464802;;;;
CPL;0.00036226;1.214998598;;;;
CPL;0.000490742;0.715932301;;;;
TPL;0.000584433;1.323269799;;;;
UMW;0.000697471;1.397717188;;;;
TPL;0.001305505;0.511910636;;;;
UMW;0.000537406;1.311994299;;;;
WMT;0.000602271;1.356098801;;;;
NPL;0.000388576;0.953431757;;;;
XER;0.000331654;1.300543977;;;;
XER;0.000830514;1.356098801;;;;
CPL;0.000608614;1.072533273;;;;
CPL;0.000990278;0.715932302;;;;
UMW;0.000623168;1.147195883;;;;
WMT;0.000501475;1.175068282;;;;
WMT;0.000472769;1.103309848;;;;
WMT;0.001160562;1.311994299;;;;
WMT;0.000637224;1.277096581;;;;
WMT;0.001265495;0.715932302;;;;
WMT;0.001234072;1.067804136;;;;
CPL;0.001190038;1.072533273;;;;
CPL;0.001043394;1.345317136;;;;
TPL;0.001191113;0.895854746;;;;
CPL;0.001054142;0.953431757;;;;
CPL;0.000595318;0.915550072;;;;
UMW;0.000812495;0.989464802;;;;
TPL;0.000445363;0.875619757;;;;
NAP;0.001796942;1.334375737;;;;
CPL;0.000427419;0.915550072;;;;
TPL;0.000583777;1.103309848;;;;
TPL;0.000475826;0.715932302;;;;
TPL;0.000721862;0.740969646;;;;
WMT;0.000653708;1.072533273;;;;
SAP;0.000427496;0.875619756;;;;
XER;0.001326;1.023821273;;;;
CPL;0.002854601;1.334375737;;;;
SAP;0.000448246;1.161263564;;;;
CPL;0.000819822;0.740969646;;;;
WMT;0.000612148;1.147195883;;;;
NPL;0.000707075;1.518753439;;;;
SPL;0.001888803;1.188619689;;;;
SPL;0.003877451;1.006842803;;;;
UMW;0.000419048;1.20082709;;;;
UMW;0.000673512;1.334375737;;;;
UMW;0.00211187;0.765185945;;;;
SAP;0.000606827;1.023821273;;;;
CPL;0.000550852;0.992389681;;;;
UMW;0.00035423;1.22656851;;;;
SAP;0.000533683;1.023821273;;;;
SAP;0.000696364;1.474516808;;;;
UMW;0.00053704;1.311994299;;;;
UMW;0.001071182;1.334375737;;;;
SPL;0.003034672;1.288913328;;;;
WMT;0.001131978;1.288913328;;;;
XER;0.00077495;0.854814692;;;;
SAP;0.000406879;1.040418172;;;;
NAP;0.002033543;1.265087683;;;;
XER;0.000919748;1.252880283;;;;
XER;0.000530807;0.989464802;;;;
WMT;0.000311844;1.175068282;;;;
WMT;0.000403818;1.188619689;;;;
TPL;0.000409174;0.875619757;;;;
SAP;0.000629477;1.132855026;;;;
SAP;0.00044989;1.201926913;;;;
TPL;0.000585843;0.895854746;;;;
SAP;0.000373215;1.37720112;;;;
WMT;0.000551784;1.152922263;;;;
WMT;0.000342014;1.023821273;;;;
WMT;0.000515684;0.989464802;;;;
TPL;0.000751281;0.811359163;;;;
WMT;0.000500754;1.277096581;;;;
NAP;0.000896932;1.088081867;;;;
SAP;0.000512158;0.977052226;;;;
UMW;0.000421846;1.201926913;;;;
NAP;0.00047389;1.040418172;;;;
CPL;0.000401791;0.875619756;;;;
NPL;0.001414912;0.544739638;;;;
WMT;0.000330397;1.300543977;;;;
XER;0.000510964;1.427460708;;;;
SPL;0.000816264;0.788633341;;;;
SAP;0.000394458;1.132855026;;;;
SAP;0.000647758;1.277096581;;;;
SAP;0.000388391;1.175068282;;;;
SPL;0.000541075;0.44152112;;;;
SPL;0.000844211;0.765185945;;;;
XER;0.000535767;1.277096581;;;;
XER;0.000491199;1.023821273;;;;
CPL;0.001066335;1.023821273;;;;
CPL;0.000483918;0.765185945;;;;
WMT;0.000681969;1.265087683;;;;
NAP;0.001312496;1.240467706;;;;
NAP;0.000941308;0.833406499;;;;
NPL;0.000987378;1.417678699;;;;
UMW;0.000373057;1.277096581;;;;
NAP;0.001099103;0.811359163;;;;
NAP;0.000728784;0.740969646;;;;
NAP;0.00092823;1.147195883;;;;
UMW;0.00039568;1.300543977;;;;
SAP;0.000743637;1.006842803;;;;
WMT;0.00132184;0.980620015;;;;
NAP;0.001375474;0.971668015;;;;
UMW;0.000715305;1.312940527;;;;
CPL;0.000900474;1.056650275;;;;
SAP;0.000390497;0.971668015;;;;
TPL;0.000692986;1.334375737;;;;
TPL;0.000621949;1.252880283;;;;
CPL;0.00097081;1.214998598;;;;
NAP;0.001388222;1.188619689;;;;
TPL;0.000941831;0.276722704;;;;
CPL;0.001359599;0.903796016;;;;
TPL;0.002237606;0.321495863;;;;
TPL;0.000709625;0.544739638;;;;
CPL;0.000402982;0.971668015;;;;
UMW;0.002002136;1.252880283;;;;
XER;0.000536146;1.492530651;;;;
TPL;0.00046882;1.118230173;;;;
TPL;0.001394283;0.895854746;;;;
WMT;0.000572457;1.265087683;;;;
TPL;0.000511754;0.788633341;;;;
CPL;0.000371721;1.201926913;;;;
CPL;0.000455201;1.132855025;;;;
WMT;0.000535853;1.161263564;;;;
XER;0.000875193;1.345317136;;;;
NAP;0.000599757;1.033824102;;;;
UMW;0.00094972;1.345317136;;;;
WMT;0.001132659;0.663157646;;;;
NAP;0.000561175;0.895854746;;;;
NAP;0.001567192;1.187275683;;;;
SPL;0.000713817;0.511910636;;;;
SAP;0.000344554;1.201926913;;;;
SAP;0.001165766;0.690016276;;;;
NAP;0.00057742;1.072533273;;;;
SAP;0.000835771;0.715932302;;;;
NPL;0.000945978;1.474516808;;;;
CPL;0.000519614;1.103309848;;;;
SAP;0.00219766;0.934733772;;;;
SAP;0.001761297;1.300543977;;;;
SAP;0.000670511;0.971668015;;;;
SAP;0.000499759;1.05343227;;;;
NAP;0.000415551;1.072533273;;;;
NPL;0.000506489;0.854814692;;;;
SPL;0.002546693;0.511910636;;;;
NPL;0.00265203;0.8334065;;;;
NPL;0.000935833;1.072533273;;;;
WMT;0.001584777;1.427460708;;;;
NAP;0.000839328;1.201926913;;;;
WMT;0.001351006;1.161263564;;;;
WMT;0.00036217;1.103309848;;;;
CPL;0.000977517;0.953431757;;;;
CPL;0.002815207;1.188619689;;;;
CPL;0.000487722;1.214998598;;;;
XER;0.000447589;1.300543977;;;;
CPL;0.000677663;0.854814692;;;;
SAP;0.001019972;0.833406499;;;;
WMT;0.000357467;0.765185945;;;;
WMT;0.000404126;1.308197216;;;;
CPL;0.000476486;1.240467706;;;;
XER;0.00098666;0.786321818;;;;
CPL;0.000745863;0.946009273;;;;
NAP;0.000559782;1.407765383;;;;
NAP;0.00065577;1.188619689;;;;
XER;0.000592291;0.875619757;;;;
XER;0.001075034;0.833406499;;;;
WMT;0.000521794;1.132855025;;;;
WMT;0.000592921;0.831594153;;;;
WMT;0.000437923;1.188619689;;;;
XER;0.00045171;1.240467706;;;;
SAP;0.000372216;0.715932301;;;;
WMT;0.00096635;1.345317136;;;;
XER;0.000425304;0.477554166;;;;
WMT;0.000356955;1.072533273;;;;
SAP;0.000435588;1.446644409;;;;
NPL;0.000766894;0.715932301;;;;
WMT;0.000461875;0.811359163;;;;
SAP;0.000639618;1.147195883;;;;
TPL;0.002349486;0.690016276;;;;
WMT;0.00043346;1.288913328;;;;
NAP;0.005397617;1.132855025;;;;
UMW;0.000524545;0.788633341;;;;
UMW;0.000557264;1.168658178;;;;
CPL;0.001064104;1.118230173;;;;
CPL;0.000845604;0.700925351;;;;
CPL;0.002166487;0.477554166;;;;
CPL;0.002399157;1.059854319;;;;
NAP;0.000890469;0.740969646;;;;
SAP;0.000417338;0.964427458;;;;
TPL;0.001058678;1.006842803;;;;
NAP;0.001288706;1.022140883;;;;
WMT;0.001001198;1.277096581;;;;
WMT;0.000449201;1.176207112;;;;
WMT;0.000389262;1.175068282;;;;
CPL;0.00034805;1.265087683;;;;
TPL;0.002343182;0.511910636;;;;
CPL;0.000771777;1.201926913;;;;
SAP;0.000435385;1.161263564;;;;
NAP;0.000780209;0.895854746;;;;
SAP;0.000453321;0.895854747;;;;
CPL;0.000683336;1.227842938;;;;
TPL;0.000490456;0.788633341;;;;
NAP;0.000376805;1.312940527;;;;
NAP;0.000950933;1.042057531;;;;
WMT;0.000678632;1.407765383;;;;
UMW;0.000400315;0.875619756;;;;
CPL;0.000433084;1.427460708;;;;
TPL;0.000649264;1.040418172;;;;
UMW;0.000361743;1.214998598;;;;
XER;0.000810166;1.088081867;;;;
NAP;0.00043303;0.811359163;;;;
SPL;0.000866087;1.023821273;;;;
WMT;0.000749208;1.175068283;;;;
WMT;0.000469262;1.048037571;;;;
SAP;0.00041943;1.366725329;;;;
SAP;0.00049333;1.040418172;;;;
NPL;0.001658138;1.456052573;;;;
NPL;0.00072612;1.300543977;;;;
NAP;0.000381249;1.176207112;;;;
TPL;0.00108771;0.811359163;;;;
UMW;0.001518488;0.942269868;;;;
UMW;0.001248849;1.227842938;;;;
WMT;0.000702824;0.953431757;;;;
SAP;0.000452216;1.227842938;;;;
TPL;0.000438875;0.511910636;;;;
XER;0.000528522;1.387530393;;;;
XER;0.000724;1.323269799;;;;
NAP;0.000651545;0.989464802;;;;
