Ecoregions;Insect_RichnessDiff;SumNat_PFC;Habitat_Heterogeneity;Pred_RichnessDiff_Insect;lower_RichnessDiff_Insect;upperr_RichnessDiff_Insect
SAP;0.001020295;0.934733772;0.829;-10.2272134;-10.5096015;-9.944825298
WMT;0.001645768;1.072533273;0.831;-10.22815346;-10.51052667;-9.94578025
WMT;0.000580136;0.875619756;0.832;-10.22862349;-10.51098932;-9.946257648
SAP;0.000397583;1.056650275;0.833;-10.22909351;-10.51145204;-9.946734993
SAP;0.000443158;1.173699365;0.836;-10.2305036;-10.51284048;-9.948166718
SAP;0.000745514;1.300543977;0.838;-10.23144366;-10.51376638;-9.94912094
SAP;0.000522259;0.576171231;0.84;-10.23238372;-10.51469248;-9.950074953
SAP;0.001108706;0.944141937;0.842;-10.23332377;-10.51561879;-9.951028758
UMW;0.000326491;0.391885379;0.846;-10.23520389;-10.51747203;-9.952935741
UMW;0.000548468;1.072533273;0.851;-10.23755403;-10.51978977;-9.955318296
SAP;0.000774652;0.765185945;0.853;-10.23849409;-10.52071723;-9.956270952
SAP;0.001299026;1.227842938;0.855;-10.23943415;-10.52164489;-9.9572234
NAP;0.000714684;1.277096581;0.857;-10.2403742;-10.52257277;-9.958175639
TPL;0.003589276;0.915550072;0.859;-10.24131426;-10.52350085;-9.959127668
CPL;0.000652647;0.544739638;0.861;-10.24225432;-10.52442915;-9.960079489
NAP;0.000443734;1.088081867;0.865;-10.24413443;-10.52628636;-9.961982504
NAP;0.000926554;1.212835988;0.87;-10.24648458;-10.52860906;-9.964360096
CPL;0.000809116;0.934733772;0.872;-10.24742463;-10.5295385;-9.965310767
CPL;0.000714137;1.175068282;0.876;-10.24930475;-10.53139802;-9.967211482
NAP;0.000363655;0.663157646;0.878;-10.25024481;-10.53232809;-9.968161526
NAP;0.001020237;1.118230173;0.882;-10.25212492;-10.53418886;-9.970060986
SAP;0.001373419;0.895854746;0.884;-10.25306498;-10.53511956;-9.971010402
CPL;0.001427271;0.22905901;0.886;-10.25400504;-10.53605046;-9.971959609
CPL;0.000425559;1.072533273;0.888;-10.25494509;-10.53698158;-9.972908606
CPL;0.002231052;1.077232319;0.889;-10.25541512;-10.53744722;-9.973383026
CPL;0.000745395;1.147195883;0.89;-10.25588515;-10.53791291;-9.973857394
NAP;0.000908276;0.663157646;0.896;-10.25870532;-10.54070814;-9.976702503
TPL;0.00061538;0.544739639;0.898;-10.25964538;-10.54164031;-9.977650454
TPL;0.000772594;0.544739638;0.9;-10.26058544;-10.54257268;-9.978598196
TPL;0.00053879;1.006842803;0.904;-10.26246555;-10.54443806;-9.980493051
CPL;0.000568392;0.835575461;0.909;-10.2648157;-10.54677095;-9.982860441
NAP;0.000518861;1.118230172;0.91;-10.26528572;-10.54723769;-9.983333762
TPL;0.001951645;1.006842803;0.911;-10.26575575;-10.54770448;-9.983807031
XER;0.00182584;0.547943682;0.913;-10.26669581;-10.54863821;-9.984753411
TPL;0.000564153;0.989464802;0.916;-10.2681059;-10.55003921;-9.986172588
NAP;0.001092447;1.345317136;0.917;-10.26857593;-10.55050631;-9.986645543
CPL;0.000537518;0.895854746;0.919;-10.26951598;-10.55144067;-9.987591294
SAP;0.000892732;1.006842803;0.925;-10.27233616;-10.55424502;-9.990427292
CPL;0.00051335;0.511910636;0.927;-10.27327621;-10.55518022;-9.991372205
SAP;0.000575892;1.118230173;0.929;-10.27421627;-10.55611563;-9.992316909
SAP;0.00530943;1.006842803;0.935;-10.27703644;-10.55892312;-9.995149763
SAP;0.000899349;1.147195883;0.937;-10.2779765;-10.55985937;-9.996093628
WMT;0.000361678;1.125253742;0.939;-10.27891656;-10.56079583;-9.997037284
SPL;0.000826055;0.833406499;0.94;-10.27938659;-10.56126414;-9.997509033
